호선,역번호,역명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
8호선,2819,문정,1188543,962166,1160592,1211256,1199573,1099921,1226743,1107026,1063384,1195564,1195230,1198961
8호선,2820,장지,1140286,977326,1177570,1166399,1206138,1115562,1167282,1086474,1039643,1150105,1149773,1184943
8호선,2821,복정(8),626816,522963,699778,714842,712323,643310,633717,595748,616796,689558,679755,655356
8호선,2822,산성,336868,288529,370877,378880,389942,362653,356548,345706,340761,382552,365314,349002
8호선,2823,남한산성입구,787448,669321,905396,927395,946240,823288,805257,756492,826920,924467,897086,855412
8호선,2824,단대오거리,655188,559939,705806,713236,737184,645693,654095,614431,626297,696573,671991,669987
8호선,2825,신흥,304274,264560,310566,310136,326982,305919,323657,310841,287397,318739,316322,329993
8호선,2826,수진,332152,282447,340074,337544,356251,331267,345691,332492,319419,363706,352942,361978
8호선,2827,모란(8),262512,219003,276460,279111,290898,262704,266012,259516,250253,295540,274856,283752
9호선,4126,언주,321121,260766,305311,312469,308276,291600,334560,318866,288496,327801,331789,342239
9호선,4127,선정릉,287483,238817,288820,298682,299811,277253,312912,293349,274559,314976,317495,319144
9호선,4128,삼성중앙,200898,164486,198459,205198,204579,188419,214900,206399,191583,213799,218291,222865
9호선,4129,봉은사,576278,491407,600983,609758,654489,593663,696649,655613,559641,654507,683500,771233
9호선,4130,종합운동장(9),157285,134532,170318,165344,176249,157593,169518,163012,145095,172877,167040,175591
9호선,4131,삼전,178505,157974,194205,195134,204977,194656,212789,210468,200722,221014,222009,232749
9호선,4132,석촌고분,153298,138261,170690,176614,184567,173087,190832,186392,174230,193734,196619,205636
9호선,4133,석촌(9),186841,170337,214251,237017,247798,231163,251648,247026,233381,268316,267995,274249
9호선,4134,송파나루,126242,112765,138597,146349,149438,138761,154548,153004,139389,156361,159925,173431
9호선,4135,한성백제,71767,61579,75888,82032,96069,81802,86838,86604,91050,101864,98105,97581
9호선,4136,올림픽공원(9),200886,167697,238828,244474,283858,282596,292005,284730,244540,291573,292314,313639
9호선,4137,둔촌오륜,29747,27600,38496,39962,40463,39044,40986,38286,40227,43596,44182,43115
9호선,4138,중앙보훈병원,216541,188426,231958,252082,263683,248612,276292,274651,272538,319228,314536,320079
