"Satisfaction","Gender","Ages","Customer_Type","Class","Inflight_wifi_service","Departure_Arrival_time_convenient","Ease_of_Online_booking","Gate_location","Food_and_drink","Online_boarding","Seat_comfort","Inflight_entertainment","On_board_service","Leg_room_service","Baggage_handling","Checkin_service","Inflight_service","Cleanliness","Departure_Delay_in_Minutes","Arrival_Delay_in_Minutes"
"Yes","Male","[20, 30)","NL","Business",4,0,4,4,3,4,1,3,4,4,5,5,5,3,0,0
"Yes","Female","[20, 30)","L","Business",5,5,5,5,5,4,5,5,1,2,5,1,1,5,1,0
"Yes","Female","[20, 30)","L","Business",4,4,4,4,2,2,2,5,3,1,1,2,2,2,161,163
"No","Female","[20, 30)","NL","Eco",2,2,2,4,2,2,4,2,3,4,4,3,5,2,40,42
"No","Male","[20, 30)","L","Eco Plus",4,4,4,3,1,4,4,1,5,3,5,5,5,1,0,0
"Yes","Female","[20, 30)","L","Business",5,5,5,5,4,3,4,4,5,3,4,3,4,4,0,45
"No","Female","[20, 30)","L","Eco Plus",3,5,5,5,3,3,3,3,3,4,3,4,4,3,0,0
"No","Female","[20, 30)","NL","Business",1,4,1,3,3,1,3,3,1,5,3,1,4,3,0,4
"No","Female","[20, 30)","NL","Eco",3,0,3,5,3,3,3,3,3,4,3,5,2,3,9,0
"No","Female","[20, 30)","L","Business",1,4,1,3,4,1,4,4,5,3,4,3,5,4,8,8
"No","Female","[20, 30)","NL","Business",3,0,2,3,4,2,4,4,4,2,5,5,4,4,0,0
"Yes","Male","[20, 30)","L","Business",4,4,4,4,4,4,4,4,2,4,1,4,2,4,0,0
"No","Male","[20, 30)","NL","Business",2,4,2,1,1,2,1,1,3,4,5,4,4,1,0,0
"No","Female","[20, 30)","NL","Eco",3,3,3,4,5,3,5,5,4,4,4,3,3,5,35,28
"No","Male","[20, 30)","NL","Eco Plus",3,2,2,3,4,2,4,4,5,1,3,1,2,4,10,0
"Yes","Female","[20, 30)","L","Business",1,1,1,1,3,3,3,3,5,1,3,5,5,3,0,0
"No","Male","[20, 30)","NL","Eco",2,2,2,4,2,2,2,2,1,1,4,2,4,2,16,0
"Yes","Male","[20, 30)","L","Business",4,4,4,4,5,5,5,5,1,5,2,5,5,5,0,0
"Yes","Male","[20, 30)","L","Business",2,2,2,2,4,4,4,4,4,3,3,4,5,4,9,20
"No","Male","[20, 30)","NL","Business",3,3,3,4,2,3,2,2,4,3,4,4,4,2,0,0
"Yes","Male","[20, 30)","NL","Eco",5,4,4,1,3,4,3,3,4,4,5,3,5,3,1,0
"Yes","Female","[20, 30)","NL","Business",4,4,4,2,3,4,3,3,3,4,4,3,4,3,13,2
"Yes","Male","[20, 30)","L","Business",1,1,1,1,4,4,4,4,4,5,5,5,2,4,0,0
"Yes","Female","[20, 30)","NL","Business",4,0,4,4,2,4,2,2,3,5,4,4,5,2,0,0
"Yes","Male","[20, 30)","L","Business",5,5,5,5,4,4,4,4,4,3,2,1,2,4,125,112
"No","Female","[20, 30)","NL","Eco",3,1,3,2,5,3,1,5,1,4,2,4,3,5,15,0
"Yes","Male","[20, 30)","L","Eco",5,5,5,5,5,4,5,5,1,5,5,2,1,5,0,0
"Yes","Female","[20, 30)","NL","Business",0,0,1,3,4,1,4,4,5,4,5,4,5,4,0,0
"No","Female","[20, 30)","NL","Eco",2,5,2,1,4,2,4,4,5,3,4,4,5,4,0,0
"Yes","Female","[20, 30)","NL","Business",4,4,4,1,4,4,4,4,5,3,5,4,5,4,1,0
"Yes","Male","[20, 30)","L","Business",5,5,5,5,3,3,3,3,5,5,5,3,4,3,0,0
"No","Female","[20, 30)","L","Eco",2,5,2,1,5,2,5,5,4,2,5,5,4,5,19,8
"Yes","Male","[20, 30)","L","Eco",4,4,4,3,4,4,2,4,5,2,4,4,4,4,0,0
"Yes","Female","[20, 30)","L","Business",2,3,2,2,4,4,4,4,5,5,5,4,4,4,0,0
"No","Female","[20, 30)","L","Eco Plus",3,4,2,3,5,2,5,5,5,5,5,4,4,5,14,8
"No","Male","[20, 30)","NL","Business",1,0,0,3,3,0,3,3,4,2,5,4,5,3,0,4
"Yes","Female","[20, 30)","NL","Eco",5,0,4,4,1,4,3,1,4,5,3,4,4,1,0,0
"Yes","Male","[20, 30)","NL","Business",4,4,4,2,5,4,5,5,5,2,5,5,5,5,0,0
"No","Female","[20, 30)","NL","Eco",4,2,4,2,1,4,1,1,4,1,2,4,3,1,0,0
"No","Male","[20, 30)","NL","Eco",3,1,2,2,5,2,5,5,3,4,3,2,2,5,35,28
"No","Male","[20, 30)","NL","Eco",2,1,2,3,1,2,4,1,4,1,3,3,4,1,25,16
"No","Male","[20, 30)","NL","Eco",3,5,3,2,2,3,2,2,1,3,3,3,5,2,13,100
"Yes","Male","[20, 30)","L","Business",1,1,1,1,4,5,4,4,4,1,4,2,4,4,0,0
"No","Female","[20, 30)","NL","Eco",2,2,2,3,3,2,3,3,3,2,3,1,3,3,0,2
"No","Male","[20, 30)","L","Eco",4,5,4,3,3,4,2,3,4,2,5,4,5,3,5,0
"Yes","Male","[20, 30)","L","Business",1,1,1,1,3,3,3,3,4,3,5,4,4,3,0,4
"No","Male","[20, 30)","NL","Eco",2,2,2,4,1,2,1,1,2,1,4,4,3,1,0,0
"No","Male","[20, 30)","L","Business",2,3,3,3,2,3,2,2,3,4,4,4,4,2,51,38
"No","Male","[20, 30)","NL","Eco",1,2,0,4,4,0,4,4,1,2,3,2,3,4,0,4
"No","Male","[20, 30)","NL","Eco",1,0,1,4,2,1,2,2,5,2,4,5,3,2,0,0
"No","Female","[20, 30)","L","Eco",2,4,2,4,3,2,3,3,2,5,4,2,3,3,0,0
"No","Female","[20, 30)","L","Eco",2,5,2,3,2,2,2,2,3,5,3,3,4,2,0,0
"Yes","Female","[20, 30)","NL","Business",4,0,4,4,4,4,5,4,4,3,5,4,4,4,19,12
"No","Male","[20, 30)","NL","Eco",2,3,2,3,3,2,3,3,4,3,3,4,3,3,51,47
"No","Male","[20, 30)","L","Eco",1,3,1,4,4,1,4,4,2,4,4,4,3,4,0,0
"No","Female","[20, 30)","L","Eco",3,2,3,4,4,3,4,4,3,1,4,1,3,4,35,26
"No","Female","[20, 30)","NL","Eco",2,1,2,3,2,2,2,2,4,3,3,1,2,2,60,52
"No","Female","[20, 30)","NL","Business",3,3,3,1,3,1,4,3,3,5,5,4,5,4,0,0
"No","Male","[20, 30)","NL","Eco",2,0,2,3,3,2,3,3,3,5,1,1,3,3,0,0
"No","Female","[20, 30)","L","Business",2,3,3,3,2,2,2,2,4,5,4,4,4,2,2,0
"Yes","Male","[20, 30)","L","Business",5,5,5,5,5,5,5,5,5,3,5,4,4,5,0,0
"Yes","Male","[20, 30)","L","Business",5,5,5,5,2,5,2,2,5,2,4,4,4,2,0,0
"Yes","Female","[20, 30)","L","Eco",4,4,4,2,1,4,1,1,4,2,5,5,4,1,0,0
"No","Female","[20, 30)","L","Business",3,5,3,5,4,3,5,4,5,3,4,3,4,4,98,96
"No","Male","[20, 30)","L","Eco",3,5,3,3,1,3,1,1,3,2,4,3,4,1,16,41
"No","Female","[20, 30)","NL","Eco",3,3,3,3,2,3,2,2,1,1,3,3,3,2,0,0
"No","Female","[20, 30)","NL","Business",2,3,2,4,2,2,1,2,1,1,4,3,4,2,79,71
"No","Female","[20, 30)","NL","Business",3,5,3,2,4,3,4,4,4,3,5,5,5,4,5,11
"Yes","Male","[20, 30)","L","Business",3,4,3,3,4,4,4,4,5,4,4,4,4,4,0,0
"Yes","Male","[20, 30)","L","Business",4,4,2,4,5,4,5,5,1,1,2,5,5,5,0,0
"Yes","Female","[20, 30)","NL","Eco",4,0,3,5,3,3,3,3,2,3,4,2,5,3,0,0
"Yes","Male","[20, 30)","L","Eco",5,2,2,2,5,5,5,5,5,5,3,1,1,5,0,0
"No","Female","[20, 30)","NL","Eco",4,4,4,3,4,4,4,4,4,3,4,5,3,4,1,0
"No","Male","[20, 30)","L","Business",1,3,3,3,1,2,1,1,1,5,4,2,3,1,60,46
"No","Female","[20, 30)","NL","Eco Plus",3,2,3,3,5,3,5,5,1,2,3,3,4,5,0,0
"No","Female","[20, 30)","NL","Eco",1,4,1,3,1,3,3,2,2,3,1,3,4,3,135,136
"Yes","Female","[20, 30)","L","Business",5,5,5,5,2,2,2,2,4,5,4,3,4,2,0,0
"No","Female","[20, 30)","NL","Eco",2,2,2,3,1,2,1,1,3,1,2,1,3,1,0,0
"No","Male","[20, 30)","NL","Eco",3,3,3,5,3,3,3,3,3,2,4,5,3,3,0,0
"No","Male","[20, 30)","NL","Business",2,4,1,3,5,1,5,5,5,3,4,3,5,5,0,0
"Yes","Male","[20, 30)","NL","Eco",4,4,4,4,3,4,3,3,3,5,3,5,5,3,6,0
"Yes","Male","[20, 30)","L","Business",5,5,5,5,4,4,4,4,1,3,3,5,3,4,21,15
"No","Male","[20, 30)","L","Business",1,4,1,3,1,1,1,1,2,1,4,3,3,1,3,0
"No","Female","[20, 30)","NL","Eco",2,2,2,3,1,2,1,1,4,2,4,3,3,1,25,14
"Yes","Female","[20, 30)","L","Business",1,1,3,1,5,4,5,5,5,4,5,4,4,5,22,11
"Yes","Female","[20, 30)","L","Business",5,5,4,5,5,4,5,5,4,2,5,4,5,5,0,0
"Yes","Female","[20, 30)","L","Business",4,4,4,4,4,4,4,4,5,4,1,1,1,4,0,0
"No","Female","[20, 30)","L","Eco Plus",1,5,2,5,1,1,4,1,1,4,3,1,3,1,0,0
"No","Female","[20, 30)","L","Eco",2,5,2,4,4,2,4,4,3,2,4,3,4,4,44,36
"No","Female","[20, 30)","L","Eco",2,3,2,2,5,2,5,5,2,1,3,3,3,5,0,0
"No","Male","[20, 30)","L","Eco",1,3,1,2,5,1,5,5,1,4,3,1,3,5,0,0
"No","Male","[20, 30)","NL","Eco",2,2,2,5,5,2,5,5,5,2,4,4,5,5,0,0
"Yes","Female","[20, 30)","L","Business",3,3,3,3,5,5,5,5,4,4,4,5,4,5,0,0
"Yes","Female","[20, 30)","L","Eco",0,0,0,5,2,0,2,2,4,5,2,5,2,2,11,12
"No","Female","[20, 30)","L","Eco",2,3,2,1,2,2,5,2,4,3,4,2,5,2,11,9
"Yes","Female","[20, 30)","L","Business",3,3,3,3,4,4,4,4,1,5,4,4,4,4,0,0
"No","Male","[20, 30)","L","Eco",1,1,1,1,1,3,4,3,4,2,1,4,1,4,265,245
"No","Female","[20, 30)","NL","Eco",2,0,2,4,4,2,4,4,3,2,2,5,2,4,3,0
"Yes","Female","[20, 30)","NL","Eco",5,0,5,3,5,5,5,5,1,5,4,4,2,5,0,0
"No","Female","[20, 30)","L","Eco",1,4,1,4,2,1,2,2,1,5,3,3,4,2,1,3
"Yes","Male","[20, 30)","L","Business",4,4,4,4,2,2,2,2,4,2,5,3,4,2,39,50
"No","Male","[20, 30)","L","Eco",3,4,3,1,2,3,2,2,5,3,5,4,5,2,0,11
"Yes","Male","[20, 30)","L","Business",4,4,4,4,5,5,5,5,5,5,5,5,4,5,64,64
"No","Male","[20, 30)","L","Eco",2,4,4,4,2,2,1,2,4,4,2,2,2,2,0,4
"Yes","Female","[20, 30)","NL","Business",5,5,5,2,2,5,2,2,5,5,4,3,4,2,2,0
"Yes","Male","[20, 30)","L","Business",3,3,5,3,5,3,3,4,1,4,5,3,4,3,133,140
"No","Male","[20, 30)","L","Eco Plus",4,5,5,5,4,3,1,4,1,4,4,1,3,4,3,0
"No","Female","[20, 30)","NL","Eco",2,0,2,3,3,2,1,3,1,4,4,1,4,3,0,0
"Yes","Male","[20, 30)","L","Eco Plus",0,4,0,3,0,4,3,5,5,2,3,3,4,3,190,186
"Yes","Female","[20, 30)","NL","Eco",4,0,4,1,5,4,5,5,5,2,4,5,5,5,0,0
"Yes","Male","[20, 30)","L","Business",1,1,1,1,4,5,4,4,5,2,4,4,1,4,0,3
"No","Male","[20, 30)","NL","Eco",1,5,1,3,4,1,4,4,4,5,1,5,3,4,30,14
"Yes","Male","[20, 30)","NL","Eco",5,5,5,3,3,5,1,3,1,4,4,3,3,3,48,76
"No","Female","[20, 30)","L","Eco Plus",3,4,5,4,3,3,2,3,4,5,4,1,3,3,2,19
"Yes","Female","[20, 30)","L","Business",3,3,3,3,4,5,4,4,3,2,5,1,5,4,15,26
"No","Female","[20, 30)","NL","Eco",3,2,3,3,3,3,3,3,4,1,4,4,3,3,0,0
"No","Male","[20, 30)","L","Eco",4,4,4,3,2,4,2,2,3,4,4,5,4,2,0,0
"No","Female","[20, 30)","NL","Eco",3,3,3,3,4,3,4,4,4,3,3,3,4,4,0,0
"No","Female","[20, 30)","L","Eco",2,4,2,3,2,2,2,2,3,4,5,5,5,2,0,0
"No","Female","[20, 30)","L","Eco",3,4,3,4,3,3,1,3,2,2,4,2,4,3,97,123
"Yes","Male","[20, 30)","L","Eco Plus",5,2,2,2,5,5,5,5,5,2,4,2,1,5,0,0
"No","Male","[20, 30)","NL","Eco",1,1,1,4,3,1,3,3,1,5,4,2,3,3,0,10
"Yes","Female","[20, 30)","NL","Eco",5,0,5,3,3,5,4,3,4,1,3,2,2,3,0,3
"Yes","Female","[20, 30)","NL","Business",5,0,5,2,2,5,2,2,2,3,4,3,3,2,0,2
"Yes","Female","[20, 30)","L","Eco Plus",0,0,0,1,4,0,4,4,2,5,3,2,1,4,0,0
"Yes","Female","[20, 30)","NL","Business",5,0,4,3,5,4,5,5,3,2,5,3,4,5,0,0
"Yes","Male","[20, 30)","L","Business",3,3,3,3,3,4,3,3,3,2,3,3,4,3,0,0
"No","Female","[20, 30)","L","Eco",1,5,1,3,4,1,4,4,4,2,4,3,4,4,14,13
"No","Female","[20, 30)","NL","Eco",2,2,2,1,2,2,2,2,1,1,4,1,2,2,0,0
"Yes","Male","[20, 30)","L","Business",4,4,4,4,4,4,4,4,5,5,1,3,1,4,3,13
"No","Female","[20, 30)","L","Eco",4,2,1,2,2,1,2,2,3,3,3,2,3,2,15,38
"Yes","Female","[20, 30)","L","Business",5,5,5,5,4,4,4,4,5,4,4,1,4,4,0,0
"No","Female","[20, 30)","L","Eco Plus",3,3,3,3,3,3,4,3,2,5,4,2,3,3,0,20
"Yes","Female","[20, 30)","L","Business",1,1,1,1,4,4,4,4,4,5,2,4,3,4,0,0
"No","Female","[20, 30)","NL","Eco",3,3,3,2,2,3,2,2,2,5,3,4,3,2,0,5
"Yes","Female","[20, 30)","NL","Eco",2,2,2,3,5,2,1,5,4,5,4,3,3,5,0,0
"No","Male","[20, 30)","NL","Business",2,2,2,2,1,2,1,1,3,3,5,5,4,1,0,0
"Yes","Female","[20, 30)","L","Eco",0,5,0,1,1,0,1,1,4,3,5,3,5,1,2,0
"No","Female","[20, 30)","NL","Eco",2,2,2,4,5,2,4,5,2,5,4,4,3,5,7,36
"Yes","Male","[20, 30)","NL","Eco",4,4,4,1,3,4,3,3,3,2,5,4,4,3,0,0
"Yes","Female","[20, 30)","NL","Eco",5,4,4,3,4,2,5,3,4,5,5,5,3,5,0,0
"No","Female","[20, 30)","NL","Eco",2,2,2,1,2,2,2,2,3,5,2,2,2,2,20,30
"Yes","Female","[20, 30)","NL","Business",5,2,5,3,1,5,1,1,4,2,5,3,4,1,0,0
"No","Male","[20, 30)","NL","Eco",4,4,4,2,2,4,2,2,2,1,2,5,2,2,0,0
"No","Male","[20, 30)","L","Business",3,1,1,1,3,3,3,3,1,2,4,4,4,3,0,0
"No","Male","[20, 30)","NL","Eco",3,2,2,1,2,3,3,4,2,3,4,3,3,3,0,12
"No","Male","[20, 30)","L","Eco Plus",2,1,3,3,2,2,1,2,2,3,3,1,3,2,49,47
"Yes","Female","[20, 30)","NL","Business",4,4,4,2,1,4,1,1,4,5,4,4,4,1,0,0
"Yes","Male","[20, 30)","L","Business",5,5,5,5,3,3,3,3,5,3,3,4,4,3,0,0
"No","Female","[20, 30)","NL","Eco",3,3,3,3,3,5,3,1,2,4,4,3,3,3,201,190
"No","Female","[20, 30)","NL","Eco",2,2,2,4,1,2,1,1,2,4,3,4,3,1,2,0
"Yes","Female","[20, 30)","NL","Eco",5,0,5,2,2,5,2,2,3,1,1,4,3,2,0,0
"Yes","Female","[20, 30)","L","Business",1,1,2,1,4,4,4,4,1,4,4,5,3,4,29,17
"No","Female","[20, 30)","L","Eco",1,4,1,4,4,1,4,4,4,2,5,5,4,4,0,10
"No","Female","[20, 30)","L","Eco",2,2,2,3,2,2,2,2,4,1,3,3,4,2,17,29
"No","Female","[20, 30)","L","Eco Plus",2,4,4,4,2,2,2,2,1,5,3,3,3,2,0,0
"No","Female","[20, 30)","L","Eco",2,4,2,4,2,1,1,3,2,5,5,1,4,1,264,261
"Yes","Female","[20, 30)","L","Business",3,3,3,3,5,5,5,5,4,5,4,4,4,5,0,0
"No","Female","[20, 30)","NL","Business",1,0,0,4,3,0,2,3,4,2,4,3,5,3,0,0
"No","Female","[20, 30)","NL","Eco",3,1,3,4,1,3,1,1,2,5,3,4,4,1,0,10
"Yes","Male","[20, 30)","NL","Business",4,0,4,4,2,4,1,2,4,5,5,3,4,2,51,42
"No","Male","[20, 30)","NL","Eco",3,4,3,4,1,3,1,1,4,2,3,2,3,1,0,0
"Yes","Male","[20, 30)","L","Business",1,1,1,1,5,5,5,5,4,2,5,3,4,5,0,0
"Yes","Female","[20, 30)","L","Business",1,3,1,1,5,5,5,5,4,1,3,2,4,5,13,12
"No","Male","[20, 30)","NL","Eco",3,3,3,3,3,3,3,3,3,3,4,4,4,3,0,0
"No","Male","[20, 30)","NL","Eco",2,3,3,4,3,3,3,3,5,5,5,3,5,3,0,1
"No","Female","[20, 30)","NL","Eco",3,3,3,1,3,3,3,3,2,1,3,5,5,3,0,0
"No","Female","[20, 30)","L","Eco",2,5,0,2,5,0,5,5,5,3,5,5,4,5,1,3
"Yes","Male","[20, 30)","L","Business",2,2,2,2,5,5,5,5,5,3,5,1,4,5,7,13
"Yes","Female","[20, 30)","L","Business",1,1,1,1,4,4,4,4,4,2,5,4,5,4,3,16
"No","Female","[20, 30)","L","Eco",3,3,3,4,5,3,3,5,1,5,3,2,4,5,48,72
"Yes","Male","[20, 30)","NL","Eco",0,0,0,4,0,2,2,1,1,3,3,2,4,2,177,163
"No","Male","[20, 30)","NL","Business",2,3,3,3,4,3,4,4,2,3,4,3,4,4,0,5
"No","Male","[20, 30)","L","Business",3,2,2,2,3,3,3,3,2,3,3,4,4,3,37,32
"No","Female","[20, 30)","L","Eco",4,4,4,1,2,4,2,2,3,3,3,5,3,2,34,34
"Yes","Male","[20, 30)","L","Eco",4,5,5,5,5,5,5,5,3,2,3,2,3,5,7,0
"Yes","Female","[20, 30)","NL","Business",5,4,4,3,5,4,5,5,4,4,4,5,4,5,10,11
"No","Male","[20, 30)","NL","Business",3,3,2,3,4,2,4,4,2,3,4,2,4,4,0,0
"Yes","Male","[20, 30)","NL","Eco",4,0,4,4,5,4,5,5,4,1,3,4,5,5,0,0
"Yes","Male","[20, 30)","L","Eco",5,4,5,5,1,5,1,1,5,2,3,5,3,1,0,0
"No","Female","[20, 30)","NL","Eco Plus",2,0,1,3,1,1,1,1,3,4,4,4,3,1,0,0
"Yes","Female","[20, 30)","NL","Business",5,5,5,1,5,5,5,5,5,5,4,5,3,5,130,135
"Yes","Male","[20, 30)","NL","Business",4,0,4,4,5,4,5,5,3,3,5,3,5,5,72,70
"Yes","Female","[20, 30)","L","Eco",4,1,2,2,4,4,4,4,2,5,4,1,1,4,0,4
"No","Male","[20, 30)","L","Eco",2,3,0,1,1,0,2,1,5,5,5,4,2,1,88,81
"No","Male","[20, 30)","L","Eco Plus",4,5,4,2,4,4,3,4,3,2,4,5,4,4,13,14
"Yes","Male","[20, 30)","NL","Business",5,1,5,3,3,5,3,3,3,4,5,5,4,3,4,0
"No","Male","[20, 30)","L","Eco",2,2,2,2,2,2,4,2,3,4,4,3,3,2,0,0
"Yes","Male","[20, 30)","L","Business",1,1,1,1,4,4,4,4,2,4,4,5,4,4,12,0
"No","Male","[20, 30)","NL","Eco",3,0,3,1,5,3,5,5,5,4,4,3,5,5,0,0
"Yes","Male","[20, 30)","L","Eco",4,4,4,4,4,4,3,4,5,4,3,2,1,4,10,0
"No","Female","[20, 30)","L","Business",3,3,2,2,3,3,3,3,1,2,4,4,4,3,10,15
"No","Female","[20, 30)","L","Eco",2,0,5,3,3,5,3,3,3,5,5,5,5,3,0,0
"Yes","Male","[20, 30)","NL","Business",4,5,4,3,4,4,2,4,5,3,5,5,5,4,0,0
"No","Male","[20, 30)","L","Eco",3,4,3,1,1,3,1,1,4,3,5,4,4,1,0,0
"No","Male","[20, 30)","NL","Business",2,2,2,4,2,2,2,2,3,3,4,3,4,2,0,0
"No","Male","[20, 30)","NL","Eco",2,2,2,3,2,2,2,2,1,1,3,1,3,2,1,22
"No","Male","[20, 30)","L","Eco",3,4,2,2,5,2,5,5,5,5,5,3,5,5,121,115
"No","Female","[20, 30)","NL","Business",4,4,4,4,4,4,3,4,5,4,5,3,4,4,34,35
"No","Female","[20, 30)","L","Eco",2,5,3,3,2,2,1,2,1,5,3,2,3,2,61,53
"Yes","Male","[20, 30)","L","Business",2,2,3,2,5,5,5,5,5,2,4,4,5,5,0,0
"Yes","Female","[20, 30)","L","Business",2,2,2,2,4,4,4,4,4,2,5,3,5,4,0,3
"Yes","Female","[20, 30)","L","Business",5,5,5,5,5,5,5,5,2,3,2,5,3,5,0,14
"Yes","Female","[20, 30)","L","Eco",4,5,5,5,4,5,4,4,5,1,1,3,1,4,0,0
"Yes","Male","[20, 30)","NL","Eco",0,0,1,4,3,1,3,3,5,2,4,3,5,3,0,0
"Yes","Male","[20, 30)","L","Business",2,2,4,2,5,5,5,5,2,2,2,3,3,5,0,0
"Yes","Male","[20, 30)","NL","Business",5,5,5,1,2,5,2,2,5,3,5,5,5,2,9,8
"No","Female","[20, 30)","NL","Eco",3,2,3,4,4,3,5,4,2,3,3,2,3,4,0,0
"No","Female","[20, 30)","NL","Eco",2,1,2,3,2,2,3,2,3,5,3,2,3,2,0,6
"Yes","Female","[20, 30)","L","Business",3,3,3,3,3,3,3,3,5,5,4,5,3,3,0,0
"No","Male","[20, 30)","NL","Business",2,0,2,4,1,2,1,1,5,2,5,4,4,1,0,0
"No","Female","[20, 30)","L","Eco",2,4,2,4,2,2,2,2,1,3,4,5,2,2,1,1
"No","Female","[20, 30)","L","Eco",2,1,2,3,5,2,5,5,2,2,3,1,2,5,0,0
"No","Male","[20, 30)","L","Eco Plus",3,1,3,4,4,3,5,4,2,2,4,3,4,4,5,7
"Yes","Female","[20, 30)","L","Eco",3,3,2,3,3,4,3,3,1,2,3,5,5,3,0,0
"No","Male","[20, 30)","L","Eco",3,0,3,3,5,3,5,5,4,4,1,3,3,5,0,5
"No","Female","[20, 30)","NL","Eco",2,2,3,3,5,3,5,5,4,3,3,2,4,5,0,0
"No","Female","[20, 30)","NL","Eco",2,2,2,1,4,2,4,4,2,3,2,3,2,4,32,15
"No","Male","[20, 30)","L","Eco",1,4,3,4,4,3,4,4,3,5,4,3,4,4,0,0
"Yes","Female","[20, 30)","L","Eco",0,4,0,1,5,0,5,5,4,2,3,4,4,5,63,116
"No","Male","[20, 30)","NL","Eco",2,2,2,3,1,2,1,1,5,2,4,4,4,1,35,32
"Yes","Male","[20, 30)","L","Business",4,4,5,4,4,4,4,4,5,5,4,4,5,4,0,14
"No","Male","[20, 30)","NL","Eco",1,4,1,3,1,1,1,1,3,4,4,1,4,1,0,6
"No","Female","[20, 30)","L","Eco Plus",3,3,3,3,3,3,4,3,4,3,1,5,1,3,6,0
"Yes","Female","[20, 30)","NL","Business",0,4,0,1,0,2,2,3,2,3,4,2,3,2,0,0
"No","Female","[20, 30)","L","Eco",1,5,5,5,1,1,2,1,4,3,3,3,3,1,13,0
"No","Female","[20, 30)","NL","Eco",1,1,1,2,2,1,4,2,1,3,3,4,3,2,0,0
"Yes","Female","[20, 30)","L","Eco",0,5,0,4,5,0,3,5,5,5,5,3,5,5,0,1
"No","Male","[20, 30)","NL","Eco",3,3,3,4,1,3,1,1,1,5,3,1,4,1,0,0
"No","Female","[20, 30)","L","Business",4,3,3,3,4,4,4,4,3,5,4,2,4,4,23,12
"Yes","Male","[20, 30)","L","Business",1,1,3,1,5,5,5,5,5,4,4,3,4,5,0,0
"Yes","Female","[20, 30)","NL","Eco",4,4,4,3,1,4,1,1,2,3,2,3,4,1,0,0
"No","Female","[20, 30)","NL","Eco",2,2,2,4,2,2,2,2,3,2,3,3,4,2,13,0
"Yes","Male","[20, 30)","L","Business",4,4,4,4,3,3,3,3,5,2,5,4,4,3,0,0
"Yes","Male","[20, 30)","NL","Eco",0,0,0,1,3,0,3,3,5,4,1,1,1,3,18,33
"Yes","Female","[20, 30)","NL","Business",5,0,5,3,5,5,5,5,3,3,5,3,5,5,9,24
"No","Female","[20, 30)","NL","Eco",2,1,1,4,2,1,3,2,3,3,3,3,3,2,38,33
"Yes","Male","[20, 30)","L","Business",4,4,4,4,4,5,4,4,3,4,4,3,4,4,0,3
"Yes","Female","[20, 30)","L","Business",2,2,2,2,5,5,5,5,4,1,2,5,5,5,99,77
"No","Female","[20, 30)","NL","Eco",3,3,3,4,1,3,1,1,4,3,2,4,3,1,0,0
"No","Female","[20, 30)","L","Eco",3,5,3,3,1,3,1,1,4,2,5,3,5,1,0,0
"No","Female","[20, 30)","L","Eco Plus",4,5,4,3,4,4,4,4,5,2,4,4,4,4,4,0
"Yes","Male","[20, 30)","L","Eco",0,4,0,2,4,0,4,4,4,2,5,4,5,4,0,0
"No","Female","[20, 30)","NL","Business",2,2,2,4,4,2,4,4,5,3,4,5,5,4,3,0
"No","Female","[20, 30)","NL","Eco",4,0,4,3,1,4,1,1,3,5,5,5,4,1,0,0
"No","Male","[20, 30)","NL","Eco",1,0,0,1,5,1,5,5,5,5,3,5,4,5,1,0
"Yes","Female","[20, 30)","NL","Eco",4,0,4,4,3,4,3,3,5,2,4,5,4,3,0,26
"No","Female","[20, 30)","L","Eco",2,5,2,1,3,2,3,3,3,4,4,3,4,3,9,10
"No","Male","[20, 30)","NL","Eco",2,3,2,3,5,2,5,5,2,5,5,1,2,5,87,103
"Yes","Female","[20, 30)","L","Business",3,4,3,3,4,4,4,4,3,5,5,5,4,4,0,0
"No","Male","[20, 30)","NL","Eco",4,2,4,4,4,4,4,4,3,2,4,4,3,4,13,7
"No","Female","[20, 30)","L","Eco",2,4,2,4,1,2,1,1,4,4,3,1,4,1,112,103
"No","Male","[20, 30)","L","Business",3,3,3,3,3,3,3,3,4,3,4,4,3,3,56,49
"No","Male","[20, 30)","NL","Business",2,4,2,4,3,2,3,3,4,5,5,4,4,3,0,2
"No","Female","[20, 30)","L","Eco Plus",4,1,1,1,4,4,4,4,1,1,3,4,2,4,0,0
"No","Male","[20, 30)","L","Eco",2,4,2,1,3,2,3,3,5,3,5,3,4,3,35,9
"No","Male","[20, 30)","NL","Eco Plus",2,2,2,3,5,2,5,5,4,4,3,2,3,5,36,40
"No","Male","[20, 30)","L","Business",2,2,2,2,2,2,2,2,3,3,4,3,4,2,2,6
"No","Female","[20, 30)","L","Eco",2,5,2,3,4,2,4,4,4,3,5,5,5,4,0,7
"Yes","Female","[20, 30)","L","Business",4,4,5,4,4,3,4,4,4,5,4,5,4,4,0,0
"No","Male","[20, 30)","NL","Eco",1,2,1,4,1,1,1,1,1,2,3,1,3,1,0,13
"No","Female","[20, 30)","L","Eco",2,2,2,3,5,2,1,5,4,2,4,3,3,5,23,26
"Yes","Male","[20, 30)","L","Business",4,4,4,4,4,4,4,4,4,5,5,5,5,4,0,0
"Yes","Female","[20, 30)","NL","Business",0,0,0,2,1,0,1,1,5,3,3,4,4,1,0,5
"Yes","Female","[20, 30)","L","Business",2,3,2,2,5,5,5,3,5,3,3,5,1,5,0,0
