model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 Q3,2019,Semi-Auto,4444,Diesel,145,38.7,2,32500
 A4,2019,Automatic,5432,Diesel,145,50.4,2,25999
 Q3,2019,Automatic,4432,Petrol,145,31.4,2,32500
 Q5,2019,Semi-Auto,4433,Petrol,145,32.1,2,38000
 A4,2019,Automatic,3988,Diesel,145,39.2,3,46888
 A6,2019,Semi-Auto,3411,Diesel,145,47.9,2,29896
 Q2,2020,Manual,4432,Petrol,145,43.5,1.5,24444
 Q5,2020,Semi-Auto,4343,Petrol,145,32.1,2,37888
 Q3,2020,Semi-Auto,1445,Petrol,145,31.4,2,32444
 Q5,2016,Manual,33423,Diesel,200,47.9,2,20256
 A1,2016,Manual,15121,Petrol,30,56.5,1.4,12996
 A1,2016,Manual,25783,Petrol,30,57.6,1.4,10996
 Q3,2017,Manual,20355,Petrol,145,49.6,1.4,19656
 A5,2020,Semi-Auto,5432,Diesel,145,51.4,2,28991
 Q3,2020,Semi-Auto,4444,Petrol,145,39.2,1.5,33491
 Q3,2020,Semi-Auto,4432,Petrol,145,39.2,1.5,32881
 Q3,2020,Semi-Auto,4432,Petrol,145,31.4,2,33881
 A4,2020,Semi-Auto,4454,Petrol,145,38.2,2,30990
 Q2,2017,Automatic,35554,Diesel,145,68.9,1.6,16496
 Q2,2019,Manual,6190,Petrol,145,47.1,1,19991
 A4,2015,Manual,39652,Diesel,0,74.3,2,13351
 A1,2017,Manual,13253,Petrol,150,55.4,1.4,14491
 A3,2016,Manual,25556,Petrol,20,60.1,1.4,14991
 Q3,2019,Manual,1676,Petrol,150,40.9,1.5,29991
 Q3,2017,Manual,18909,Petrol,150,51.4,1.4,17991
 TT,2020,Semi-Auto,4433,Petrol,150,35.3,2,36991
 Q3,2020,Semi-Auto,4432,Petrol,150,39.2,1.5,33491
 A3,2016,Semi-Auto,36329,Petrol,30,58.9,1.4,11896
 A1,2017,Manual,24435,Petrol,145,55.4,1.4,12990
 Q2,2019,Semi-Auto,2243,Petrol,145,40.9,1.5,22896
 A1,2019,Automatic,4445,Petrol,145,46.3,1,18990
 Q3,2020,Semi-Auto,4432,Petrol,145,31.4,2,32444
 Q8,2019,Automatic,6878,Diesel,145,32.8,3,63796
 Q2,2019,Manual,4512,Petrol,145,39.2,1.5,24756
 Q5,2013,Manual,57387,Petrol,235,37.7,2,15896
 A3,2017,Manual,42779,Petrol,145,62.8,1,12500
 A4,2017,Manual,40583,Petrol,145,51.4,1.4,14650
 A6,2015,Semi-Auto,48175,Diesel,125,57.6,3,17996
 Q2,2019,Manual,5988,Diesel,145,49.6,1.6,18896
 Q3,2019,Semi-Auto,1500,Petrol,145,31.4,2,31996
 A4,2017,Manual,26455,Diesel,30,67.3,2,17591
 Q3,2015,Semi-Auto,24621,Diesel,145,54.3,2,18781
 A3,2019,Semi-Auto,15147,Petrol,145,42.2,1.5,20991
 A5,2019,Automatic,10897,Diesel,145,47.9,2,34256
 Q3,2019,Manual,4444,Petrol,145,40.9,1.5,30491
 RS4,2019,Semi-Auto,4761,Petrol,145,29.1,2.9,56991
 A1,2019,Manual,4321,Petrol,145,47.9,1,20444
 A1,2019,Manual,3863,Petrol,145,47.9,1,20444
 Q3,2019,Manual,6778,Diesel,145,42.8,2,27990
 Q2,2019,Manual,6155,Petrol,145,47.1,1,19991
 Q2,2019,Manual,6665,Petrol,145,47.1,1,19991
 A3,2016,Manual,14514,Petrol,30,60.1,1.4,17996
 Q3,2017,Semi-Auto,38150,Petrol,200,42.2,2,19956
 A3,2020,Semi-Auto,5432,Petrol,145,44.1,1.5,27881
 A1,2020,Semi-Auto,5432,Petrol,145,44.8,1.5,22990
 A6,2017,Semi-Auto,47112,Diesel,145,64.2,2,18296
 Q7,2019,Automatic,1968,Diesel,145,33.2,3,52496
 A1,2019,Manual,3632,Petrol,145,47.9,1,19751
 A4,2016,Semi-Auto,25540,Petrol,30,55.4,2,15556
 Q7,2016,Semi-Auto,44071,Diesel,300,39.2,4,42996
 A5,2019,Automatic,14713,Petrol,145,39.8,2,25419
 A4,2016,Manual,16666,Diesel,0,74.3,2,15596
 A3,2019,Semi-Auto,12914,Petrol,145,42.2,1.5,20996
 A4,2017,Automatic,11119,Petrol,145,37.7,3,29996
 A1,2019,Automatic,6327,Petrol,145,47.1,1,19996
 Q7,2018,Automatic,15524,Diesel,145,37.2,4,59996
 Q5,2019,Semi-Auto,8442,Diesel,145,38.2,2,34596
 Q5,2019,Semi-Auto,5446,Diesel,145,38.2,2,34596
 Q7,2016,Semi-Auto,36816,Diesel,160,48.7,3,29498
 Q5,2019,Automatic,2025,Petrol,145,33.2,2,32998
 Q5,2019,Semi-Auto,3540,Diesel,145,39.2,2,29996
 Q5,2019,Semi-Auto,4430,Diesel,145,38.2,2,34496
 A3,2019,Semi-Auto,2152,Diesel,145,52.3,1.6,21496
 A1,2019,Manual,3556,Petrol,145,50.4,1,19222
 A1,2015,Manual,18970,Petrol,0,67.3,1,11256
 A4,2019,Manual,21275,Petrol,145,39.2,2,19496
 Q2,2019,Manual,6971,Petrol,145,44.1,1,20996
 A8,2019,Semi-Auto,5904,Diesel,145,50.4,3,39496
 Q7,2016,Automatic,23478,Diesel,200,47.9,3,32996
 A5,2017,Automatic,19408,Diesel,145,58.9,3,23896
 RS5,2017,Automatic,8966,Petrol,145,32.5,2.9,43996
 A8,2018,Semi-Auto,10961,Diesel,145,48.7,3,36496
 Q7,2016,Automatic,33747,Diesel,200,47.9,3,30996
 A4,2019,Automatic,11001,Diesel,145,47.1,2,24946
 A1,2020,Manual,5566,Petrol,145,48.7,1,18496
 Q3,2016,Manual,7102,Petrol,125,51.4,1.4,17998
 Q7,2016,Semi-Auto,64668,Diesel,165,48.7,3,21998
 A1,2019,Manual,11058,Petrol,145,51.4,1,16996
 Q5,2019,Automatic,6260,Diesel,145,38.2,2,34496
 Q2,2019,Manual,6274,Diesel,145,49.6,1.6,18551
 Q3,2017,Manual,17856,Petrol,145,49.6,1.4,19496
 A3,2017,Manual,12222,Diesel,125,57.6,2,18896
 A1,2017,Manual,15020,Petrol,0,67.3,1,12756
 A3,2016,Manual,30692,Petrol,30,60.1,1.4,16498
 A5,2015,Semi-Auto,28094,Petrol,260,36.7,3,20998
 A6,2015,Semi-Auto,51405,Diesel,20,67.3,2,13498
 Q3,2015,Manual,76861,Diesel,145,52.3,2,13998
 A4,2017,Manual,57464,Diesel,0,74.3,2,13298
 Q5,2019,Semi-Auto,6836,Diesel,145,38.2,2,34991
 A5,2017,Semi-Auto,25954,Diesel,145,62.8,2,22698
 A5,2017,Semi-Auto,11757,Petrol,145,53.3,2,21998
 A3,2016,Semi-Auto,47322,Diesel,30,61.4,2,15498
 RS3,2016,Semi-Auto,50661,Petrol,300,34.9,2.5,24998
 Q3,2017,Manual,13403,Diesel,150,56.5,2,18998
 A3,2015,Semi-Auto,49393,Diesel,30,62.8,2,12298
 Q3,2016,Manual,19268,Diesel,30,60.1,2,17498
 Q3,2016,Manual,45876,Diesel,30,60.1,2,15998
 A1,2014,Manual,51451,Petrol,125,52.3,1.4,8298
 A1,2016,Semi-Auto,15434,Petrol,30,70.6,1.4,14998
 Q3,2016,Manual,67643,Diesel,30,61.4,2,12998
 A6,2014,Manual,69410,Diesel,125,57.6,2,13498
 A4,2019,Semi-Auto,18075,Petrol,145,40.9,2,18698
 Q5,2016,Semi-Auto,27848,Diesel,200,47.1,2,22498
 A6,2014,Manual,55368,Diesel,125,57.6,2,11498
 Q3,2017,Semi-Auto,53000,Diesel,145,53.3,2,17000
 A5,2016,Semi-Auto,49429,Diesel,20,70.6,2,16498
 Q2,2019,Manual,6378,Petrol,145,47.1,1,18998
 Q3,2014,Manual,33071,Petrol,145,47.9,1.4,12998
 A5,2016,Semi-Auto,42852,Diesel,125,58.9,2,14998
 Q5,2014,Manual,73874,Diesel,200,47.9,2,14498
 A6,2015,Manual,54847,Diesel,30,64.2,2,13998
 Q5,2019,Semi-Auto,31,Petrol,145,33.2,2,30998
 A3,2014,Manual,24175,Petrol,20,60.1,1.4,11995
 Q3,2015,Automatic,24539,Diesel,160,51.4,2,17398
 A5,2019,Semi-Auto,270,Petrol,145,40.4,2,26498
 A5,2015,Manual,48853,Diesel,145,56.5,2,15998
 A6,2014,Semi-Auto,75125,Diesel,235,44.8,3,16298
 A1,2014,Manual,48330,Petrol,125,52.3,1.4,8998
 A5,2017,Semi-Auto,17616,Diesel,145,65.7,2,22398
 Q3,2013,Manual,40252,Diesel,160,50.4,2,11798
 A1,2017,Manual,26791,Petrol,145,67.3,1,11295
 A4,2017,Manual,20399,Petrol,145,51.4,1.4,18698
 A4,2016,Semi-Auto,30374,Diesel,145,56.5,2,20698
 A3,2018,Semi-Auto,22721,Petrol,145,56.5,1.5,19998
 A4,2018,Manual,14203,Petrol,145,52.3,1.4,18498
 A5,2017,Semi-Auto,24020,Diesel,145,70.6,2,22498
 A3,2019,Semi-Auto,9758,Petrol,150,44.8,1,19998
 A4,2017,Manual,15893,Petrol,145,51.4,1.4,14498
 A7,2019,Semi-Auto,76,Diesel,145,47.1,2,35998
 RS6,2017,Semi-Auto,8546,Petrol,145,29.4,4,54998
 A1,2016,Manual,58952,Diesel,0,76.3,1.6,9619
 A3,2017,Manual,31412,Petrol,125,49.6,2,16991
 A1,2016,Manual,21686,Petrol,30,55.4,1.4,12991
 A3,2017,Manual,20359,Petrol,30,60.1,1.4,17498
 Q3,2015,Manual,20897,Diesel,160,49.6,2,17998
 A3,2016,Semi-Auto,18487,Diesel,20,72.4,1.6,17998
 A6,2016,Semi-Auto,14987,Diesel,30,58.9,2,22798
 Q3,2016,Manual,9481,Petrol,125,51.4,1.4,17998
 A4,2016,Manual,72981,Diesel,0,74.3,2,11698
 A3,2016,Manual,32923,Diesel,20,72.4,1.6,12998
 TT,2017,Semi-Auto,29109,Petrol,160,43.5,2,17998
 A3,2016,Manual,14115,Petrol,30,58.9,1.4,16698
 A6,2017,Semi-Auto,12806,Diesel,145,64.2,2,20498
 Q3,2015,Manual,21691,Petrol,145,49.6,1.4,15798
 Q3,2015,Manual,28136,Diesel,145,56.5,2,14998
 A4,2017,Manual,23905,Petrol,145,51.4,1.4,18698
 Q2,2018,Manual,16800,Petrol,150,52.3,1.4,18491
 A5,2014,Manual,48500,Diesel,30,60.1,2,12551
 A4,2016,Semi-Auto,23264,Diesel,20,67.3,2,17295
 Q3,2017,Manual,19078,Diesel,30,61.4,2,17530
 A3,2015,Semi-Auto,43131,Diesel,20,72.4,1.6,9270
 A1,2016,Manual,31913,Petrol,0,67.3,1,10510
 TT,2016,Manual,42553,Petrol,145,47.1,1.8,14053
 Q5,2015,Manual,34175,Diesel,200,47.9,2,18498
 Q3,2015,Manual,24861,Diesel,125,60.1,2,15698
 A5,2016,Semi-Auto,21480,Diesel,125,58.9,2,16498
 Q5,2019,Semi-Auto,50,Petrol,145,32.1,2,34698
 A5,2017,Semi-Auto,31354,Petrol,145,38.2,3,25498
 A1,2014,Manual,47000,Diesel,0,74.3,1.6,7956
 A6,2013,Semi-Auto,59811,Diesel,150,56.5,2,12998
 A3,2017,Manual,37882,Diesel,0,74.3,1.6,12498
 Q5,2015,Semi-Auto,56960,Diesel,260,41.5,3,22798
 Q2,2018,Manual,10581,Petrol,145,52.3,1.4,18351
 A4,2017,Manual,18737,Petrol,145,51.4,1.4,18298
 A5,2017,Manual,26369,Diesel,145,68.9,2,17298
 A5,2016,Manual,54000,Diesel,145,54.3,2,15995
 A5,2016,Automatic,41100,Diesel,125,58.9,2,15995
 TT,2015,Manual,32874,Diesel,30,62.8,2,14998
 A6,2016,Manual,97729,Diesel,30,61.4,2,13498
 TT,2016,Manual,22697,Diesel,30,62.8,2,16298
 A4,2013,Manual,78268,Diesel,30,61.4,2,8498
 A1,2017,Manual,30813,Petrol,0,67.3,1,10998
 A3,2015,Semi-Auto,33507,Diesel,20,72.4,1.6,13498
 A6,2019,Semi-Auto,8766,Diesel,145,39.8,3,28991
 A6,2016,Manual,35000,Diesel,30,61.4,2,18998
 Q3,2017,Manual,21967,Diesel,145,56.5,2,18998
 A3,2016,Manual,20638,Petrol,125,49.6,2,16998
 A1,2016,Manual,19512,Petrol,0,67.3,1,12798
 A6,2016,Manual,26480,Diesel,30,61.4,2,19998
 A4,2016,Manual,68248,Diesel,20,72.4,2,12998
 Q2,2019,Semi-Auto,4842,Diesel,145,46.3,1.6,22998
 A3,2016,Manual,40050,Diesel,20,68.9,1.6,13995
 A6,2014,Semi-Auto,82500,Diesel,145,54.3,3,12995
 A4,2017,Manual,53000,Diesel,0,74.3,2,14295
 A5,2013,Manual,80242,Diesel,30,60.1,2,10070
 A1,2015,Manual,29554,Diesel,0,80.7,1.6,9798
 A4,2019,Manual,3601,Petrol,145,41.5,2,18998
 A4,2016,Manual,28753,Diesel,20,68.9,2,16998
 A3,2015,Semi-Auto,9545,Petrol,200,42.8,1.8,18298
 A1,2015,Manual,22319,Petrol,0,67.3,1,10250
 Q7,2015,Automatic,41633,Diesel,200,47.9,3,28127
 Q2,2017,Manual,19530,Petrol,145,52.3,1.4,17060
 Q2,2019,Manual,333,Petrol,145,47.1,1,20888
 A1,2017,Manual,15665,Diesel,150,72.4,1.6,15495
 Q2,2019,Manual,3657,Petrol,150,47.1,1,18990
 A3,2017,Semi-Auto,35000,Diesel,30,62.8,2,13940
 A4,2019,Automatic,1996,Petrol,145,39.2,2,29698
 Q3,2015,Manual,29850,Diesel,30,61.4,2,14498
 A6,2016,Semi-Auto,49458,Diesel,30,61.4,2,14498
 A4,2018,Semi-Auto,19288,Diesel,145,61.4,2,23950
 A4,2018,Semi-Auto,19300,Diesel,145,61.4,2,23995
 A4,2016,Manual,41100,Diesel,0,74.3,2,14995
 Q3,2017,Semi-Auto,21178,Petrol,150,47.9,1.4,17954
 A3,2019,Manual,5423,Diesel,145,55.4,2,21995
 A1,2017,Semi-Auto,23496,Diesel,150,70.6,1.6,15995
 Q3,2019,Manual,1786,Diesel,150,42.8,2,27444
 A1,2020,Semi-Auto,1500,Petrol,145,44.8,1.5,25444
 A6,2019,Automatic,2000,Petrol,145,34,2,38444
 A4,2019,Automatic,8000,Diesel,145,40.4,3,39990
 Q3,2016,Manual,10855,Diesel,160,49.6,2,19498
 A5,2016,Semi-Auto,32012,Diesel,150,56.5,2,17498
 A3,2013,Semi-Auto,45618,Diesel,30,62.8,2,9698
 Q3,2016,Manual,39882,Diesel,145,52.3,2,16998
 A5,2018,Automatic,6541,Diesel,145,65.7,2,25850
 Q2,2019,Manual,2970,Petrol,145,47.1,1,20350
 A6,2015,Semi-Auto,39549,Diesel,30,64.2,2,15998
 A6,2016,Semi-Auto,43565,Diesel,125,58.9,2,18998
 A6,2016,Manual,31300,Diesel,30,61.4,2,18498
 A3,2015,Manual,40321,Diesel,20,68.9,2,13298
 TT,2015,Manual,21725,Petrol,145,47.9,2,15998
 A5,2016,Semi-Auto,37978,Diesel,165,52.3,2,17498
 A1,2019,Manual,4636,Petrol,145,50.4,1,18495
 TT,2019,Automatic,6137,Petrol,145,40.4,2,26995
 A6,2019,Automatic,6001,Diesel,145,47.9,2,31500
 Q3,2019,Manual,2054,Diesel,145,42.8,2,27888
 A1,2016,Manual,14946,Petrol,30,57.6,1.4,11990
 Q5,2019,Automatic,4000,Diesel,145,34.5,3,50950
 A5,2017,Semi-Auto,31286,Diesel,125,60.1,3,23850
 A4,2018,Manual,15072,Petrol,145,52.3,1.4,18450
 A1,2019,Automatic,3826,Petrol,145,47.1,1,19990
 A3,2018,Automatic,3954,Petrol,145,56.5,1.5,20999
 Q3,2016,Semi-Auto,25204,Diesel,145,51.4,2,19495
 Q2,2017,Automatic,31952,Diesel,145,57.7,2,19995
 Q3,2019,Semi-Auto,6249,Diesel,145,38.7,2,29444
 A1,2019,Automatic,6262,Petrol,145,47.1,1,19990
 A1,2017,Manual,18365,Petrol,145,39.8,2,22750
 Q2,2017,Semi-Auto,21248,Diesel,145,68.9,1.6,18850
 A1,2018,Manual,8300,Petrol,145,70.6,1.4,16990
 Q2,2019,Manual,4519,Diesel,145,49.6,1.6,19888
 A3,2016,Semi-Auto,27730,Diesel,30,62.8,2,15990
 A4,2020,Semi-Auto,4235,Petrol,145,36.2,2,33888
 Q2,2020,Semi-Auto,500,Petrol,145,42.2,1.5,23888
 Q2,2019,Manual,4878,Petrol,145,47.1,1,19190
 A5,2015,Automatic,43811,Diesel,125,58.9,2,12990
 Q3,2019,Semi-Auto,14481,Petrol,145,31.7,2,28490
 A3,2019,Automatic,15961,Petrol,145,41.5,1.5,21490
 A3,2016,Semi-Auto,23194,Petrol,30,54.3,1.4,16490
 A7,2016,Semi-Auto,27386,Diesel,125,61.4,3,19990
 RS3,2017,Semi-Auto,17889,Petrol,145,34,2.5,36990
 A1,2017,Manual,27209,Petrol,145,39.8,2,19250
 Q7,2016,Semi-Auto,31022,Diesel,200,47.9,3,32498
 A6,2014,Semi-Auto,40700,Diesel,30,64.2,2,14798
 A1,2015,Manual,43440,Diesel,0,80.7,1.6,9298
 A1,2016,Manual,30001,Petrol,30,56.5,1.4,12298
 A1,2015,Manual,19523,Petrol,205,40.4,2,15995
 Q3,2016,Manual,74381,Diesel,145,52.3,2,14998
 A3,2015,Manual,68137,Diesel,30,65.7,2,12498
 A5,2016,Semi-Auto,50903,Diesel,125,58.9,2,14998
 A4,2016,Semi-Auto,39312,Diesel,30,67.3,2,16131
 A3,2017,Manual,68468,Diesel,20,65.7,2,13298
 A6,2015,Semi-Auto,49039,Diesel,165,50.4,3,18998
 A3,2016,Manual,39537,Diesel,30,64.2,2,16435
 Q3,2017,Semi-Auto,32516,Diesel,145,51.4,2,19465
 TT,2017,Manual,31587,Diesel,150,60.1,2,20435
 A1,2016,Manual,22328,Petrol,30,55.4,1.4,11191
 Q3,2016,Semi-Auto,33015,Petrol,145,47.9,1.4,15540
 A3,2015,Manual,73567,Diesel,0,83.1,1.6,9391
 A6,2016,Manual,81517,Diesel,30,61.4,2,14598
 A4,2016,Manual,77061,Diesel,30,67.3,2,13498
 A1,2015,Manual,21396,Petrol,0,67.3,1,10498
 A5,2015,Semi-Auto,35177,Diesel,125,58.9,2,15698
 A1,2015,Manual,36910,Petrol,0,67.3,1,10198
 A4,2016,Manual,77976,Diesel,0,74.3,2,11998
 A4,2016,Manual,85793,Diesel,30,67.3,2,13298
 A4,2016,Manual,32379,Diesel,0,74.3,2,14998
 A4,2015,Manual,55036,Diesel,125,58.9,2,13995
 A3,2015,Manual,45000,Diesel,20,72.4,1.6,11385
 A5,2015,Semi-Auto,66500,Diesel,125,58.9,2,13890
 A4,2017,Manual,72816,Diesel,0,74.3,2,12898
 A6,2015,Automatic,91593,Diesel,20,67.3,2,13198
 TT,2015,Manual,60362,Diesel,30,62.8,2,13898
 Q5,2018,Semi-Auto,13218,Petrol,145,40.4,2,29898
 TT,2016,Manual,22688,Petrol,145,47.1,1.8,16489
 Q5,2017,Semi-Auto,37624,Petrol,145,34,3,36989
 A1,2015,Manual,39502,Petrol,30,58.9,1.4,11295
 Q3,2016,Semi-Auto,30319,Diesel,145,51.4,2,18698
 A4,2018,Manual,17047,Petrol,145,53.3,1.4,15498
 Q3,2015,Manual,26308,Diesel,145,56.5,2,15798
 A5,2019,Semi-Auto,85,Petrol,145,40.4,2,25498
 A4,2016,Manual,51559,Diesel,20,70.6,2,14798
 A1,2015,Manual,23081,Petrol,0,67.3,1,11998
 A5,2016,Semi-Auto,7355,Petrol,260,35.8,3,24698
 A3,2015,Semi-Auto,43793,Diesel,125,61.4,2,14298
 A6,2017,Semi-Auto,35786,Diesel,145,64.2,2,18998
 Q5,2014,Manual,46573,Petrol,240,37.7,2,17995
 A4,2016,Semi-Auto,37188,Diesel,20,72.4,2,15485
 A4,2017,Semi-Auto,70500,Diesel,20,72.4,2,14485
 A6,2013,Semi-Auto,46206,Diesel,145,55.4,3,13695
 Q3,2016,Manual,64842,Diesel,160,49.6,2,15480
 Q3,2017,Semi-Auto,26856,Diesel,145,55.4,2,19465
 A3,2017,Manual,44573,Diesel,145,67.3,2,12980
 A3,2017,Manual,13490,Petrol,145,54.3,1.5,18998
 Q3,2015,Manual,55259,Diesel,125,60.1,2,14498
 TT,2017,Manual,13506,Petrol,145,47.1,1.8,17498
 A6,2014,Manual,52037,Diesel,125,57.6,2,13498
 A5,2013,Manual,59773,Diesel,30,60.1,2,11998
 A1,2015,Manual,40170,Petrol,30,57.6,1.4,9898
 A5,2017,Semi-Auto,27792,Diesel,145,65.7,2,22498
 A6,2016,Semi-Auto,57365,Diesel,30,64.2,2,14698
 A4,2016,Manual,39824,Diesel,20,70.6,2,14898
 Q3,2016,Semi-Auto,74392,Petrol,145,47.9,1.4,14498
 A3,2017,Semi-Auto,41225,Diesel,145,61.4,2,18885
 Q2,2017,Semi-Auto,10253,Petrol,145,52.3,1.4,19990
 A6,2016,Semi-Auto,54928,Diesel,125,56.5,3,18440
 Q7,2016,Semi-Auto,67181,Diesel,200,47.9,3,27950
 A3,2015,Semi-Auto,5322,Petrol,30,58.9,1.4,14298
 A3,2016,Manual,31226,Petrol,30,57.6,1.4,15498
 Q3,2016,Semi-Auto,30738,Petrol,145,47.9,1.4,17498
 Q5,2015,Manual,42180,Diesel,200,47.9,2,18798
 Q5,2015,Manual,20274,Diesel,200,47.9,2,20498
 A1,2015,Manual,41015,Petrol,0,67.3,1,10498
 A3,2014,Manual,50573,Petrol,20,60.1,1.4,10998
 Q3,2016,Manual,15982,Diesel,30,60.1,2,17898
 A6,2017,Semi-Auto,21789,Diesel,145,61.4,2,21998
 TT,2016,Manual,44069,Diesel,30,62.8,2,14998
 Q2,2019,Manual,6612,Diesel,145,49.6,1.6,19998
 A3,2018,Manual,22710,Diesel,145,68.9,1.6,15840
 A6,2018,Semi-Auto,5894,Diesel,145,56.5,2,26995
 Q5,2016,Semi-Auto,58767,Diesel,200,47.1,2,19440
 Q5,2015,Semi-Auto,66000,Diesel,235,42.8,3,22995
 Q3,2017,Semi-Auto,24190,Diesel,145,55.4,2,19465
 Q7,2018,Semi-Auto,35800,Diesel,145,39.2,4,48985
 A3,2017,Manual,40000,Diesel,145,74.3,1.6,12950
 A5,2017,Automatic,28000,Diesel,20,67.3,2,20650
 Q5,2018,Semi-Auto,21000,Diesel,145,56.5,2,28450
 Q3,2016,Manual,31000,Diesel,30,60.1,2,16450
 A4,2017,Manual,62140,Diesel,145,64.2,2,15498
 Q2,2019,Semi-Auto,156,Diesel,150,46.3,2,26998
 A1,2019,Manual,8396,Petrol,150,50.4,1,17690
 Q3,2014,Semi-Auto,23340,Petrol,260,36.7,2,17998
 Q3,2017,Manual,19331,Diesel,125,57.7,2,17998
 Q5,2019,Semi-Auto,10,Petrol,145,32.1,2,35498
 Q3,2015,Manual,32914,Diesel,145,52.3,2,16698
 Q3,2016,Manual,41910,Diesel,145,52.3,2,16998
 A3,2017,Semi-Auto,27430,Petrol,145,56.5,1.4,18498
 A6,2016,Semi-Auto,62000,Diesel,30,61.4,2,17498
 Q5,2016,Manual,29049,Diesel,200,47.9,2,19498
 Q2,2018,Semi-Auto,14974,Diesel,145,68.9,1.6,18698
 A4,2017,Manual,30795,Petrol,145,51.4,1.4,14798
 A3,2016,Manual,41049,Diesel,20,65.7,2,14998
 A3,2016,Manual,29709,Petrol,20,60.1,1.4,14298
 Q5,2019,Semi-Auto,21,Petrol,145,32.1,2,35498
 Q5,2019,Semi-Auto,28,Petrol,145,33.2,2,31498
 Q3,2015,Manual,43734,Diesel,145,52.3,2,15998
 Q5,2016,Semi-Auto,42167,Diesel,235,42.2,3,29998
 A3,2016,Manual,19048,Petrol,20,60.1,1,13998
 A5,2016,Semi-Auto,65483,Diesel,150,56.5,2,16998
 A6,2019,Semi-Auto,21343,Diesel,150,50.4,2,26888
 A4,2018,Manual,20356,Petrol,150,51.4,1.4,19222
 Q3,2016,Manual,17067,Petrol,145,49.6,1.4,18450
 A3,2017,Manual,26022,Diesel,20,70.6,1.6,13390
 A3,2017,Manual,17666,Petrol,20,60.1,1.4,14998
 A3,2017,Semi-Auto,13344,Petrol,145,56.5,1.5,20998
 A4,2017,Manual,32997,Diesel,145,67.3,2,18998
 A1,2016,Manual,23718,Petrol,30,56.5,1.4,12298
 A6,2014,Semi-Auto,57525,Diesel,235,44.8,3,17998
 Q5,2013,Semi-Auto,43309,Diesel,200,47.1,2,15998
 A4,2018,Manual,23669,Petrol,145,52.3,1.4,17698
 Q3,2016,Manual,31649,Diesel,30,60.1,2,15998
 A3,2016,Manual,15056,Petrol,125,53.3,1.4,13290
 Q2,2019,Manual,4667,Diesel,145,49.6,1.6,20444
 A4,2017,Manual,12000,Diesel,145,70.6,2,17444
 Q2,2018,Semi-Auto,11489,Petrol,145,52.3,1.4,20490
 Q2,2019,Manual,7801,Diesel,145,46.3,1.6,25444
 A1,2019,Manual,4467,Petrol,150,46.3,1.5,21644
 A5,2014,Semi-Auto,43605,Petrol,300,34.9,3,16990
 Q3,2013,Manual,69884,Diesel,145,54.3,2,10190
 Q3,2017,Manual,27428,Diesel,145,56.5,2,19491
 A1,2016,Manual,42391,Diesel,0,76.3,1.6,9578
 A3,2016,Semi-Auto,32002,Diesel,30,61.4,2,16998
 Q2,2017,Manual,24654,Diesel,30,64.2,1.6,16298
 A3,2016,Manual,31952,Diesel,0,83.1,1.6,11998
 A6,2015,Manual,38431,Diesel,30,61.4,2,17498
 Q5,2016,Manual,34189,Diesel,200,47.9,2,19998
 A4,2017,Manual,57161,Diesel,20,70.6,2,14298
 A4,2017,Manual,46147,Diesel,145,70.6,2,15498
 A1,2016,Manual,48889,Diesel,0,76.3,1.6,9498
 A6,2014,Manual,80050,Diesel,125,57.6,2,10917
 A1,2016,Manual,22225,Petrol,30,56.5,1.4,13170
 RS3,2016,Semi-Auto,28083,Petrol,300,34.9,2.5,28991
 Q3,2018,Semi-Auto,19000,Petrol,145,45.6,1.4,23650
 Q2,2019,Semi-Auto,6837,Diesel,145,47.9,1.6,19888
 Q3,2016,Semi-Auto,24020,Petrol,145,47.9,1.4,17790
 A8,2017,Semi-Auto,32066,Petrol,145,30.1,4,35850
 Q3,2016,Manual,25647,Diesel,30,62.8,2,15990
 Q7,2019,Semi-Auto,10342,Diesel,145,33.2,3,44990
 Q3,2015,Manual,27632,Petrol,125,50.4,1.4,13990
 A6,2016,Manual,35421,Diesel,30,64.2,2,16990
 Q3,2016,Manual,38578,Petrol,145,49.6,1.4,16290
 Q2,2019,Manual,4462,Diesel,150,49.6,1.6,22444
 A1,2019,Semi-Auto,5304,Petrol,145,40.9,2,21790
 Q2,2019,Manual,3505,Petrol,145,47.1,1,21490
 Q7,2017,Semi-Auto,30262,Diesel,145,39.2,4,49490
 Q2,2017,Manual,10044,Petrol,145,52.3,1.4,18490
 Q7,2019,Automatic,4000,Diesel,145,33.2,3,56490
 Q2,2019,Manual,3047,Diesel,145,49.6,1.6,19790
 Q3,2017,Semi-Auto,23166,Petrol,145,47.9,1.4,20040
 A4,2017,Manual,17450,Diesel,145,67.3,2,18230
 Q3,2017,Manual,30949,Diesel,30,61.4,2,17990
 A1,2017,Manual,34003,Petrol,0,67.3,1,11495
 A4,2016,Manual,30578,Diesel,0,74.3,2,14995
 Q3,2015,Manual,28129,Diesel,125,60.1,2,16498
 A4,2017,Semi-Auto,51875,Diesel,20,70.6,2,15498
 A3,2016,Manual,33279,Petrol,30,60.1,1.4,16298
 Q3,2015,Semi-Auto,31695,Diesel,160,51.4,2,18298
 Q2,2017,Manual,12300,Petrol,145,52.3,1.4,17990
 A4,2017,Manual,21541,Diesel,145,74.3,2,15490
 Q2,2018,Semi-Auto,10200,Petrol,145,52.3,1.4,21790
