main_topic,sub_topic,problem_id,student_id,correct
mathematics,calculus,29,49,1
mathematics,statistics,177,62,1
computer science,operating systems,168,67,0
data science,data preprocessing,186,27,0
computer science,database systems,72,85,0
computer science,data structures,142,85,0
mathematics,discrete mathematics,110,1,0
mathematics,statistics,167,61,0
physics,thermodynamics,169,36,1
mathematics,discrete mathematics,42,73,0
mathematics,discrete mathematics,48,88,0
physics,optics,11,72,0
physics,mechanics,25,49,0
physics,electromagnetism,76,90,0
mathematics,geometry,20,73,0
computer science,computer networks,143,5,0
mathematics,geometry,139,38,0
computer science,algorithms,189,77,1
computer science,operating systems,10,60,1
physics,mechanics,92,81,1
data science,big data analytics,172,1,1
data science,data visualization,180,64,1
computer science,database systems,30,61,1
data science,data visualization,61,100,1
data science,data preprocessing,50,95,1
computer science,operating systems,153,1,0
physics,optics,158,96,0
data science,deep learning,75,55,0
data science,deep learning,170,21,1
physics,mechanics,113,27,1
computer science,data structures,52,1,1
mathematics,discrete mathematics,178,17,1
mathematics,calculus,136,18,1
mathematics,calculus,72,35,0
data science,data visualization,57,8,0
physics,optics,161,22,0
computer science,algorithms,111,26,1
data science,machine learning,191,38,0
data science,big data analytics,146,82,1
data science,big data analytics,94,90,0
physics,optics,48,75,1
mathematics,discrete mathematics,61,39,0
physics,electromagnetism,110,98,0
mathematics,geometry,161,45,1
computer science,data structures,150,2,1
mathematics,discrete mathematics,32,32,1
physics,optics,164,87,1
mathematics,statistics,51,42,0
physics,optics,4,5,0
computer science,algorithms,52,77,1
physics,quantum physics,16,97,1
mathematics,statistics,151,73,0
computer science,algorithms,122,18,1
computer science,computer networks,19,2,0
data science,deep learning,11,94,1
data science,deep learning,58,97,1
mathematics,discrete mathematics,178,4,0
mathematics,geometry,168,2,0
physics,mechanics,170,83,0
mathematics,linear algebra,1,35,0
computer science,operating systems,19,85,1
data science,big data analytics,115,61,1
data science,machine learning,174,98,0
mathematics,linear algebra,162,87,1
data science,data preprocessing,70,7,1
data science,data visualization,99,37,1
