game_level,character_level,weekly_play_time,chat_activity,item_level,quest_completed,pvp_score,guild_rank,inactive_days
1,93,17.8,162,99,246,1540,22,5
0,6,4.6,0,5,35,153,50,18
1,110,34.0,187,104,213,1898,10,3
0,32,16.7,93,23,104,1140,29,11
1,72,18.5,104,66,174,1408,20,7
0,39,8.0,29,30,57,1134,26,7
1,44,13.3,82,30,44,1211,24,14
0,70,16.1,93,77,127,1151,20,5
1,75,22.1,113,63,220,1576,18,12
0,43,6.3,73,35,46,1037,32,12
0,42,0.0,52,31,76,609,39,10
1,91,18.0,99,86,169,1444,14,6
0,23,7.7,27,16,131,671,36,11
0,28,16.3,43,23,61,1554,39,16
0,7,0.0,0,1,12,704,42,14
1,39,19.5,70,34,122,1420,43,14
2,87,25.4,142,111,195,1561,13,5
1,70,15.3,63,80,170,973,14,7
0,1,5.1,0,1,36,535,50,21
1,26,11.6,33,25,52,641,30,7
0,46,9.5,70,31,56,1254,28,13
0,28,2.3,53,19,115,1067,22,13
0,2,5.9,0,1,3,497,42,18
0,14,3.6,70,20,69,1010,29,12
0,20,11.5,12,26,102,1081,28,12
1,82,17.2,115,91,167,2056,14,9
2,149,39.2,226,173,305,2446,1,0
1,103,24.4,154,115,257,1883,3,1
1,68,22.0,175,78,190,1617,20,10
0,32,7.3,56,30,68,773,28,14
1,27,9.5,28,17,98,1379,29,7
0,1,5.3,0,1,48,510,37,14
2,94,24.4,86,98,238,2195,16,4
0,23,15.7,50,7,81,812,33,10
1,62,20.1,131,63,177,1256,18,6
1,59,20.9,114,54,121,1674,25,12
2,140,41.9,240,171,248,1965,1,0
1,93,19.4,183,90,260,1715,12,4
0,61,9.2,92,61,152,1453,23,11
1,52,12.3,98,51,134,1444,11,12
1,75,22.3,126,77,197,1102,17,6
1,64,14.9,74,51,67,1373,17,8
0,58,17.0,99,54,150,1089,25,8
1,90,25.5,110,108,240,1625,14,8
1,44,21.7,74,46,151,1096,18,12
1,43,8.3,59,31,75,1054,22,14
0,33,12.2,47,32,85,1346,25,10
1,74,26.2,120,68,178,1457,20,9
0,52,15.8,67,39,133,913,25,13
1,62,23.9,106,58,152,1649,18,12
1,37,17.8,63,27,100,1286,26,7
0,5,0.0,11,1,46,451,43,18
1,78,21.0,127,69,199,1536,18,5
1,97,30.7,103,101,206,1621,17,2
0,11,4.6,10,7,32,712,38,15
0,22,15.8,5,23,37,1247,39,15
1,80,15.6,149,99,164,1354,16,5
0,8,0.0,24,1,47,237,38,19
0,48,6.4,35,61,56,1223,32,13
1,72,18.4,108,76,147,1619,12,9
1,74,24.3,119,60,176,1616,23,3
0,38,2.3,92,39,30,425,30,17
2,112,29.2,195,129,226,1846,11,1
1,80,21.7,126,70,203,1807,16,10
1,56,14.9,98,61,110,1426,25,8
1,58,14.6,85,38,117,1414,25,12
2,109,26.9,200,118,242,2005,1,3
1,66,23.8,119,71,176,1345,20,6
1,86,27.2,106,80,168,2114,16,6
1,70,30.4,114,88,200,1172,17,3
1,74,23.5,116,81,157,1931,16,4
2,160,46.7,261,167,320,2430,1,0
1,56,16.1,36,43,128,869,23,10
0,33,14.1,66,22,106,1561,24,10
1,95,26.5,132,99,225,1311,11,2
0,67,21.8,136,68,145,1140,16,7
1,46,14.6,50,34,142,1242,28,12
1,91,31.5,166,100,195,1822,5,10
0,1,0.0,0,1,0,504,45,17
1,94,31.7,141,74,211,1877,7,8
1,74,22.4,104,86,140,1553,21,6
0,34,9.6,117,24,89,521,35,11
0,34,7.9,87,13,52,915,34,7
0,17,3.7,4,1,20,946,29,14
0,37,12.0,89,16,164,717,34,14
1,87,20.8,150,97,162,1567,14,4
1,64,11.6,122,75,135,1559,23,7
0,1,0.0,0,1,0,185,50,17
1,94,23.3,128,103,178,1847,10,8
1,77,25.2,110,68,181,1205,16,5
1,86,20.2,156,83,161,1646,19,9
1,75,29.7,141,85,94,1384,22,4
1,45,8.8,40,46,64,1124,27,9
0,2,5.5,0,1,64,620,37,19
0,43,15.6,106,37,75,1311,26,16
1,51,20.9,112,65,151,1685,24,7
1,72,27.9,111,89,169,1550,27,2
1,23,15.3,54,8,94,798,33,12
0,44,4.9,78,1,121,1167,20,10
1,73,25.3,145,84,206,1100,17,5
1,75,26.0,118,81,146,1695,22,11
1,80,20.5,107,77,104,1452,18,12
0,1,0.0,0,1,0,0,43,17
1,113,31.0,187,104,254,1501,4,1
1,54,14.8,90,44,196,1562,26,11
1,51,12.8,72,44,185,1376,20,10
1,92,18.4,161,102,166,1450,10,1
0,1,2.2,0,1,1,453,29,21
1,63,10.4,85,51,126,956,24,8
1,86,28.6,143,79,251,1974,15,10
1,77,30.8,162,87,209,1657,11,4
0,45,10.6,63,44,128,1060,13,9
1,53,13.9,103,51,156,1322,15,11
0,40,7.2,53,26,112,1094,26,12
0,51,18.4,14,49,80,1222,20,10
0,1,0.0,0,1,0,144,43,12
0,3,4.6,67,1,91,545,35,11
1,38,13.0,46,57,110,1138,30,7
0,71,17.2,121,72,129,1454,24,5
0,1,3.7,0,1,1,555,35,16
0,14,8.0,30,1,42,1027,31,15
1,42,13.1,73,30,110,1242,36,9
1,80,19.6,81,85,172,1175,26,4
1,41,12.1,84,36,116,1408,24,14
1,51,17.5,63,46,146,1626,26,11
1,36,8.9,35,14,99,869,36,16
0,47,3.9,11,45,44,687,28,9
0,60,23.5,105,54,132,1467,13,7
1,75,25.4,119,81,193,1754,6,8
1,32,12.8,62,1,47,745,36,14
1,23,17.1,76,14,63,1035,29,9
1,93,25.3,143,98,184,1402,24,4
1,46,11.5,62,53,114,1151,27,10
0,29,15.5,24,20,49,897,25,10
1,25,5.3,50,9,64,959,35,20
1,97,27.5,220,122,237,1895,9,3
1,102,27.7,227,108,191,1994,10,0
1,49,12.0,64,50,101,1001,24,14
0,40,10.2,50,45,79,959,27,15
0,57,19.3,95,67,175,932,20,10
0,50,16.0,50,52,75,998,28,16
0,3,0.0,39,1,49,550,37,13
1,58,15.9,147,59,138,1504,32,4
1,38,18.8,65,29,112,1161,26,6
0,31,16.5,7,25,126,894,35,10
1,38,12.2,55,19,89,1337,28,16
0,52,13.8,88,52,135,1349,25,5
1,53,13.2,92,69,141,1105,29,7
0,31,7.1,39,19,97,1138,30,14
1,50,12.0,90,49,140,1340,25,9
1,79,22.4,113,75,98,1338,24,10
1,85,20.2,85,89,176,1823,21,4
0,37,12.2,49,24,105,1275,35,11
2,79,26.1,93,98,158,1494,21,6
0,8,15.6,67,1,66,694,38,12
1,64,26.5,132,61,157,1425,10,8
1,40,12.7,61,27,122,1285,25,15
0,27,9.2,46,16,130,949,36,12
1,60,18.5,111,38,125,1002,28,14
0,52,10.8,87,71,166,1123,18,6
0,26,7.4,63,1,113,1340,31,12
0,30,8.8,86,25,63,1414,27,14
2,133,29.8,185,150,330,2273,6,1
1,51,23.8,58,66,185,1346,27,3
1,51,17.0,91,65,155,1182,22,6
2,104,29.4,233,104,277,1770,6,4
0,24,7.6,37,33,185,903,22,17
0,3,0.1,34,1,41,1026,38,17
1,59,15.5,121,50,104,1024,22,8
1,51,14.5,90,57,115,1177,28,3
0,1,0.0,0,1,0,0,47,22
0,11,13.3,0,1,98,599,31,12
0,1,0.0,0,1,0,128,47,20
0,50,10.1,85,61,86,680,26,10
1,75,28.5,99,78,222,1642,6,6
0,21,5.8,81,5,49,679,31,18
0,46,10.1,85,39,74,809,25,12
1,57,17.0,96,47,129,1321,26,5
1,39,14.0,53,33,116,956,34,14
1,55,19.7,80,42,121,1489,28,7
1,59,19.1,70,58,113,858,24,14
0,1,3.4,42,1,56,709,33,19
0,45,17.8,80,30,173,1042,35,12
0,11,8.8,11,1,14,564,34,16
1,63,16.9,82,58,160,1248,28,11
1,96,26.9,161,123,182,1463,3,5
1,32,10.2,78,27,71,777,26,5
0,1,0.0,0,1,10,336,43,15
1,79,23.5,110,92,176,1883,14,9
1,57,18.5,111,58,148,767,19,6
0,34,11.2,16,9,104,1448,21,8
0,18,6.3,27,10,82,669,41,20
0,35,13.0,4,17,52,982,29,14
0,1,0.0,0,1,28,0,39,19
0,41,16.0,43,46,70,827,23,10
1,54,18.6,29,41,73,1348,26,11
1,87,22.0,175,80,156,1364,9,10
1,57,20.8,104,49,127,879,26,13
0,28,1.0,27,1,77,899,33,9
1,73,22.0,92,59,160,1326,22,2
0,31,9.6,73,39,90,921,21,11
1,64,22.6,109,49,144,1295,24,5
0,1,0.0,0,1,0,385,45,19
1,50,11.7,47,26,96,774,29,11
1,79,12.8,130,87,146,1239,24,7
1,80,19.4,91,75,125,1554,10,8
0,32,17.4,44,7,66,811,27,17
1,67,11.4,98,59,195,1340,20,11
2,97,21.6,148,106,215,1535,15,4
0,15,2.9,38,18,69,770,38,20
0,38,2.5,47,7,91,803,38,14
0,13,0.0,9,1,27,1056,40,17
0,65,11.8,85,51,115,1298,28,6
1,88,25.7,132,94,205,1866,5,4
1,86,22.2,123,77,202,1589,5,10
0,38,3.1,87,26,92,881,38,13
1,29,10.5,81,27,136,1097,15,12
1,87,27.2,186,91,255,1906,9,6
1,71,26.6,105,74,226,1639,14,7
0,1,0.3,0,1,0,375,41,21
1,71,21.9,155,68,133,1802,13,5
0,13,2.7,29,4,58,727,43,19
0,24,4.1,80,15,65,780,27,16
1,116,26.3,212,125,251,1992,14,0
0,59,12.5,105,69,32,1283,16,11
1,56,17.0,54,62,175,1514,28,9
0,29,5.2,40,20,175,1127,31,14
1,77,24.1,96,88,200,1761,13,3
1,78,25.2,128,97,171,1928,21,10
1,71,28.1,134,66,197,1389,14,10
0,1,0.0,0,1,0,312,37,15
1,71,21.2,61,60,149,1881,10,8
0,35,10.2,0,7,76,647,45,10
0,26,16.3,0,25,57,549,32,11
0,28,9.4,42,18,62,900,36,16
1,55,16.8,126,69,112,1184,23,10
1,39,23.4,86,39,158,1250,30,11
0,42,17.1,89,48,94,1325,29,7
1,81,13.3,64,77,145,1103,18,8
2,94,30.0,138,94,248,1872,15,7
0,35,11.7,46,24,74,1101,33,7
1,97,26.0,172,98,194,1811,9,4
1,79,21.2,99,80,180,1334,25,13
0,23,18.2,43,18,79,903,30,16
1,44,16.3,42,57,110,924,23,15
1,68,11.9,79,57,132,1217,21,8
0,31,12.3,0,15,74,863,38,11
1,56,17.7,33,53,98,1343,33,10
1,51,21.2,96,50,93,1423,18,10
0,40,8.6,38,17,85,848,26,10
0,55,15.7,120,44,111,1011,26,10
0,8,8.3,63,1,60,861,28,17
0,34,3.5,53,40,34,723,32,15
1,51,14.2,59,59,111,1259,19,7
1,41,13.8,80,37,137,1192,14,10
1,70,24.1,175,86,169,1619,14,7
0,36,10.0,33,21,40,1092,30,10
1,72,24.3,128,60,218,1546,19,4
1,75,27.5,64,64,188,1831,15,9
0,44,14.3,63,43,104,1277,21,6
1,96,26.0,173,96,171,1605,11,3
1,84,27.4,105,75,199,1201,22,0
1,47,20.8,61,37,138,1203,25,9
0,34,9.1,80,24,118,1188,28,17
0,53,15.4,99,58,144,1423,24,10
1,82,19.7,126,98,171,1485,22,5
1,63,17.6,65,56,200,1434,17,9
1,68,24.7,113,67,181,1477,14,10
0,30,15.0,81,13,72,879,31,14
1,82,15.9,137,65,193,1665,18,11
1,78,22.7,95,87,126,1448,18,2
0,29,7.0,51,32,25,1250,30,18
1,69,16.9,78,48,89,1251,27,4
1,57,17.0,92,60,98,1029,21,10
1,67,14.4,95,63,165,995,22,9
1,82,20.6,157,78,155,1252,15,9
0,9,0.0,0,4,1,530,36,18
0,51,14.5,55,38,84,941,27,12
1,88,20.4,124,113,152,1559,17,7
0,12,3.2,44,1,70,373,34,14
0,16,13.7,36,1,92,513,25,13
0,51,13.1,42,44,34,843,31,13
2,99,27.5,126,102,231,1861,10,4
1,49,19.8,101,49,95,1162,23,7
1,73,20.9,115,48,110,1595,24,0
2,87,29.8,173,107,200,1635,18,11
1,52,15.9,93,56,126,1374,31,12
0,23,7.1,45,22,20,954,35,16
1,58,20.2,131,59,110,1966,16,5
0,30,1.8,79,26,46,722,35,13
0,46,1.8,44,41,110,1446,26,8
1,84,23.4,97,88,116,1455,21,9
1,32,17.8,21,15,138,938,26,13
1,109,34.9,222,129,236,1956,2,0
1,61,22.2,130,57,112,1495,21,9
1,108,23.9,104,111,186,1825,19,4
1,77,21.3,101,80,158,1312,13,7
0,1,3.1,11,1,35,534,37,22
2,92,31.6,109,93,202,1827,13,7
0,56,15.1,50,46,77,1215,29,12
0,46,19.9,67,22,171,1296,22,12
0,59,21.3,46,65,96,1145,28,7
1,76,17.7,134,77,137,1183,23,8
1,47,11.2,69,40,128,1298,38,10
1,63,18.8,73,76,116,1264,26,12
0,25,10.2,71,18,4,1312,28,10
1,100,25.9,123,100,174,1779,8,6
0,26,6.0,66,25,47,1334,33,6
1,74,18.1,104,77,181,1466,20,2
1,56,18.6,68,56,134,1418,26,10
1,48,10.0,80,44,153,1246,27,10
1,83,25.3,151,79,169,1580,19,7
1,72,20.6,108,75,162,1578,18,4
0,42,5.6,49,26,68,1222,37,20
0,28,0.4,6,40,75,1056,27,14
1,62,13.8,113,80,120,1801,29,4
1,89,25.7,127,92,218,1806,9,5
1,101,24.8,142,103,195,1878,17,2
1,57,24.3,140,65,110,1318,23,8
0,56,9.0,41,43,117,960,26,11
1,59,11.7,114,65,62,1476,32,13
0,51,11.8,71,44,95,1256,28,9
1,77,23.7,128,86,189,1487,21,10
1,60,22.1,95,62,121,1278,24,7
1,38,13.3,99,34,150,1086,24,10
1,73,18.2,152,64,150,1403,25,8
1,68,16.7,155,89,203,1866,9,12
1,70,19.0,122,73,144,1626,24,6
0,73,18.3,101,68,121,1049,11,10
0,14,3.3,21,1,84,1369,40,10
1,61,19.9,140,50,166,1065,19,11
0,31,9.0,61,27,104,905,28,14
2,136,30.8,149,156,318,2022,2,0
0,27,11.6,97,26,106,837,23,11
0,40,8.8,91,31,116,1339,22,8
1,40,10.8,61,43,129,840,32,11
0,1,1.9,20,1,36,886,42,14
1,84,18.1,104,90,183,1376,16,3
0,45,5.9,27,36,110,1334,26,12
0,31,8.3,37,10,52,1166,28,7
1,38,7.8,4,24,82,838,21,13
0,59,11.7,15,36,103,1075,25,14
0,4,5.8,33,1,40,479,35,18
0,13,11.2,8,19,47,1244,37,15
1,68,20.8,185,72,193,1560,15,10
1,84,16.6,172,117,150,1538,14,3
0,28,9.1,8,20,18,1081,44,15
0,35,3.2,54,19,89,1076,30,8
1,84,19.9,158,86,149,1955,10,8
1,35,18.5,48,23,80,888,32,13
0,37,19.0,75,19,145,1300,27,14
0,10,0.0,56,1,49,544,38,17
0,51,16.6,84,44,58,960,32,12
0,67,22.1,119,60,183,1490,24,8
0,33,12.9,27,24,82,781,30,12
0,15,11.0,0,9,76,728,35,10
0,52,11.2,70,52,92,1300,20,11
2,80,22.9,159,98,168,1452,15,7
2,123,33.9,172,138,283,2099,5,1
1,63,14.0,76,58,99,966,35,13
0,1,13.1,34,1,92,576,35,18
1,66,19.6,97,70,140,1588,21,6
1,63,14.6,107,61,118,1448,20,8
1,40,15.0,86,26,111,1352,12,8
1,54,17.0,55,34,128,1152,21,17
1,43,20.6,97,42,90,1108,26,10
1,55,18.3,129,60,137,1355,34,9
2,119,29.6,219,132,303,2194,1,3
0,16,2.3,0,1,64,732,38,13
0,25,12.0,33,14,52,1010,29,15
0,29,10.2,64,4,84,1352,29,19
0,58,16.0,90,57,126,1164,20,6
1,67,26.7,86,72,156,1414,22,10
1,51,20.7,54,57,67,926,19,16
0,46,14.9,69,46,68,870,38,17
1,52,15.1,91,41,67,1264,26,14
1,75,27.8,129,80,176,1193,27,14
1,55,14.6,142,37,160,1601,17,5
0,32,5.7,54,38,107,671,46,8
1,74,16.7,96,77,137,1234,11,8
0,34,13.7,44,19,114,1165,25,15
0,8,13.1,14,1,42,827,41,16
1,34,15.3,49,26,169,850,20,12
1,45,26.3,118,41,146,1243,28,11
1,65,16.4,61,62,77,1081,17,11
1,70,18.1,124,88,161,1724,27,8
0,77,22.5,97,77,113,987,20,6
1,66,18.5,110,71,206,1529,24,10
0,1,0.0,0,1,0,583,50,21
0,26,11.7,24,27,74,519,28,10
0,13,1.8,0,1,20,681,35,10
1,95,16.8,118,100,210,1765,6,0
0,41,8.8,89,32,102,912,33,10
0,37,7.3,25,28,49,1215,34,15
0,13,2.6,24,3,62,62,49,13
0,72,15.6,120,71,181,1415,13,7
1,50,13.4,75,33,85,1264,22,9
0,52,13.4,121,63,188,1551,24,13
1,86,29.9,112,71,176,2001,12,2
1,80,16.7,141,91,150,1244,8,4
1,75,14.7,100,77,141,1332,6,3
1,68,21.5,93,79,167,1744,17,4
0,9,3.7,1,1,75,638,41,18
0,44,9.0,28,26,39,686,28,14
0,38,7.8,41,33,95,666,18,6
2,122,34.4,205,120,213,1834,7,0
1,58,15.1,108,62,158,1705,14,5
1,61,18.9,88,53,180,959,23,9
0,29,11.1,29,41,62,859,27,13
1,50,20.4,56,55,126,1094,18,13
0,1,0.0,0,1,0,77,50,14
1,76,23.1,132,62,192,1860,14,1
1,47,13.0,41,38,105,610,35,11
2,106,34.8,196,127,206,1943,8,9
0,62,12.1,99,61,137,817,28,13
1,80,20.8,85,64,179,1671,21,9
1,113,31.2,150,112,238,2190,8,0
1,76,13.1,72,67,160,1411,17,7
1,65,20.2,148,69,198,1857,17,2
1,96,28.8,183,96,197,2043,8,3
0,29,6.6,61,4,54,758,35,11
1,87,25.5,66,97,215,1360,21,6
1,43,16.6,115,24,102,1069,40,10
1,57,17.3,76,45,112,1361,28,10
0,35,9.4,75,32,129,911,29,14
0,1,8.6,63,1,100,758,41,14
0,66,17.7,82,78,103,977,17,12
1,76,27.3,88,67,157,1513,14,8
0,25,14.5,54,24,106,1043,33,12
1,81,10.7,126,87,211,1597,16,5
1,61,29.5,85,70,180,1427,15,7
1,70,21.0,82,75,154,1512,19,10
1,35,11.2,70,40,81,1280,28,4
0,54,19.0,90,37,119,1111,23,11
0,40,14.8,69,35,174,793,23,12
1,75,26.2,97,67,181,1904,13,7
1,48,15.3,86,39,183,1239,22,7
0,33,3.0,39,12,131,768,32,15
1,56,18.6,128,54,142,1523,27,8
1,98,18.5,127,97,205,1697,12,7
1,69,12.4,117,78,240,1314,29,7
0,6,4.2,51,4,51,902,28,4
2,119,36.7,194,119,210,2334,6,1
0,1,0.0,0,1,0,483,48,19
1,79,24.3,101,57,103,1538,19,12
1,60,17.7,141,46,186,1183,23,17
0,43,19.3,66,47,122,1224,28,13
1,97,27.7,181,113,232,1982,8,2
1,100,25.2,161,107,212,2122,10,7
1,46,8.8,43,36,148,1108,28,13
0,18,3.8,72,21,52,758,35,11
0,35,12.2,81,30,111,1072,28,4
1,49,13.4,133,41,118,1344,28,11
0,34,8.2,4,12,67,874,24,13
1,70,17.6,74,61,127,1541,25,5
1,73,19.1,121,65,191,1987,20,6
1,85,20.5,121,89,188,1641,29,8
2,76,22.0,133,89,159,1517,18,5
0,27,6.9,72,17,45,934,43,13
0,49,20.9,46,36,114,1283,27,8
1,32,8.1,9,20,84,897,34,20
1,105,15.4,165,104,186,1416,14,4
0,17,9.5,29,7,70,977,41,19
1,59,15.9,79,61,124,1496,34,9
1,69,23.6,115,44,194,1573,26,10
0,33,11.4,47,14,15,1110,32,13
2,122,33.8,230,147,266,2227,4,0
0,10,4.9,30,1,58,450,33,13
1,23,10.7,26,6,107,984,31,11
0,1,0.3,15,1,6,597,42,18
1,76,22.9,89,91,185,1614,26,6
1,71,16.6,104,74,204,1442,13,6
1,52,15.8,116,47,148,1263,22,12
1,85,20.2,83,69,130,1359,23,7
1,107,24.6,163,109,220,2187,9,5
1,90,22.1,142,90,174,1682,16,4
0,29,11.2,5,13,88,778,29,14
1,92,28.1,153,100,183,1996,14,3
0,54,22.1,73,42,139,1370,20,10
0,58,10.0,99,48,98,863,28,10
1,96,24.8,139,106,270,1357,15,10
1,44,16.9,109,26,142,1101,22,11
0,1,0.8,0,1,21,558,41,22
0,26,23.7,92,17,128,1279,29,11
1,91,19.3,157,90,180,1360,22,4
1,53,18.5,143,68,118,1301,23,6
1,67,27.7,89,59,181,1513,18,4
1,42,15.4,32,53,143,1073,27,8
1,85,25.6,130,86,180,1452,14,7
1,45,21.4,78,56,173,801,33,6
1,67,23.6,58,69,130,1438,20,13
0,42,20.1,79,41,178,1462,27,12
0,20,11.8,82,19,139,429,40,16
0,37,16.7,31,47,79,1419,24,8
0,17,0.0,0,1,39,540,41,15
1,50,11.3,76,59,113,1000,20,14
0,66,20.7,104,79,199,1439,19,7
1,69,17.3,165,71,122,1273,12,11
0,16,10.5,26,1,86,823,34,10
1,79,21.3,116,79,194,1356,18,11
0,1,0.0,15,1,0,279,50,17
1,78,18.7,122,67,136,1719,5,11
1,89,24.3,110,99,194,1679,11,9
0,20,7.5,15,9,41,991,38,16
1,71,22.0,105,67,121,1743,20,8
0,26,12.5,41,10,67,992,26,18
1,104,30.5,101,107,196,1559,6,4
0,28,12.0,60,1,0,785,39,13
0,72,14.3,105,62,166,1137,19,11
0,61,30.9,56,53,153,1208,16,4
1,46,10.7,118,48,152,1425,24,7
1,66,16.2,109,51,205,1411,20,7
1,73,23.0,132,87,183,1650,17,3
0,35,12.3,3,9,80,550,35,14
1,90,21.0,141,91,231,1646,10,7
2,121,35.4,177,143,262,2177,2,2
1,43,3.7,44,38,130,408,26,12
0,21,12.1,56,1,7,745,33,14
2,104,32.7,169,115,213,1868,3,6
1,95,21.9,163,116,245,1596,9,0
0,51,11.2,26,52,113,524,26,7
0,36,2.4,43,26,65,762,39,5
1,52,14.1,80,43,101,1006,18,9
0,34,4.5,54,22,97,940,33,16
2,120,30.0,152,141,253,2480,5,1
0,36,5.6,29,22,26,1378,39,11
0,1,1.1,22,1,28,423,33,10
1,76,20.8,151,84,123,1523,15,6
0,37,9.7,39,20,105,952,31,9
0,37,17.9,120,27,172,1432,13,8
1,85,17.6,197,69,182,1602,14,6
0,40,12.7,41,32,99,1122,27,9
0,13,8.2,15,1,28,1048,35,15
1,39,17.9,106,15,44,1267,28,11
0,46,20.4,103,49,111,966,26,8
2,117,37.7,197,111,226,2043,5,1
0,5,2.5,0,1,8,521,50,19
1,83,21.9,114,86,191,1683,13,6
0,27,14.7,64,11,0,469,34,16
0,39,4.2,39,24,69,712,30,13
1,36,5.6,18,17,70,1125,33,18
0,29,2.0,70,24,46,903,37,11
2,99,32.7,215,92,240,1903,8,5
0,1,0.0,15,1,25,189,48,12
1,55,4.8,78,52,165,926,30,5
0,2,5.4,11,1,50,616,33,14
1,98,15.6,107,109,210,1796,10,11
1,75,23.1,124,75,144,1329,19,6
2,91,24.3,156,85,193,1608,10,5
0,23,0.0,34,1,56,1055,39,11
0,58,14.4,109,35,61,1156,30,14
0,22,11.6,35,1,101,935,30,13
0,1,4.3,0,1,34,67,48,23
1,47,6.1,78,33,140,1051,26,9
0,1,0.0,0,1,16,599,43,23
0,24,1.6,12,32,70,584,37,13
0,43,23.1,72,29,126,1495,16,12
1,78,20.2,98,74,225,1591,18,3
0,39,5.1,77,19,88,941,27,14
1,91,31.3,149,71,191,1744,11,6
0,36,11.4,97,27,104,1209,34,11
0,50,14.0,71,44,107,1066,32,8
0,20,11.1,40,26,46,1111,21,12
1,78,21.1,122,86,125,1786,21,11
0,1,2.4,0,1,80,456,35,19
1,57,13.6,85,47,105,1286,17,9
1,51,8.7,106,35,139,818,28,8
0,30,7.2,31,15,51,809,30,9
1,54,15.3,92,58,110,1117,19,4
1,69,19.5,101,78,124,1030,25,9
1,77,13.6,152,82,179,1707,10,7
0,59,15.6,110,57,186,1631,18,5
1,67,17.3,89,77,139,1590,14,6
0,1,4.9,0,1,0,699,39,15
1,89,26.9,183,84,220,1436,11,5
0,44,10.1,45,36,77,825,30,14
1,87,27.4,120,81,204,1916,13,3
1,49,11.7,100,59,130,1040,27,13
0,31,12.1,76,32,109,1290,25,9
0,27,9.1,14,31,72,1152,28,13
0,29,5.8,91,21,74,1101,24,10
1,45,12.4,83,49,129,976,26,9
1,42,14.2,59,30,135,802,21,4
2,102,27.6,175,101,284,1997,11,0
0,14,5.4,50,8,98,727,43,12
0,27,6.5,40,15,113,626,29,16
0,10,6.7,92,2,73,672,34,12
1,100,32.5,184,102,178,1790,13,0
0,28,8.7,37,14,115,822,21,8
1,26,13.6,68,16,109,1156,33,11
1,71,19.4,120,69,162,1379,15,6
1,59,23.3,152,57,201,1686,18,7
0,9,3.7,0,1,15,851,50,12
1,50,22.2,106,62,152,1212,17,3
0,28,10.1,0,26,27,699,28,13
1,70,23.8,74,64,109,1605,22,8
0,31,7.0,38,21,89,1013,29,11
1,81,23.5,194,99,172,1460,13,9
0,1,6.5,0,9,49,668,42,14
0,50,7.8,69,44,127,1046,16,13
2,94,30.4,176,104,241,1632,1,3
0,28,8.0,65,16,51,1113,31,13
0,16,6.9,8,1,90,466,36,11
1,86,17.7,139,114,203,1534,11,1
2,130,34.7,234,143,305,2252,1,0
0,31,3.0,60,20,54,960,35,9
0,10,7.2,26,1,40,887,39,18
1,32,16.1,74,34,105,940,26,14
2,134,37.8,213,146,269,2165,1,4
0,17,6.1,45,8,45,882,29,20
1,68,12.9,57,84,128,1570,21,7
1,81,24.0,149,85,167,1873,5,5
1,59,12.9,105,54,102,1685,20,9
0,29,14.1,100,31,105,773,29,10
0,1,2.1,5,1,0,576,47,24
0,14,12.2,33,1,74,811,39,16
0,17,2.4,9,7,69,535,28,19
1,70,13.8,114,87,234,1258,18,10
1,70,20.4,127,68,191,1308,24,9
0,33,19.4,75,18,140,805,28,6
1,55,24.0,112,36,156,869,34,12
1,70,24.3,104,76,227,1735,23,5
1,75,18.2,89,71,122,1193,17,8
0,27,10.1,21,30,73,820,25,10
0,6,6.1,0,1,23,682,31,16
1,40,10.3,46,56,126,831,26,12
0,1,0.0,0,1,0,396,41,20
0,49,9.4,49,61,132,1151,27,15
1,69,14.4,104,78,152,1149,20,6
1,110,31.6,199,130,262,1970,4,0
1,61,21.7,97,76,172,1440,20,13
2,137,33.7,204,133,284,2348,10,3
1,82,25.6,130,71,188,1613,24,10
1,31,12.7,64,18,181,1011,27,12
1,64,18.0,87,42,111,1248,18,9
1,55,23.6,115,42,59,1378,31,9
0,3,0.8,0,1,36,369,45,12
0,34,7.5,35,29,54,1290,31,11
1,56,17.4,94,44,131,1334,16,14
1,72,22.2,108,57,204,1453,15,3
1,53,18.3,100,56,102,1196,10,10
2,107,37.5,243,117,240,2085,4,3
1,85,28.3,173,78,194,1486,11,0
0,19,11.3,38,3,92,637,23,11
1,88,21.4,66,90,138,1624,14,9
2,119,29.9,222,137,266,2113,5,5
1,64,20.0,100,53,170,1866,15,8
1,38,8.1,0,29,71,1130,33,9
1,63,13.6,126,50,127,1403,15,11
0,44,14.9,76,33,124,1072,29,14
0,72,11.4,126,56,147,1567,27,13
0,15,3.3,30,1,83,859,24,12
1,75,23.9,144,69,204,1581,5,4
1,76,22.0,111,54,149,1650,28,6
0,65,7.8,85,67,108,1418,16,9
0,20,10.1,121,10,67,892,26,8
1,93,24.7,150,115,172,2010,6,5
1,79,25.4,155,80,137,1407,16,6
0,26,15.4,60,1,70,1032,37,11
0,54,13.9,44,53,73,1060,35,6
1,31,11.4,62,15,109,908,36,9
0,21,5.1,23,18,58,1010,37,14
0,1,0.0,0,1,0,739,46,22
2,130,29.2,192,135,253,2115,9,0
1,68,22.0,103,68,115,1386,20,11
0,53,17.4,60,59,128,1405,21,7
1,83,18.2,142,83,193,1845,17,8
0,50,16.5,74,49,104,971,28,14
0,22,6.7,1,16,71,743,37,17
1,39,14.8,57,42,94,1160,19,16
0,55,16.7,86,56,100,1337,22,12
0,25,10.4,49,12,56,614,29,12
0,16,5.7,17,14,30,605,33,12
1,73,21.3,106,66,155,1503,21,6
