학교명,학년,학생수,교사수
만송초등학교,4,72,3
만송초등학교,5,95,4
만송초등학교,6,94,6
만수초등학교,1,198,8
만수초등학교,2,173,8
만수초등학교,3,201,8
만수초등학교,4,184,7
만수초등학교,5,216,9
만수초등학교,6,224,10
만승초등학교,1,79,4
만승초등학교,2,90,4
만승초등학교,3,88,5
만승초등학교,4,99,4
만승초등학교,5,119,6
만승초등학교,6,136,7
만안초등학교,1,73,3
만안초등학교,2,65,3
만안초등학교,3,79,3
만안초등학교,4,79,5
만안초등학교,5,83,3
만안초등학교,6,101,5
만정초등학교,1,118,5
만정초등학교,2,111,4
만정초등학교,3,141,6
만정초등학교,4,164,6
만정초등학교,5,169,7
만정초등학교,6,188,8
만종초등학교,1,17,1
만종초등학교,2,12,1
만종초등학교,3,13,1
만종초등학교,4,14,1
만종초등학교,5,11,1
만종초등학교,6,14,2
만천초등학교,1,119,6
만천초등학교,2,96,5
만천초등학교,3,150,7
만천초등학교,4,153,7
만천초등학교,5,143,7
만천초등학교,6,173,8
만호초등학교,1,158,8
만호초등학교,2,141,6
만호초등학교,3,147,6
만호초등학교,4,158,7
만호초등학교,5,177,8
만호초등학교,6,161,8
망경초등학교,1,30,2
망경초등학교,2,23,1
망경초등학교,3,40,2
망경초등학교,4,34,3
망경초등학교,5,31,2
망경초등학교,6,36,3
망미초등학교,1,67,4
망미초등학교,2,76,4
망미초등학교,3,81,4
망미초등학교,4,84,4
망미초등학교,5,103,5
망미초등학교,6,118,5
망상초등학교,1,7,1
망상초등학교,2,9,1
망상초등학교,3,12,1
망상초등학교,4,12,1
망상초등학교,5,13,1
망상초등학교,6,11,2
망월초등학교,1,243,9
망월초등학교,2,313,11
망월초등학교,3,262,9
망월초등학교,4,294,11
망월초등학교,5,340,12
망월초등학교,6,292,11
망포초등학교,1,371,14
망포초등학교,2,418,15
망포초등학교,3,363,13
망포초등학교,4,356,13
망포초등학교,5,362,13
망포초등학교,6,282,11
매곡초등학교,1,224,12
매곡초등학교,2,238,12
매곡초등학교,3,207,10
매곡초등학교,4,217,10
매곡초등학교,5,237,11
매곡초등학교,6,271,14
매류초등학교,1,8,1
매류초등학교,2,5,1
매류초등학교,3,9,1
매류초등학교,4,8,1
매류초등학교,5,8,1
매류초등학교,6,9,1
매봉초등학교,1,175,7
매봉초등학교,2,158,6
매봉초등학교,3,166,7
매봉초등학교,4,126,6
매봉초등학교,5,142,5
매봉초등학교,6,119,5
매산초등학교,1,255,14
매산초등학교,2,260,12
매산초등학교,3,278,13
매산초등학교,4,249,12
매산초등학교,5,261,12
매산초등학교,6,288,13
매안초등학교,1,153,8
매안초등학교,2,190,8
매안초등학교,3,176,7
매안초등학교,4,176,7
매안초등학교,5,207,8
매안초등학교,6,180,7
매여울초등학교,1,67,3
매여울초등학교,2,92,4
매여울초등학교,3,83,3
매여울초등학교,4,82,3
매여울초등학교,5,104,4
매여울초등학교,6,82,3
매원초등학교,1,306,12
매원초등학교,2,334,13
매원초등학교,3,316,12
매원초등학교,4,305,12
매원초등학교,5,363,15
매원초등학교,6,308,13
매탄초등학교,1,174,7
매탄초등학교,2,208,8
매탄초등학교,3,216,8
매탄초등학교,4,223,8
매탄초등학교,5,217,8
매탄초등학교,6,243,10
매포초등학교,1,22,1
매포초등학교,2,30,2
매포초등학교,3,15,1
매포초등학교,4,16,2
매포초등학교,5,25,2
매포초등학교,6,27,2
매현초등학교,1,58,3
매현초등학교,2,58,3
매현초등학교,3,60,3
매현초등학교,4,65,3
매현초등학교,5,78,5
매현초등학교,6,67,3
매홀초등학교,1,31,2
매홀초등학교,2,31,2
매홀초등학교,3,31,2
매홀초등학교,4,28,2
매홀초등학교,5,33,3
매홀초등학교,6,48,3
매화초등학교,1,76,3
매화초등학교,2,75,4
매화초등학교,3,67,4
매화초등학교,4,81,5
매화초등학교,5,88,4
매화초등학교,6,90,6
맹동초등학교,1,7,1
맹동초등학교,2,9,1
맹동초등학교,3,9,1
맹동초등학교,4,5,1
맹동초등학교,5,17,2
맹동초등학교,6,36,3
맹방초등학교,1,13,1
맹방초등학교,2,10,1
맹방초등학교,3,13,1
맹방초등학교,4,12,1
맹방초등학교,5,14,1
맹방초등학교,6,10,1
면온초등학교,1,8,1
면온초등학교,2,6,1
면온초등학교,3,7,1
면온초등학교,4,7,1
면온초등학교,5,10,1
면온초등학교,6,7,1
면천초등학교,1,10,1
면천초등학교,2,7,1
면천초등학교,3,11,1
면천초등학교,4,11,1
면천초등학교,5,9,1
면천초등학교,6,5,1
명곡초등학교,1,67,3
명곡초등학교,2,55,3
명곡초등학교,3,42,3
명곡초등학교,4,36,2
명곡초등학교,5,46,3
명곡초등학교,6,43,2
명당초등학교,1,37,2
명당초등학교,2,43,2
명당초등학교,3,47,2
명당초등학교,4,55,2
명당초등학교,5,50,2
명당초등학교,6,66,3
명덕초등학교,1,290,17
명덕초등학교,2,293,16
명덕초등학교,3,289,14
명덕초등학교,4,278,14
명덕초등학교,5,331,15
명덕초등학교,6,349,18
명도초등학교,1,74,4
명도초등학교,2,100,4
명도초등학교,3,69,3
명도초등학교,4,68,3
명도초등학교,5,69,3
명도초등학교,6,95,5
명동초등학교,1,85,4
명동초등학교,2,102,4
명동초등학교,3,91,4
명동초등학교,4,91,5
명동초등학교,5,64,3
명동초등학교,6,59,3
명륜초등학교,1,226,10
명륜초등학교,2,258,10
명륜초등학교,3,258,11
명륜초등학교,4,258,11
명륜초등학교,5,322,14
명륜초등학교,6,322,13
명문초등학교,1,234,11
명문초등학교,2,0,6
명문초등학교,3,0,4
명문초등학교,4,0,4
명문초등학교,5,0,3
명문초등학교,6,0,1
명산초등학교,1,34,2
명산초등학교,2,24,1
명산초등학교,3,33,2
명산초등학교,4,20,1
명산초등학교,5,27,2
명산초등학교,6,16,1
명서초등학교,1,70,5
명서초등학교,2,57,3
명서초등학교,3,79,3
명서초등학교,4,70,3
명서초등학교,5,97,5
명서초등학교,6,94,6
명석초등학교,1,5,1
명석초등학교,2,13,1
명석초등학교,3,13,1
명석초등학교,4,13,1
명석초등학교,5,13,2
명석초등학교,6,18,1
명신초등학교,1,7,1
명신초등학교,2,11,1
명신초등학교,3,11,1
명신초등학교,4,11,1
명신초등학교,5,7,1
명신초등학교,6,9,1
명원초등학교,1,223,8
명원초등학교,2,378,12
명원초등학교,3,337,12
명원초등학교,4,300,10
명원초등학교,5,264,9
명원초등학교,6,264,9
명인초등학교,1,90,4
명인초등학교,2,108,4
명인초등학교,3,108,4
명인초등학교,4,121,5
명인초등학교,5,125,5
명인초등학교,6,140,8
명일초등학교,1,173,8
명일초등학교,2,153,7
명일초등학교,3,159,6
명일초등학교,4,138,6
명일초등학교,5,110,5
명일초등학교,6,88,4
명장초등학교,1,74,3
명장초등학교,2,60,3
명장초등학교,3,62,3
명장초등학교,4,69,4
명장초등학교,5,67,3
명장초등학교,6,62,3
명정초등학교,1,85,5
명정초등학교,2,87,4
명정초등학교,3,91,4
명정초등학교,4,116,5
명정초등학교,5,122,6
명정초등학교,6,120,6
명주초등학교,1,89,5
명주초등학교,2,110,5
명주초등학교,3,101,4
명주초등학교,4,110,5
명주초등학교,5,121,5
명주초등학교,6,108,6
명지초등학교,1,525,21
명지초등학교,2,529,22
명지초등학교,3,534,22
명지초등학교,4,450,19
명지초등학교,5,482,21
명지초등학교,6,513,23
명진초등학교,1,84,4
명진초등학교,2,115,6
명진초등학교,3,113,5
명진초등학교,4,91,4
명진초등학교,5,125,5
명진초등학교,6,110,4
명천초등학교,1,126,7
명천초등학교,2,144,6
명천초등학교,3,144,6
명천초등학교,4,144,6
명천초등학교,5,136,5
명천초등학교,6,136,6
명촌초등학교,1,185,10
명촌초등학교,2,184,7
명촌초등학교,3,140,7
명촌초등학교,4,142,6
명촌초등학교,5,161,7
명촌초등학교,6,104,4
명학초등학교,1,55,2
명학초등학교,2,60,3
명학초등학교,3,68,4
명학초등학교,4,52,2
명학초등학교,5,57,2
명학초등학교,6,45,2
명호초등학교,1,247,9
명호초등학교,2,279,12
명호초등학교,3,281,11
명호초등학교,4,273,11
명호초등학교,5,291,11
명호초등학교,6,308,13
모당초등학교,1,116,5
모당초등학교,2,134,5
모당초등학교,3,112,4
모당초등학교,4,128,6
모당초등학교,5,120,5
모당초등학교,6,113,4
모덕초등학교,1,86,4
모덕초등학교,2,112,5
모덕초등학교,3,113,6
모덕초등학교,4,120,5
모덕초등학교,5,137,6
모덕초등학교,6,137,7
모동초등학교,1,9,2
모동초등학교,2,18,3
모동초등학교,3,14,2
모동초등학교,4,18,2
모동초등학교,5,30,3
모동초등학교,6,20,2
모라초등학교,1,10,1
모라초등학교,2,29,3
모라초등학교,3,32,2
모라초등학교,4,24,2
모라초등학교,5,35,2
모라초등학교,6,20,1
모락초등학교,1,56,2
모락초등학교,2,83,3
모락초등학교,3,63,3
모락초등학교,4,62,3
모락초등학교,5,80,3
모락초등학교,6,63,3
모량초등학교,1,11,1
모량초등학교,2,7,1
모량초등학교,3,7,1
모량초등학교,4,5,1
모량초등학교,5,6,1
모량초등학교,6,15,2
모산초등학교,1,247,12
모산초등학교,2,251,10
모산초등학교,3,230,11
모산초등학교,4,232,10
모산초등학교,5,295,14
모산초등학교,6,271,12
모아초등학교,1,8,1
모아초등학교,2,2,1
모아초등학교,3,6,1
모아초등학교,4,8,1
모아초등학교,5,8,1
모아초등학교,6,6,1
모전초등학교,1,423,17
모전초등학교,2,444,18
모전초등학교,3,474,18
모전초등학교,4,452,17
모전초등학교,5,488,20
모전초등학교,6,430,16
모충초등학교,1,69,3
모충초등학교,2,76,3
모충초등학교,3,74,3
모충초등학교,4,65,3
모충초등학교,5,78,3
모충초등학교,6,72,4
모현초등학교,1,22,1
모현초등학교,2,42,2
모현초등학교,3,24,2
모현초등학교,4,44,2
모현초등학교,5,40,2
모현초등학교,6,60,3
모화초등학교,1,48,2
모화초등학교,2,54,3
모화초등학교,3,59,3
모화초등학교,4,52,2
모화초등학교,5,56,4
모화초등학교,6,52,2
목감초등학교,1,53,2
목감초등학교,2,41,2
목감초등학교,3,50,2
목감초등학교,4,49,2
목감초등학교,5,67,4
목감초등학교,6,60,4
목도초등학교,1,6,1
목도초등학교,2,8,1
목도초등학교,3,12,1
목도초등학교,4,10,2
목도초등학교,5,10,1
목도초등학교,6,8,1
목동초등학교,1,10,1
목동초등학교,2,12,1
목동초등학교,3,11,1
목동초등학교,4,7,1
목동초등학교,5,20,2
목동초등학교,6,13,1
목련초등학교,1,19,1
목련초등학교,2,20,1
목련초등학교,3,17,1
목련초등학교,4,25,2
목련초등학교,5,33,2
목련초등학교,6,39,3
목암초등학교,1,130,5
목암초등학교,2,128,5
목암초등학교,3,168,7
목암초등학교,4,142,6
목암초등학교,5,177,7
목암초등학교,6,170,7
목천초등학교,1,21,2
목천초등학교,2,15,1
목천초등학교,3,17,1
목천초등학교,4,26,2
목천초등학교,5,14,1
목천초등학교,6,30,2
목포남초등학교,1,10,1
목포남초등학교,2,10,1
목포남초등학교,3,7,1
목포남초등학교,4,17,1
목포남초등학교,5,13,1
목포남초등학교,6,13,1
목포대성초등학교,1,83,4
목포대성초등학교,2,83,4
목포대성초등학교,3,66,3
목포대성초등학교,4,63,3
목포대성초등학교,5,86,5
목포대성초등학교,6,71,3
목포대연초등학교,1,28,2
목포대연초등학교,2,31,2
목포대연초등학교,3,22,1
목포대연초등학교,4,29,2
목포대연초등학교,5,37,3
목포대연초등학교,6,35,2
목포동초등학교,1,46,2
목포동초등학교,2,57,3
목포동초등학교,3,58,3
목포동초등학교,4,59,3
목포동초등학교,5,75,4
목포동초등학교,6,89,5
목포미항초등학교,1,42,2
목포미항초등학교,2,44,2
목포미항초등학교,3,62,3
목포미항초등학교,4,53,3
목포미항초등학교,5,68,3
목포미항초등학교,6,48,3
목포백련초등학교,1,181,7
목포백련초등학교,2,181,7
목포백련초등학교,3,180,8
목포백련초등학교,4,190,8
목포백련초등학교,5,202,8
목포백련초등학교,6,184,8
목포부영초등학교,1,42,2
목포부영초등학교,2,24,1
목포부영초등학교,3,32,2
목포부영초등학교,4,41,2
목포부영초등학교,5,49,2
목포부영초등학교,6,49,3
목포부주초등학교,1,127,6
목포부주초등학교,2,129,6
목포부주초등학교,3,151,6
목포부주초등학교,4,157,7
목포부주초등학교,5,183,7
목포부주초등학교,6,151,7
목포북교초등학교,1,12,1
목포북교초등학교,2,8,1
목포북교초등학교,3,19,1
목포북교초등학교,4,17,1
목포북교초등학교,5,23,2
목포북교초등학교,6,23,2
목포산정초등학교,1,23,2
목포산정초등학교,2,18,1
목포산정초등학교,3,29,3
목포산정초등학교,4,16,1
목포산정초등학교,5,23,2
목포산정초등학교,6,28,1
목포삼학초등학교,1,45,2
목포삼학초등학교,2,58,3
목포삼학초등학교,3,46,2
목포삼학초등학교,4,65,3
목포삼학초등학교,5,75,3
목포삼학초등학교,6,69,4
목포상동초등학교,1,11,1
목포상동초등학교,2,6,1
목포상동초등학교,3,15,1
목포상동초등학교,4,15,1
목포상동초등학교,5,23,2
목포상동초등학교,6,17,1
목포서부초등학교,1,90,4
목포서부초등학교,2,76,4
목포서부초등학교,3,89,4
목포서부초등학교,4,133,7
목포서부초등학교,5,148,7
목포서부초등학교,6,140,6
목포서해초등학교,1,67,3
목포서해초등학교,2,73,3
목포서해초등학교,3,71,4
목포서해초등학교,4,52,2
목포서해초등학교,5,81,3
목포서해초등학교,6,94,4
목포석현초등학교,1,164,7
목포석현초등학교,2,150,6
목포석현초등학교,3,169,9
목포석현초등학교,4,148,6
목포석현초등학교,5,199,7
목포석현초등학교,6,208,8
목포신흥초등학교,1,82,4
목포신흥초등학교,2,83,4
목포신흥초등학교,3,100,4
목포신흥초등학교,4,94,4
목포신흥초등학교,5,112,5
목포신흥초등학교,6,111,4
목포애향초등학교,1,77,4
목포애향초등학교,2,78,4
목포애향초등학교,3,87,4
목포애향초등학교,4,94,4
목포애향초등학교,5,102,4
목포애향초등학교,6,103,4
목포연동초등학교,1,14,1
목포연동초등학교,2,8,1
목포연동초등학교,3,19,1
목포연동초등학교,4,22,1
목포연동초등학교,5,18,1
목포연동초등학교,6,33,2
목포연산초등학교,1,72,4
목포연산초등학교,2,72,3
목포연산초등학교,3,77,4
목포연산초등학교,4,93,4
목포연산초등학교,5,92,4
목포연산초등학교,6,86,3
목포영산초등학교,1,103,4
목포영산초등학교,2,115,5
목포영산초등학교,3,109,5
목포영산초등학교,4,138,6
목포영산초등학교,5,138,6
목포영산초등학교,6,142,6
목포옥암초등학교,1,102,4
목포옥암초등학교,2,87,5
목포옥암초등학교,3,107,5
목포옥암초등학교,4,120,5
목포옥암초등학교,5,160,7
목포옥암초등학교,6,148,7
목포용해초등학교,1,79,4
목포용해초등학교,2,114,5
목포용해초등학교,3,83,4
목포용해초등학교,4,108,5
목포용해초등학교,5,124,6
목포용해초등학교,6,153,6
목포용호초등학교,1,32,2
목포용호초등학교,2,35,2
목포용호초등학교,3,37,3
목포용호초등학교,4,37,2
목포용호초등학교,5,34,3
목포용호초등학교,6,42,2
목포유달초등학교,1,12,1
목포유달초등학교,2,11,1
목포유달초등학교,3,9,1
목포유달초등학교,4,14,1
목포유달초등학교,5,11,1
목포유달초등학교,6,14,1
목포이로초등학교,1,96,4
목포이로초등학교,2,99,4
목포이로초등학교,3,104,5
목포이로초등학교,4,109,6
목포이로초등학교,5,146,6
목포이로초등학교,6,111,5
목포임성초등학교,1,14,1
목포임성초등학교,2,8,1
목포임성초등학교,3,14,1
목포임성초등학교,4,9,1
목포임성초등학교,5,15,1
목포임성초등학교,6,15,2
목포중앙초등학교,1,8,1
목포중앙초등학교,2,16,1
목포중앙초등학교,3,12,1
목포중앙초등학교,4,8,1
목포중앙초등학교,5,10,1
목포중앙초등학교,6,15,2
목포청호초등학교,1,45,2
목포청호초등학교,2,52,3
목포청호초등학교,3,53,3
목포청호초등학교,4,47,2
목포청호초등학교,5,78,3
목포청호초등학교,6,91,5
목포하당초등학교,1,29,2
목포하당초등학교,2,26,1
목포하당초등학교,3,27,2
목포하당초등학교,4,33,2
목포하당초등학교,5,32,2
목포하당초등학교,6,45,4
목포한빛초등학교,1,73,5
목포한빛초등학교,2,63,3
목포한빛초등학교,3,57,3
목포한빛초등학교,4,52,3
목포한빛초등학교,5,61,3
목포한빛초등학교,6,79,3
목포항도초등학교,1,126,5
목포항도초등학교,2,152,7
목포항도초등학교,3,139,6
목포항도초등학교,4,149,6
목포항도초등학교,5,151,6
목포항도초등학교,6,170,6
목행초등학교,1,50,2
목행초등학교,2,52,2
목행초등학교,3,44,2
목행초등학교,4,55,3
목행초등학교,5,71,4
목행초등학교,6,73,3
몰운대초등학교,1,118,5
몰운대초등학교,2,168,7
몰운대초등학교,3,144,6
몰운대초등학교,4,143,6
몰운대초등학교,5,169,7
몰운대초등학교,6,165,9
묘량중앙초등학교,1,13,1
묘량중앙초등학교,2,12,1
묘량중앙초등학교,3,11,2
묘량중앙초등학교,4,6,1
묘량중앙초등학교,5,10,1
묘량중앙초등학교,6,17,2
무거초등학교,1,167,9
무거초등학교,2,194,8
무거초등학교,3,177,7
무거초등학교,4,190,8
무거초등학교,5,241,10
무거초등학교,6,179,7
무극초등학교,1,53,3
무극초등학교,2,56,3
무극초등학교,3,49,3
무극초등학교,4,52,3
무극초등학교,5,64,3
무극초등학교,6,77,5
무동초등학교,1,182,8
무동초등학교,2,228,9
무동초등학교,3,245,9
무동초등학교,4,202,9
무동초등학교,5,254,11
무동초등학교,6,208,8
무등초등학교,1,33,2
무등초등학교,2,47,2
무등초등학교,3,43,3
무등초등학교,4,42,2
무등초등학교,5,72,4
무등초등학교,6,67,4
무룡초등학교,1,80,4
무룡초등학교,2,83,4
무룡초등학교,3,98,5
무룡초등학교,4,87,4
무룡초등학교,5,100,4
무룡초등학교,6,93,5
무릉초등학교,1,12,2
무릉초등학교,2,9,2
무릉초등학교,3,9,2
무릉초등학교,4,12,2
무릉초등학교,5,28,2
무릉초등학교,6,23,2
무봉초등학교,1,99,4
무봉초등학교,2,109,4
무봉초등학교,3,106,5
무봉초등학교,4,128,5
무봉초등학교,5,133,5
무봉초등학교,6,138,5
무선초등학교,1,46,2
무선초등학교,2,57,3
무선초등학교,3,35,2
무선초등학교,4,50,3
무선초등학교,5,63,4
무선초등학교,6,77,3
무실초등학교,1,63,4
무실초등학교,2,79,4
무실초등학교,3,69,3
무실초등학교,4,80,4
무실초등학교,5,107,5
무실초등학교,6,106,5
무안초등학교,1,79,5
무안초등학교,2,82,5
무안초등학교,3,84,6
무안초등학교,4,84,4
무안초등학교,5,109,5
무안초등학교,6,102,7
무안행복초등학교,1,295,12
무안행복초등학교,2,283,12
무안행복초등학교,3,280,11
무안행복초등학교,4,235,9
무안행복초등학교,5,259,9
무안행복초등학교,6,208,7
무원초등학교,1,135,5
무원초등학교,2,100,4
무원초등학교,3,108,5
무원초등학교,4,106,4
무원초등학교,5,127,5
무원초등학교,6,132,5
무장초등학교,1,3,1
무장초등학교,2,9,2
무장초등학교,3,11,1
무장초등학교,4,7,1
무장초등학교,5,8,1
무장초등학교,6,15,1
무정초등학교,1,80,4
무정초등학교,2,71,5
무정초등학교,3,74,4
무정초등학교,4,60,4
무정초등학교,5,77,5
무정초등학교,6,81,5
무주중앙초등학교,1,39,2
무주중앙초등학교,2,45,2
무주중앙초등학교,3,64,3
무주중앙초등학교,4,50,2
무주중앙초등학교,5,56,3
무주중앙초등학교,6,63,3
무주초등학교,1,24,2
무주초등학교,2,32,2
무주초등학교,3,21,1
무주초등학교,4,27,2
무주초등학교,5,31,2
무주초등학교,6,50,3
무지개초등학교,1,192,8
무지개초등학교,2,194,7
무지개초등학교,3,186,7
무지개초등학교,4,182,7
무지개초등학교,5,208,8
무지개초등학교,6,168,7
무학초등학교,1,54,4
무학초등학교,2,59,4
무학초등학교,3,71,4
무학초등학교,4,70,4
무학초등학교,5,109,5
무학초등학교,6,97,5
묵호초등학교,1,17,1
묵호초등학교,2,13,1
묵호초등학교,3,12,1
묵호초등학교,4,18,1
묵호초등학교,5,10,1
묵호초등학교,6,20,2
문경초등학교,1,10,1
문경초등학교,2,5,1
문경초등학교,3,12,1
문경초등학교,4,21,1
문경초등학교,5,18,1
문경초등학교,6,23,2
문광초등학교,1,12,1
문광초등학교,2,7,1
문광초등학교,3,14,1
문광초등학교,4,9,1
문광초등학교,5,10,1
문광초등학교,6,11,1
문기초등학교,1,77,3
문기초등학교,2,91,4
문기초등학교,3,78,3
문기초등학교,4,91,5
문기초등학교,5,93,4
문기초등학교,6,95,4
문덕초등학교,1,155,7
문덕초등학교,2,170,8
문덕초등학교,3,174,9
문덕초등학교,4,170,8
문덕초등학교,5,185,8
문덕초등학교,6,171,8
문막초등학교,1,50,3
문막초등학교,2,57,4
문막초등학교,3,48,2
문막초등학교,4,87,5
문막초등학교,5,86,4
문막초등학교,6,62,3
문발초등학교,1,61,3
문발초등학교,2,54,3
문발초등학교,3,43,2
문발초등학교,4,42,2
문발초등학교,5,55,2
문발초등학교,6,54,2
문백초등학교,1,9,1
문백초등학교,2,7,1
문백초등학교,3,9,1
문백초등학교,4,8,2
문백초등학교,5,13,1
문백초등학교,6,15,1
문산동초등학교,1,82,3
문산동초등학교,2,124,5
문산동초등학교,3,106,4
문산동초등학교,4,96,4
문산동초등학교,5,143,5
문산동초등학교,6,138,6
문산초등학교,1,234,13
문산초등학교,2,276,13
문산초등학교,3,258,11
문산초등학교,4,281,16
문산초등학교,5,311,14
문산초등학교,6,283,15
문상초등학교,1,13,1
문상초등학교,2,9,1
문상초등학교,3,20,1
문상초등학교,4,17,1
문상초등학교,5,12,2
문상초등학교,6,29,2
문선초등학교,1,97,5
문선초등학교,2,92,4
문선초등학교,3,104,5
문선초등학교,4,115,5
문선초등학교,5,146,7
문선초등학교,6,110,6
문수초등학교,1,35,3
문수초등학교,2,32,2
문수초등학교,3,47,3
문수초등학교,4,41,2
문수초등학교,5,37,3
문수초등학교,6,44,4
문시초등학교,1,96,4
문시초등학교,2,110,4
문시초등학교,3,115,5
문시초등학교,4,153,6
문시초등학교,5,163,6
문시초등학교,6,179,7
문암초등학교,1,9,1
문암초등학교,2,4,1
문암초등학교,3,11,1
문암초등학교,4,2,1
문암초등학교,5,8,1
문암초등학교,6,14,2
문우초등학교,1,39,2
문우초등학교,2,43,2
문우초등학교,3,42,2
문우초등학교,4,49,3
문우초등학교,5,66,3
문우초등학교,6,57,4
문원초등학교,1,237,9
문원초등학교,2,302,11
문원초등학교,3,281,10
문원초등학교,4,299,11
문원초등학교,5,321,12
문원초등학교,6,305,12
문의초등학교,1,4,1
문의초등학교,2,8,1
문의초등학교,3,9,1
문의초등학교,4,8,1
문의초등학교,5,13,1
문의초등학교,6,16,2
문의초등학교도원분교장,1,14,1
문의초등학교도원분교장,2,9,1
문의초등학교도원분교장,3,11,1
문의초등학교도원분교장,4,6,1
문의초등학교도원분교장,5,15,1
문의초등학교도원분교장,6,7,1
문장초등학교,1,33,3
문장초등학교,2,39,3
문장초등학교,3,51,4
문장초등학교,4,42,3
문장초등학교,5,57,3
문장초등학교,6,63,3
문정초등학교,1,22,2
문정초등학교,2,42,2
문정초등학교,3,30,2
문정초등학교,4,52,3
문정초등학교,5,44,2
문정초등학교,6,49,3
문지초등학교,1,62,3
문지초등학교,2,64,3
문지초등학교,3,65,4
문지초등학교,4,73,4
문지초등학교,5,89,5
문지초등학교,6,92,5
문촌초등학교,1,36,2
문촌초등학교,2,51,2
문촌초등학교,3,54,2
문촌초등학교,4,61,3
문촌초등학교,5,65,4
문촌초등학교,6,74,4
문충초등학교,1,17,1
문충초등학교,2,9,1
문충초등학교,3,17,1
문충초등학교,4,7,1
문충초등학교,5,17,1
문충초등학교,6,18,2
문현초등학교,1,175,9
문현초등학교,2,222,11
문현초등학교,3,200,10
문현초등학교,4,170,8
문현초등학교,5,203,10
문현초등학교,6,210,9
문화초등학교,1,59,3
문화초등학교,2,91,4
문화초등학교,3,87,4
문화초등학교,4,135,6
문화초등학교,5,134,5
문화초등학교,6,158,6
문흥중앙초등학교,1,46,3
문흥중앙초등학교,2,59,3
문흥중앙초등학교,3,63,3
문흥중앙초등학교,4,61,3
문흥중앙초등학교,5,84,5
문흥중앙초등학교,6,78,4
문흥초등학교,1,27,2
문흥초등학교,2,32,2
문흥초등학교,3,25,2
문흥초등학교,4,33,2
문흥초등학교,5,40,3
문흥초등학교,6,42,2
물금초등학교,1,113,5
물금초등학교,2,88,4
물금초등학교,3,78,4
물금초등학교,4,74,4
물금초등학교,5,73,3
물금초등학교,6,67,4
물메초등학교,1,18,1
물메초등학교,2,16,1
물메초등학교,3,16,1
물메초등학교,4,19,1
물메초등학교,5,24,1
물메초등학교,6,15,1
미곡초등학교,1,13,1
미곡초등학교,2,11,1
미곡초등학교,3,8,1
미곡초등학교,4,6,1
미곡초등학교,5,7,1
미곡초등학교,6,10,1
미남초등학교,1,53,3
미남초등학교,2,47,2
미남초등학교,3,45,2
미남초등학교,4,63,4
미남초등학교,5,59,3
미남초등학교,6,56,3
미로초등학교,1,7,1
미로초등학교,2,6,1
미로초등학교,3,7,1
미로초등학교,4,5,1
미로초등학교,5,9,1
미로초등학교,6,10,2
미룡초등학교,1,6,1
미룡초등학교,2,8,1
미룡초등학교,3,14,1
미룡초등학교,4,12,1
미룡초등학교,5,25,1
미룡초등학교,6,21,2
미르초등학교,1,82,5
미르초등학교,2,103,6
미르초등학교,3,82,4
미르초등학교,4,112,6
미르초등학교,5,124,5
미르초등학교,6,112,5
미리벌초등학교,1,188,8
미리벌초등학교,2,162,7
미리벌초등학교,3,174,7
미리벌초등학교,4,156,6
미리벌초등학교,5,209,8
미리벌초등학교,6,199,9
미사강변초등학교,1,197,8
미사강변초등학교,2,227,8
미사강변초등학교,3,218,8
미사강변초등학교,4,253,9
미사강변초등학교,5,297,11
미사강변초등학교,6,273,11
미사중앙초등학교,1,261,10
미사중앙초등학교,2,290,11
미사중앙초등학교,3,286,11
미사중앙초등학교,4,270,10
미사중앙초등학교,5,251,9
미사중앙초등학교,6,262,11
미사초등학교,1,139,6
미사초등학교,2,173,7
미사초등학교,3,199,8
미사초등학교,4,174,7
미사초등학교,5,185,7
미사초등학교,6,180,7
미산초등학교,1,84,6
미산초등학교,2,80,5
미산초등학교,3,79,4
미산초등학교,4,85,5
미산초등학교,5,122,7
미산초등학교,6,95,5
미양초등학교,1,10,1
미양초등학교,2,11,1
미양초등학교,3,5,1
미양초등학교,4,6,1
미양초등학교,5,11,1
미양초등학교,6,22,2
미원초등학교,1,42,3
미원초등학교,2,50,3
미원초등학교,3,45,3
미원초등학교,4,53,4
미원초등학교,5,70,5
미원초등학교,6,54,4
미조초등학교,1,11,1
미조초등학교,2,4,1
미조초등학교,3,12,1
미조초등학교,4,5,1
미조초등학교,5,6,1
미조초등학교,6,12,2
미죽초등학교,1,23,1
미죽초등학교,2,18,1
미죽초등학교,3,16,1
미죽초등학교,4,15,1
미죽초등학교,5,18,1
미죽초등학교,6,10,1
미천초등학교,1,4,1
미천초등학교,2,5,1
미천초등학교,3,19,1
미천초등학교,4,6,1
미천초등학교,5,11,1
미천초등학교,6,13,2
미포초등학교,1,127,6
미포초등학교,2,127,5
미포초등학교,3,169,7
미포초등학교,4,133,5
미포초등학교,5,135,6
미포초등학교,6,131,5
민락초등학교,1,236,10
민락초등학교,2,257,11
민락초등학교,3,251,10
민락초등학교,4,223,10
민락초등학교,5,285,12
민락초등학교,6,233,9
민백초등학교,1,75,3
민백초등학교,2,95,4
민백초등학교,3,88,4
민백초등학교,4,109,4
민백초등학교,5,130,6
민백초등학교,6,150,6
민안초등학교,1,71,4
민안초등학교,2,81,4
민안초등학교,3,71,4
민안초등학교,4,67,4
민안초등학교,5,59,3
