ID,height(cm),weight(kg)
5338,151.1,50.3
5339,172.1,73.4
5340,174.1,57.5
5341,164.9,69.4
5342,169.8,62.4
5343,163.1,61.9
5344,159.3,69.2
5345,173.8,81.1
5346,174.0,53.2
5347,169.9,71.2
5348,180.7,75.5
5349,169.9,73.3
5350,162.8,64.9
5351,159.3,66.3
5352,172.2,61.0
5353,178.6,101.0
5354,156.1,52.2
5355,168.4,71.0
5356,181.9,81.0
5357,180.1,55.5
5358,169.0,81.1
5359,182.7,76.3
5360,173.9,61.5
5361,184.1,80.8
5362,162.4,65.2
5363,169.7,55.2
5364,173.6,81.9
5365,163.3,65.6
5366,172.0,69.9
5367,161.4,70.8
5368,173.0,76.9
5369,160.4,70.3
5370,159.9,58.8
5371,182.7,46.9
5372,177.9,79.8
5373,155.6,45.3
5374,165.9,61.4
5375,164.0,58.8
5376,162.0,57.9
5377,180.5,90.3
5378,176.3,67.6
5379,178.9,74.2
5380,160.4,60.8
5381,153.7,54.6
5382,167.6,72.1
5383,171.1,82.7
5384,176.1,76.7
5385,167.0,57.5
5386,176.2,109.2
5387,168.5,63.9
5388,180.1,70.2
5389,165.2,61.6
5390,170.9,55.2
5391,184.4,52.2
5392,179.3,90.1
5393,172.1,82.6
5394,166.2,71.6
5395,165.7,50.8
5396,158.0,52.2
5397,168.3,64.4
5398,159.9,47.5
5399,175.9,75.0
5400,177.2,95.6
5401,190.3,75.8
5402,163.1,66.2
5403,170.1,76.5
5404,152.8,52.4
5405,175.8,65.5
5406,179.0,80.8
5407,168.0,71.0
5408,169.1,72.5
5409,166.3,77.1
5410,168.3,57.7
5411,151.7,48.8
5412,186.2,68.5
5413,175.4,49.1
5414,180.5,69.9
5415,178.2,67.0
5416,173.3,78.2
5417,179.5,56.8
5418,158.5,64.1
5419,157.9,59.1
5420,173.5,70.5
5421,181.3,66.0
5422,168.9,57.8
5423,177.8,72.7
5424,175.8,82.8
5425,177.1,71.2
5426,164.0,61.1
5427,177.7,62.0
5428,168.7,68.7
5429,172.0,41.1
5430,166.8,74.5
5431,183.7,78.2
5432,159.7,50.3
5433,169.1,48.0
5434,165.4,80.2
5435,164.5,53.4
5436,186.3,67.7
5437,156.5,61.5
5438,165.1,71.9
5439,158.0,38.4
5440,156.4,69.7
5441,164.8,76.6
5442,160.9,56.8
5443,179.1,68.6
5444,159.4,61.1
5445,162.5,43.3
5446,157.6,58.3
5447,175.0,61.0
5448,155.8,68.1
5449,177.7,75.7
5450,162.0,65.9
5451,173.4,68.7
5452,169.6,72.4
5453,175.4,93.2
5454,179.0,59.5
5455,161.9,62.9
5456,145.0,48.8
5457,158.3,60.0
5458,160.7,68.3
5459,181.5,96.9
5460,176.6,51.6
5461,173.8,75.4
5462,164.5,44.2
5463,179.5,56.3
5464,176.7,80.0
5465,165.6,71.6
5466,158.6,44.6
5467,162.0,73.6
5468,158.2,58.8
5469,158.0,61.2
5470,166.2,72.3
5471,158.8,49.4
5472,171.9,67.1
5473,158.6,50.1
5474,156.8,62.0
5475,157.7,73.7
5476,161.5,79.5
5477,158.8,56.0
5478,172.1,88.3
5479,156.5,56.1
5480,173.7,82.7
5481,168.7,46.9
5482,160.2,51.3
5483,157.2,42.9
5484,181.6,80.6
5485,178.1,71.6
5486,167.2,78.0
5487,163.9,55.7
5488,164.1,54.4
5489,158.1,77.8
5490,170.9,87.7
5491,178.4,80.2
5492,154.7,59.5
5493,179.9,97.8
5494,166.0,56.6
5495,173.2,61.2
5496,156.6,45.2
5497,167.6,72.3
5498,172.7,48.5
5499,153.4,66.1
5500,179.6,75.8
5501,174.9,62.5
5502,169.9,78.4
5503,159.3,47.3
5504,165.4,61.6
5505,158.4,56.8
5506,159.2,45.2
5507,178.7,78.3
5508,170.2,62.3
5509,165.7,60.8
5510,164.8,71.2
5511,167.3,55.1
5512,174.4,73.6
5513,157.4,63.7
5514,174.1,82.4
5515,174.0,75.4
5516,160.9,53.5
5517,171.5,77.5
5518,176.6,67.1
5519,153.4,38.0
5520,181.4,76.8
5521,178.3,79.6
5522,172.4,83.6
5523,163.6,55.3
5524,157.0,53.6
5525,177.0,94.4
5526,160.4,64.0
5527,157.9,54.9
5528,167.4,67.1
5529,167.0,49.8
5530,175.6,65.2
5531,166.3,54.7
5532,176.8,74.8
5533,163.5,60.3
5534,157.1,68.4
5535,163.9,60.4
5536,165.1,30.5
5537,154.7,70.3
5538,158.3,51.8
5539,173.0,68.8
5540,168.1,70.2
5541,168.0,75.6
5542,171.6,67.9
5543,170.5,50.2
5544,169.3,56.3
5545,163.3,69.8
5546,176.1,71.2
5547,167.0,71.3
5548,174.7,43.3
5549,160.6,65.2
5550,177.9,74.6
5551,172.2,80.4
5552,176.4,72.4
5553,157.1,55.3
5554,170.5,51.7
5555,181.9,51.4
5556,179.3,88.5
5557,172.9,59.2
5558,153.9,52.6
5559,160.3,57.9
5560,173.5,77.2
5561,183.4,85.9
5562,165.6,53.6
5563,160.4,71.0
5564,181.2,91.4
5565,151.6,57.5
5566,163.6,59.2
5567,169.3,70.9
5568,166.1,68.4
5569,167.2,65.4
5570,165.2,57.4
5571,164.4,65.1
5572,171.6,68.1
5573,158.3,55.4
5574,154.1,66.3
5575,180.5,66.4
5576,176.3,61.9
5577,182.5,58.6
5578,154.3,44.6
5579,176.5,80.7
5580,174.9,86.2
5581,182.0,77.6
5582,174.2,52.3
5583,173.9,80.5
5584,159.0,66.1
5585,165.1,54.7
5586,164.7,54.8
5587,166.3,52.1
5588,168.2,59.6
5589,159.2,72.6
5590,176.8,71.8
5591,171.8,92.5
5592,163.6,68.2
5593,177.6,60.5
5594,181.2,64.5
5595,168.9,59.5
5596,174.1,65.2
5597,169.4,72.6
5598,161.6,55.8
5599,167.7,66.1
5600,175.4,69.4
5601,152.5,57.4
5602,161.3,57.0
5603,178.3,64.0
5604,173.3,69.6
5605,177.1,57.8
5606,175.0,60.0
5607,187.7,92.6
5608,183.8,79.8
5609,159.3,58.9
5610,158.6,68.6
5611,181.6,72.2
5612,167.1,61.8
5613,166.2,46.6
5614,177.1,74.3
5615,175.6,69.5
5616,150.9,61.2
5617,162.8,66.6
5618,172.4,79.1
5619,173.0,68.1
5620,172.5,78.0
5621,161.2,56.6
5622,163.8,57.8
5623,162.8,59.4
5624,178.0,88.6
5625,174.7,64.8
5626,160.6,63.8
5627,155.0,63.4
5628,166.8,61.3
5629,158.7,50.8
5630,160.6,39.4
5631,174.8,75.4
5632,166.3,37.4
5633,164.6,49.6
5634,181.0,82.4
5635,162.9,77.2
5636,157.1,57.5
5637,174.1,70.3
5638,176.8,51.1
5639,161.9,76.7
5640,154.6,68.7
5641,184.4,106.4
5642,173.1,79.7
5643,177.3,76.6
5644,166.4,77.7
5645,167.0,53.5
5646,171.1,55.8
5647,180.7,92.5
5648,172.8,57.7
5649,159.3,63.4
5650,178.0,73.9
5651,170.7,50.7
5652,179.5,94.5
5653,173.8,72.0
5654,175.6,76.1
5655,184.2,90.5
5656,176.0,70.1
5657,171.9,74.8
5658,168.1,76.2
5659,158.6,63.3
5660,176.6,87.9
5661,173.6,75.7
5662,164.9,54.1
5663,170.5,91.3
5664,166.2,67.5
5665,171.6,91.5
5666,156.1,51.8
5667,164.3,79.4
5668,160.4,63.3
5669,178.7,80.3
5670,166.6,73.3
5671,160.6,50.0
5672,161.1,56.8
5673,162.1,48.3
5674,172.4,61.0
5675,171.9,50.1
5676,169.7,73.2
5677,165.3,84.8
5678,159.6,48.7
5679,162.6,50.9
5680,165.1,64.4
5681,166.6,68.0
5682,178.7,74.7
5683,163.4,63.4
5684,158.9,36.9
5685,183.0,72.7
5686,155.5,56.3
5687,163.8,41.1
5688,167.2,57.1
5689,164.2,64.7
5690,175.8,67.9
5691,162.8,52.5
5692,162.0,62.9
5693,169.3,50.3
5694,174.2,55.6
5695,115.20000000000002,45.8
5696,167.3,72.0
5697,152.5,47.4
5698,157.5,56.1
5699,183.5,67.2
5700,186.8,71.9
5701,154.6,47.6
5702,161.2,75.4
5703,161.1,82.7
5704,161.2,50.1
5705,158.8,34.3
5706,172.7,80.1
5707,162.9,55.5
5708,160.6,49.2
5709,170.1,58.4
5710,179.1,72.8
5711,176.8,92.2
5712,162.4,56.3
5713,165.1,78.5
5714,161.1,60.4
5715,173.1,88.0
5716,161.5,69.4
5717,179.3,87.1
5718,155.5,33.9
5719,163.7,68.2
5720,174.1,58.7
5721,159.0,54.4
5722,163.8,55.8
5723,161.3,65.9
5724,183.3,76.5
5725,166.4,45.6
5726,162.0,75.7
5727,157.8,46.6
5728,159.2,73.7
5729,162.3,63.8
5730,166.7,52.1
5731,166.6,74.3
5732,167.8,66.0
5733,153.9,58.5
5734,166.9,66.1
5735,179.7,65.2
5736,181.7,78.8
5737,170.1,57.9
5738,164.5,57.0
5739,162.7,55.0
5740,172.1,83.5
5741,178.8,86.7
5742,171.6,51.1
5743,175.6,80.4
5744,167.6,75.6
5745,161.1,49.6
5746,157.9,66.0
5747,173.0,74.1
5748,173.2,66.1
5749,163.4,70.5
5750,165.7,73.7
5751,154.6,52.6
5752,179.2,70.4
5753,186.0,52.5
5754,168.7,77.5
5755,171.1,55.9
5756,180.7,82.4
5757,169.8,71.4
5758,176.1,81.3
5759,170.9,63.9
5760,165.7,65.7
5761,164.0,73.2
5762,183.2,75.1
5763,169.3,77.8
5764,155.7,62.8
5765,164.2,78.0
5766,163.5,57.9
5767,161.9,64.3
5768,173.3,94.6
5769,180.0,79.0
5770,159.5,65.2
5771,154.9,59.2
5772,171.7,68.2
5773,166.3,55.9
5774,163.3,49.1
5775,167.3,67.0
5776,175.1,61.3
5777,165.7,52.7
5778,157.5,53.9
5779,157.0,54.4
5780,175.3,75.7
5781,170.8,55.0
5782,156.6,62.5
5783,161.6,62.8
5784,169.8,60.2
5785,170.6,70.9
5786,162.3,51.4
5787,165.9,47.3
5788,177.8,77.9
5789,170.1,72.2
5790,178.2,81.2
5791,171.8,66.7
5792,169.8,82.9
5793,167.6,64.9
5794,159.0,60.1
5795,158.2,45.5
5796,160.4,52.4
5797,169.9,63.8
5798,176.0,70.9
5799,181.6,75.4
5800,170.5,51.1
5801,167.7,78.7
5802,176.3,74.3
5803,156.2,44.2
5804,171.2,69.5
5805,164.9,72.6
5806,146.6,52.8
5807,155.5,33.3
5808,168.5,60.5
5809,155.2,55.4
5810,180.2,57.3
5811,177.8,72.8
5812,174.0,69.4
5813,170.0,76.5
5814,157.6,39.0
5815,160.3,63.2
5816,157.6,58.7
5817,158.4,48.3
5818,170.6,51.1
5819,159.3,65.5
5820,161.7,67.3
5821,158.7,63.1
5822,168.5,68.5
5823,183.1,85.3
5824,150.0,35.5
5825,166.5,67.7
5826,174.3,61.8
5827,174.8,72.8
5828,179.0,67.3
5829,175.3,82.7
5830,156.8,73.3
5831,164.2,79.0
5832,163.7,68.6
5833,180.9,101.5
5834,163.6,74.8
5835,168.9,49.9
5836,163.2,74.6
5837,159.6,60.6
5838,150.0,46.6
5839,176.0,82.6
5840,172.9,62.6
5841,180.9,67.3
5842,209.0,136.3
5843,165.8,72.7
5844,166.7,70.5
5845,169.3,58.7
5846,152.4,47.4
5847,161.8,57.5
5848,169.6,52.6
5849,153.4,65.1
5850,165.3,65.3
5851,184.6,91.8
5852,182.0,56.0
5853,159.3,48.1
5854,173.2,80.2
5855,159.7,67.1
5856,168.5,56.2
5857,175.2,77.7
5858,164.0,65.7
5859,175.9,70.8
5860,159.9,41.8
5861,168.7,46.9
5862,171.0,72.6
5863,160.5,61.6
5864,168.8,69.7
5865,173.7,95.8
5866,174.4,69.2
5867,184.4,89.4
5868,171.5,63.8
5869,154.3,63.2
5870,161.6,65.8
5871,178.1,70.6
5872,158.0,55.3
5873,172.8,64.0
5874,171.3,54.9
5875,158.9,56.6
5876,162.0,70.3
5877,179.9,79.5
5878,159.7,74.5
5879,169.2,57.0
5880,157.4,59.2
5881,177.9,80.4
5882,159.7,36.2
5883,157.3,78.7
5884,167.8,67.3
5885,173.2,83.3
5886,178.4,40.4
5887,177.7,70.3
5888,175.9,74.1
5889,162.9,62.3
5890,158.7,69.9
5891,155.3,50.8
5892,178.9,84.1
5893,170.1,67.3
5894,159.4,60.8
5895,171.4,61.7
5896,152.6,59.4
5897,153.6,55.2
5898,167.6,55.0
5899,166.4,57.3
5900,179.7,95.8
5901,151.5,46.8
5902,174.4,61.2
5903,162.2,60.3
5904,160.2,68.9
5905,165.5,69.1
5906,167.4,64.4
5907,166.9,35.6
5908,181.7,83.1
5909,166.5,52.8
5910,150.8,68.5
5911,172.2,67.9
5912,175.1,60.8
5913,176.4,64.8
5914,179.5,63.3
5915,161.3,47.9
5916,174.4,70.3
5917,173.9,84.2
5918,174.8,46.0
5919,160.1,50.2
5920,177.2,41.8
5921,159.8,63.5
5922,173.2,69.1
5923,181.2,72.4
5924,175.8,59.6
5925,170.0,57.0
5926,174.4,66.8
5927,159.5,68.3
5928,160.8,50.5
5929,176.9,90.2
5930,159.6,75.0
5931,176.7,85.2
5932,167.4,70.9
5933,183.8,75.1
5934,173.9,80.0
5935,170.4,77.8
5936,168.1,44.1
5937,160.4,62.8
5938,158.7,30.2
5939,154.2,53.6
5940,184.6,68.5
5941,160.6,59.4
5942,168.1,62.7
5943,162.7,76.7
5944,171.6,93.5
5945,168.4,34.1
5946,159.5,66.8
5947,177.9,105.9
5948,161.3,57.8
5949,182.2,62.8
5950,179.5,80.2
5951,172.4,56.7
5952,169.2,74.3
5953,166.8,55.6
5954,174.1,78.0
5955,170.2,83.5
5956,218.7,157.6
5957,154.4,49.3
5958,168.8,44.5
5959,170.4,74.7
5960,167.6,58.6
5961,159.9,55.5
5962,176.5,78.9
5963,173.3,96.6
5964,176.7,77.2
5965,173.6,81.5
5966,161.2,68.3
5967,174.2,72.6
5968,172.6,66.5
5969,165.8,40.0
5970,166.3,66.4
5971,177.2,74.5
5972,173.9,65.5
5973,163.2,67.4
5974,176.6,77.1
5975,179.8,65.7
5976,163.3,48.7
5977,164.0,84.4
5978,162.3,38.8
5979,180.6,70.1
5980,157.3,53.7
5981,163.2,58.1
5982,171.3,48.5
5983,169.4,62.6
5984,161.5,62.1
5985,176.4,77.4
5986,180.9,99.7
5987,175.7,55.6
5988,165.7,61.5
5989,180.1,79.1
5990,169.1,85.2
5991,162.1,54.3
5992,169.0,62.0
5993,164.6,81.1
5994,175.4,67.3
5995,172.8,67.0
5996,173.4,60.4
5997,151.9,57.2
5998,162.6,64.4
5999,179.6,91.3
6000,171.2,61.5
6001,163.1,65.8
6002,167.4,49.9
6003,168.5,84.1
6004,173.0,73.8
6005,175.5,52.9
6006,157.0,54.9
6007,160.3,56.3
6008,174.7,75.3
6009,180.6,74.8
6010,172.1,79.2
6011,170.1,70.7
6012,159.8,35.5
6013,169.6,71.4
6014,154.5,57.5
6015,159.3,60.7
6016,169.1,73.7
6017,174.9,89.7
6018,159.8,39.8
6019,174.5,52.5
6020,154.8,68.0
6021,175.6,68.3
6022,178.2,45.0
6023,175.1,68.8
6024,176.4,76.5
6025,174.1,72.1
6026,164.5,75.3
6027,175.1,55.1
6028,169.2,85.1
6029,157.6,62.2
6030,179.7,85.3
6031,180.1,57.3
6032,159.3,52.5
6033,168.6,57.0
6034,164.2,61.3
6035,174.9,77.7
6036,172.4,61.4
6037,155.5,60.9
6038,172.8,54.5
6039,160.4,70.0
6040,172.6,65.7
6041,155.9,58.7
6042,183.3,61.0
6043,162.2,62.2
6044,163.4,38.5
6045,165.6,43.3
6046,174.1,77.8
6047,169.9,51.1
6048,164.6,63.4
6049,167.2,37.2
6050,175.1,65.4
6051,171.7,73.5
6052,169.0,82.1
6053,172.2,70.6
6054,177.3,78.2
6055,185.6,58.6
6056,183.2,75.7
6057,182.0,85.7
6058,171.2,63.6
6059,223.5,161.1
6060,166.2,61.4
6061,177.4,101.1
6062,174.6,75.9
6063,157.0,46.7
6064,162.6,58.1
6065,161.8,50.5
6066,218.8,27.6
6067,168.3,60.9
6068,175.8,73.7
6069,179.3,86.3
6070,167.4,59.9
6071,160.3,60.0
6072,215.3,131.1
6073,185.5,91.0
6074,175.4,56.9
6075,184.4,76.5
6076,164.8,52.0
6077,170.9,58.8
6078,177.4,71.9
6079,173.5,57.5
6080,182.9,88.4
6081,168.3,92.1
6082,177.4,67.5
6083,167.7,60.7
6084,168.4,61.0
6085,154.9,62.3
6086,163.5,67.0
6087,184.2,107.9
6088,159.2,47.8
6089,188.5,83.6
6090,166.7,71.7
6091,183.9,81.1
6092,159.7,63.7
6093,185.4,99.5
6094,163.3,62.4
6095,176.0,77.2
6096,160.9,50.2
6097,159.9,62.9
6098,182.9,76.5
6099,167.8,70.8
6100,161.7,67.9
6101,167.4,65.9
6102,172.9,61.3
6103,161.1,69.1
6104,167.6,78.6
6105,161.8,53.6
6106,167.4,50.1
6107,161.3,49.8
6108,174.8,90.1
6109,174.6,94.0
6110,165.5,69.2
6111,181.0,83.4
6112,169.2,79.5
6113,167.5,58.2
6114,180.9,84.9
6115,175.3,63.5
6116,161.4,64.3
6117,162.9,72.1
6118,157.5,50.9
6119,168.4,80.1
6120,164.6,64.2
6121,166.3,62.6
6122,172.8,60.1
6123,175.8,59.2
6124,169.6,79.5
6125,167.1,74.1
6126,165.2,65.3
6127,124.50000000000001,41.8
6128,175.4,69.3
6129,161.2,52.8
6130,180.7,55.2
6131,164.4,35.4
6132,172.0,74.8
6133,155.9,54.5
6134,155.1,46.7
6135,178.0,77.6
6136,167.3,62.0
6137,166.1,58.7
6138,157.8,70.7
6139,157.7,52.1
6140,159.8,54.4
6141,165.6,60.6
6142,169.1,76.3
6143,166.8,22.2
6144,174.5,49.9
6145,172.5,71.6
6146,163.3,64.8
6147,167.9,56.1
6148,170.2,67.4
6149,172.3,75.0
6150,180.2,58.7
6151,167.0,67.6
6152,181.6,67.2
6153,168.1,50.5
6154,178.4,73.0
6155,163.6,54.1
6156,162.3,53.5
6157,176.1,66.0
6158,166.4,62.4
6159,177.2,61.9
6160,160.4,41.4
6161,165.0,64.5
6162,172.2,52.8
6163,164.2,66.7
6164,165.3,72.6
6165,166.3,75.7
6166,174.3,74.0
6167,173.1,66.5
6168,166.6,73.5
6169,152.7,45.9
6170,173.2,71.1
6171,171.8,69.6
6172,155.6,40.2
6173,164.5,59.5
6174,182.6,81.0
6175,178.9,83.6
6176,169.9,74.8
6177,164.7,52.1
6178,174.5,82.6
6179,169.9,74.8
6180,173.2,59.9
6181,165.9,70.6
6182,159.7,61.1
6183,167.5,72.6
6184,176.1,57.0
6185,159.6,72.2
6186,161.6,67.2
6187,170.4,53.7
6188,166.1,54.6
6189,156.7,65.5
6190,174.0,61.7
6191,156.1,38.4
6192,162.6,51.4
6193,168.7,59.1
6194,163.7,52.0
6195,172.1,82.1
6196,163.6,83.3
6197,157.2,69.7
6198,158.0,55.5
6199,169.1,54.0
6200,177.5,71.6
6201,163.7,59.4
6202,186.6,76.7
6203,159.0,63.0
6204,158.2,44.9
6205,163.2,87.3
6206,163.7,44.1
6207,179.1,107.5
6208,172.2,62.3
6209,178.0,83.2
6210,173.5,64.6
6211,172.4,74.0
6212,187.3,89.8
6213,159.0,49.5
6214,162.0,73.6
6215,159.4,57.6
6216,169.8,56.7
6217,153.4,75.2
6218,162.2,48.5
6219,189.4,77.9
6220,160.3,44.8
6221,170.0,65.1
6222,181.5,75.5
6223,174.0,64.7
6224,153.6,63.9
6225,168.5,61.8
6226,169.9,73.1
6227,174.6,71.1
6228,176.3,88.2
6229,154.6,48.7
6230,185.7,55.0
6231,172.8,53.5
6232,178.1,75.2
6233,162.2,42.8
6234,157.3,54.5
6235,161.6,66.4
6236,161.9,56.7
6237,182.6,89.1
6238,164.0,59.0
6239,161.5,54.3
6240,171.2,68.9
6241,159.9,56.0
6242,172.9,77.9
6243,179.1,75.1
6244,176.1,61.6
6245,154.0,60.0
6246,175.4,82.8
6247,160.0,63.0
6248,172.4,75.7
6249,176.5,89.8
6250,173.7,55.1
6251,160.2,57.2
6252,170.1,60.5
6253,180.9,83.1
6254,170.6,84.2
6255,155.6,62.7
6256,177.8,75.8
6257,180.0,77.9
6258,169.8,45.6
6259,171.6,78.6
6260,183.7,72.6
6261,177.8,72.1
6262,170.8,74.4
6263,169.4,75.7
6264,180.7,55.2
6265,173.1,84.9
6266,170.2,80.4
6267,157.9,56.9
6268,175.2,66.8
6269,160.9,53.1
6270,171.9,73.7
6271,162.8,48.2
6272,170.3,91.4
6273,156.7,48.0
6274,172.1,82.7
6275,161.0,55.7
6276,167.2,87.4
6277,173.4,80.1
6278,166.0,85.0
6279,165.1,65.6
6280,158.8,70.3
6281,181.3,50.8
6282,169.1,62.5
6283,156.9,48.7
6284,175.4,59.3
6285,166.5,53.2
6286,167.7,71.2
6287,170.3,53.9
6288,176.1,60.7
6289,161.3,66.5
6290,179.1,63.9
6291,177.6,85.3
6292,179.8,75.2
6293,181.1,64.1
6294,163.2,67.4
6295,173.1,66.1
6296,175.1,68.1
6297,177.3,52.4
6298,166.6,90.5
6299,189.4,93.0
6300,162.9,53.1
6301,182.0,74.3
6302,184.3,74.3
6303,172.3,51.6
6304,170.1,50.6
6305,175.5,76.0
6306,153.3,69.0
6307,160.3,68.0
6308,166.9,65.3
6309,179.3,69.7
6310,168.1,49.9
6311,148.8,67.2
6312,174.3,83.8
6313,162.0,60.0
6314,166.8,59.4
6315,180.6,63.3
6316,163.5,74.9
6317,155.6,54.1
6318,172.1,68.1
6319,169.0,74.6
6320,180.6,80.6
6321,158.2,58.7
6322,182.2,54.1
6323,157.6,47.0
6324,159.5,59.6
6325,178.3,56.6
6326,158.7,63.9
6327,175.4,89.9
6328,170.4,70.2
6329,161.4,56.4
6330,163.7,60.6
6331,171.3,77.1
6332,160.9,44.7
6333,122.8,29.2
6334,171.7,62.0
6335,186.8,67.2
6336,178.8,48.3
6337,154.1,68.2
6338,167.0,75.9
6339,177.5,56.7
6340,163.7,53.6
6341,172.5,52.1
6342,158.7,60.9
6343,175.2,73.2
6344,172.9,55.6
6345,158.9,47.1
6346,162.7,56.4
6347,169.9,66.5
6348,158.4,55.2
6349,169.6,45.8
6350,177.3,80.3
6351,168.2,56.1
6352,172.2,74.2
6353,176.8,62.5
6354,172.7,73.4
6355,177.8,87.8
6356,166.7,41.0
6357,161.7,52.5
6358,172.8,58.6
6359,174.4,85.2
6360,173.8,84.7
6361,169.6,75.8
6362,165.0,63.8
6363,179.3,74.8
6364,162.4,39.5
6365,185.8,85.7
6366,156.1,67.7
6367,154.9,57.7
6368,186.7,62.2
6369,161.9,57.8
6370,163.2,72.6
6371,166.1,53.1
6372,157.3,69.7
6373,167.5,63.6
6374,175.8,74.4
6375,167.9,78.1
6376,153.5,55.4
6377,179.1,88.0
6378,164.1,64.6
6379,170.0,51.3
6380,179.6,103.8
6381,173.7,76.0
6382,180.8,96.6
6383,160.4,50.0
6384,168.0,76.7
6385,159.8,54.4
6386,177.0,81.1
6387,169.4,62.1
6388,170.7,66.7
6389,150.3,53.6
6390,161.3,81.9
6391,176.4,74.1
6392,163.0,72.9
6393,176.2,74.3
6394,153.9,60.5
6395,170.4,74.8
6396,160.2,64.4
6397,176.3,55.7
6398,178.8,68.4
6399,166.1,43.6
6400,168.3,83.3
6401,154.0,34.0
6402,161.8,50.3
6403,170.2,68.5
6404,178.6,64.9
6405,149.7,41.2
6406,166.4,70.3
6407,157.1,57.4
6408,169.9,65.1
6409,171.5,57.7
6410,155.9,67.0
6411,171.8,83.7
6412,162.5,73.8
6413,182.3,98.1
6414,163.3,66.9
6415,222.30000000000004,120.3
6416,180.1,90.2
6417,182.2,96.1
6418,159.9,47.1
6419,154.5,49.1
6420,154.8,51.8
6421,167.4,51.0
6422,165.0,88.2
6423,176.2,100.6
6424,159.2,62.8
6425,160.8,75.7
6426,168.9,70.0
6427,163.2,72.7
6428,167.8,56.8
6429,177.3,77.9
6430,178.5,64.2
6431,168.4,69.2
6432,165.1,68.9
6433,158.7,54.3
6434,158.2,65.1
6435,163.1,63.3
6436,175.9,57.6
6437,159.2,42.9
6438,180.4,84.1
6439,161.9,53.2
6440,179.2,82.9
6441,174.7,70.0
6442,170.2,40.7
6443,161.2,58.5
6444,160.9,57.4
6445,181.2,71.2
6446,155.4,48.1
6447,175.1,72.2
6448,114.6,21.2
6449,161.0,59.3
6450,162.2,71.2
6451,180.3,57.1
6452,185.7,73.0
6453,148.5,57.1
6454,154.0,58.9
6455,178.2,81.0
6456,163.1,56.4
6457,175.3,56.3
6458,171.5,75.1
6459,156.7,43.0
6460,179.5,75.3
6461,160.3,56.2
6462,161.3,64.3
6463,163.4,77.6
6464,165.4,60.9
6465,177.7,78.8
6466,170.3,66.7
6467,177.1,74.4
6468,175.8,73.4
6469,169.4,62.6
6470,170.6,72.8
6471,173.6,68.8
6472,227.1,113.8
6473,176.2,90.8
6474,173.2,64.1
6475,162.6,79.0
6476,160.9,47.6
6477,166.2,67.2
6478,159.4,60.7
6479,184.7,97.4
6480,176.0,61.7
6481,164.5,85.9
6482,174.8,77.0
6483,160.0,49.7
6484,175.2,58.2
6485,175.8,60.7
6486,175.3,53.4
6487,185.2,49.4
6488,165.4,63.2
6489,175.7,72.6
6490,163.6,65.1
6491,184.8,88.6
6492,176.3,74.0
6493,163.2,77.9
6494,161.8,45.9
6495,166.5,54.6
6496,178.9,73.7
6497,169.8,55.6
6498,161.1,71.6
6499,173.3,65.0
6500,175.3,77.4
6501,166.5,42.4
6502,173.2,70.8
6503,170.2,78.1
6504,167.3,52.9
6505,181.9,82.1
6506,181.6,85.6
6507,181.2,82.0
6508,154.6,47.5
6509,160.7,60.2
6510,170.5,69.1
6511,177.4,64.5
6512,165.4,68.2
6513,157.4,20.2
6514,158.5,54.2
6515,173.0,80.6
6516,158.2,72.1
6517,174.5,57.1
6518,169.4,73.9
6519,160.7,55.3
6520,180.1,57.4
6521,157.8,72.0
6522,170.1,83.1
6523,164.2,66.2
6524,120.9,34.5
6525,170.8,66.4
6526,172.3,82.1
6527,169.7,62.4
6528,165.2,65.8
6529,176.1,74.6
6530,164.4,34.5
6531,182.3,78.4
6532,180.2,65.9
6533,175.4,55.6
6534,189.4,92.4
6535,157.2,60.2
6536,158.8,48.8
6537,169.5,73.9
6538,179.0,74.6
6539,160.5,77.2
6540,163.8,63.7
6541,158.2,55.7
6542,157.8,42.5
6543,176.6,58.2
6544,173.3,64.3
6545,175.3,62.6
6546,175.5,61.0
6547,174.6,54.5
6548,178.6,72.6
6549,170.1,70.1
6550,173.0,78.5
6551,156.5,71.8
6552,162.0,69.7
6553,157.0,40.6
6554,156.1,39.8
6555,170.9,64.1
6556,184.2,72.1
6557,167.6,63.9
6558,174.6,67.3
6559,167.6,52.2
6560,173.7,58.5
6561,163.7,65.5
6562,173.1,67.1
6563,172.7,67.0
6564,177.8,71.9
6565,181.0,73.0
6566,171.9,64.2
6567,173.4,85.0
6568,174.5,69.7
6569,161.3,72.1
6570,165.2,61.3
6571,161.2,74.4
6572,173.6,57.1
6573,161.1,59.4
6574,177.0,66.6
6575,176.5,91.1
6576,216.9,26.4
6577,160.1,55.2
6578,167.8,72.4
6579,169.7,53.9
6580,170.3,76.4
6581,158.2,50.7
6582,156.6,61.8
6583,166.1,68.7
6584,177.5,91.7
6585,161.3,63.0
6586,161.2,65.1
6587,160.7,49.8
6588,163.6,64.4
6589,158.7,43.8
6590,176.9,53.4
6591,160.9,53.1
6592,165.4,60.1
6593,166.6,65.0
6594,156.2,74.1
6595,176.0,73.2
6596,186.4,90.3
6597,173.4,68.8
6598,178.6,71.0
6599,174.8,74.2
6600,163.5,57.4
6601,174.2,68.3
6602,176.7,79.9
6603,166.9,49.8
6604,161.4,46.5
6605,173.9,65.3
6606,152.1,61.2
6607,163.6,59.0
