Gender,Bank_Loan,Capital_Loan,Region_Code,Year,Total_Loan
F,28460000,2780000,4146510700,2024,31240000
M,39480000,2090000,4280000000,2021,41570000
F,45020000,26150000,4273000000,2023,71170000
M,43270000,4210000,4111100000,2023,47480000
F,30730000,29380000,4280000000,2021,60110000
M,34400000,11770000,4111100000,2021,46170000
F,47060000,28160000,GYEONGGI,2021,75220000
M,45140000,28710000,4111100000,2022,73850000
M,8550000,8830000,4280000000,2024,17380000
M,33980000,19060000,4111100000,2024,53040000
F,43620000,930000,4279000000,2023,44550000
M,48780000,14240000,4273000000,2023,63020000
M,39200000,1840000,4280000000,2023,41040000
F,29360000,14960000,4279000000,2020,44320000
F,4320000,17320000,4111100000,2023,21640000
M,44900000,13960000,4111100000,2021,58860000
M,23720000,13650000,4291000000,2023,37370000
F,44770000,11930000,4280000000,2021,56700000
F,12630000,3300000,GYEONGGI,2022,15930000
F,23440000,21560000,4111100000,2020,45000000
F,40090000,10180000,4146510700,2020,50270000
F,25290000,28470000,GANGWON,2024,53760000
M,30590000,25530000,4399000000,2022,56120000
F,22740000,11840000,GANGWON,2021,34580000
M,46260000,2050000,GYEONGGI,2022,48310000
M,31980000,23460000,4273000000,2020,55440000
M,23670000,13370000,4211000000,2021,37040000
F,19850000,25850000,4146510700,2022,45700000
M,2840000,15020000,4211000000,2020,17860000
M,11010000,1650000,4111100000,2021,12660000
F,46530000,2790000,4273000000,2021,49320000
M,15140000,27800000,4279000000,2020,42940000
M,38620000,8030000,4111100000,2021,46650000
F,10060000,17990000,4211000000,2020,28050000
M,20870000,11960000,4111100000,2023,32830000
M,28100000,25510000,4399000000,2023,53610000
M,42500000,27190000,4291000000,2021,69690000
F,5300000,27000000,4399000000,2021,32300000
F,18280000,2600000,4273000000,2020,20880000
F,19420000,2760000,4279000000,2021,22180000
M,17970000,18450000,4399000000,2024,36420000
M,47900000,3780000,4280000000,2023,51680000
F,4880000,15940000,4279000000,2021,20820000
M,40680000,5700000,4211000000,2021,46380000
M,870000,10240000,4399000000,2022,11110000
F,22820000,20660000,4291000000,2021,43480000
F,15520000,430000,4279000000,2024,15950000
M,29530000,9590000,4111100000,2023,39120000
M,48410000,19110000,4291000000,2022,67520000
M,48470000,29780000,4111100000,2020,78250000
F,35730000,28500000,4399000000,2020,64230000
F,19380000,7510000,4146510700,2023,26890000
F,31600000,19680000,4146510700,2020,51280000
F,35250000,650000,4211000000,2024,35900000
M,37820000,19740000,4291000000,2021,57560000
F,29180000,15860000,4111100000,2023,45040000
F,33320000,6590000,GYEONGGI,2022,39910000
F,2970000,8230000,4291000000,2021,11200000
F,38650000,23380000,4280000000,2020,62030000
F,31660000,20880000,4211000000,2020,52540000
M,46830000,22990000,GANGWON,2022,69820000
M,13760000,21090000,GANGWON,2024,34850000
F,23060000,13400000,4111100000,2022,36460000
M,14570000,12850000,4146510700,2023,27420000
F,41700000,19830000,4279000000,2022,61530000
F,9170000,27890000,4280000000,2020,37060000
M,22940000,22830000,GANGWON,2024,45770000
M,45500000,8680000,4111100000,2024,54180000
F,28910000,12330000,4111100000,2022,41240000
F,24270000,22380000,4399000000,2023,46650000
F,49320000,16610000,4146510700,2020,65930000
M,39770000,25200000,4291000000,2021,64970000
F,10510000,13220000,4279000000,2024,23730000
F,46660000,25930000,4399000000,2022,72590000
F,38140000,300000,GANGWON,2023,38440000
M,43560000,3370000,4279000000,2023,46930000
F,8970000,1390000,4211000000,2020,10360000
F,13790000,26150000,4146510700,2024,39940000
M,28090000,2760000,GANGWON,2020,30850000
F,3680000,1710000,4111100000,2021,5390000
F,35090000,26960000,GANGWON,2021,62050000
M,49870000,1040000,GYEONGGI,2021,50910000
F,41010000,3820000,4273000000,2023,44830000
M,19840000,19730000,4273000000,2024,39570000
M,17920000,29260000,GANGWON,2020,47180000
F,32450000,11320000,GYEONGGI,2020,43770000
F,45550000,3690000,GANGWON,2021,49240000
F,23930000,16170000,4273000000,2024,40100000
F,1410000,6110000,4399000000,2024,7520000
M,30250000,10500000,4211000000,2022,40750000
F,19470000,2550000,4273000000,2024,22020000
M,29280000,22970000,4211000000,2024,52250000
F,420000,18470000,4111100000,2020,18890000
F,900000,27690000,4211000000,2024,28590000
F,15990000,13020000,4399000000,2024,29010000
M,49560000,130000,GYEONGGI,2020,49690000
F,48420000,21730000,4211000000,2024,70150000
F,34140000,8570000,4279000000,2020,42710000
F,12420000,20590000,4291000000,2022,33010000
F,29920000,24670000,4273000000,2023,54590000
M,26630000,24920000,GYEONGGI,2020,51550000
F,16430000,4170000,4280000000,2020,20600000
M,12250000,4620000,4111100000,2024,16870000
M,5730000,22920000,4291000000,2020,28650000
M,25580000,5880000,4279000000,2021,31460000
M,35930000,5680000,4146510700,2021,41610000
M,47360000,9190000,4399000000,2022,56550000
M,41720000,24460000,GANGWON,2020,66180000
F,12550000,4300000,4291000000,2024,16850000
M,33210000,14380000,GYEONGGI,2024,47590000
M,43860000,23850000,GYEONGGI,2023,67710000
M,13600000,6800000,GYEONGGI,2022,20400000
F,7080000,16990000,4111100000,2024,24070000
F,13820000,19030000,4211000000,2023,32850000
M,6690000,24780000,4273000000,2024,31470000
F,10580000,23560000,4146510700,2023,34140000
M,25800000,10840000,GANGWON,2021,36640000
M,36350000,4210000,GYEONGGI,2021,40560000
F,25970000,23420000,GANGWON,2024,49390000
M,46460000,26420000,4280000000,2022,72880000
F,44800000,2870000,4111100000,2020,47670000
F,11950000,24460000,GYEONGGI,2022,36410000
M,6830000,23790000,4280000000,2022,30620000
M,8570000,8120000,4146510700,2020,16690000
F,19360000,11880000,4146510700,2021,31240000
M,14990000,21790000,4273000000,2021,36780000
M,34760000,6600000,4279000000,2020,41360000
M,31700000,16850000,4273000000,2023,48550000
F,950000,5400000,4211000000,2022,6350000
F,16990000,160000,GANGWON,2024,17150000
M,21610000,28130000,4399000000,2021,49740000
F,49820000,1930000,4146510700,2024,51750000
F,40520000,4240000,4399000000,2020,44760000
F,32400000,2300000,4111100000,2024,34700000
F,10820000,5920000,4291000000,2024,16740000
F,16510000,20990000,GYEONGGI,2022,37500000
M,31340000,6730000,4111100000,2020,38070000
M,32470000,2080000,4146510700,2024,34550000
M,22680000,19450000,4280000000,2021,42130000
F,32550000,3450000,GANGWON,2020,36000000
F,18560000,29760000,4399000000,2021,48320000
M,38060000,7600000,4273000000,2023,45660000
F,26500000,25030000,4291000000,2024,51530000
M,21240000,1730000,4279000000,2020,22970000
M,44120000,5350000,4111100000,2021,49470000
M,1470000,11800000,4279000000,2024,13270000
F,9950000,6770000,4399000000,2022,16720000
F,15000000,8530000,4399000000,2021,23530000
M,25850000,5550000,GYEONGGI,2021,31400000
M,33950000,7080000,4280000000,2023,41030000
M,26200000,6820000,4280000000,2022,33020000
M,28040000,11760000,4211000000,2023,39800000
F,9550000,14710000,4273000000,2022,24260000
F,24330000,14880000,4146510700,2021,39210000
M,14720000,12360000,4146510700,2023,27080000
M,14160000,22980000,4399000000,2024,37140000
F,40480000,9050000,4111100000,2022,49530000
F,9830000,4790000,GANGWON,2021,14620000
M,2100000,17030000,4146510700,2020,19130000
M,40470000,15440000,4146510700,2022,55910000
M,9320000,17140000,4111100000,2022,26460000
F,18160000,3100000,4273000000,2024,21260000
F,45750000,22170000,4291000000,2022,67920000
F,45010000,710000,4280000000,2022,45720000
M,36400000,18650000,GYEONGGI,2024,55050000
M,13970000,20770000,GYEONGGI,2024,34740000
F,18890000,26150000,GYEONGGI,2023,45040000
F,5550000,1050000,4111100000,2021,6600000
M,3670000,19130000,GYEONGGI,2021,22800000
F,38110000,3480000,4399000000,2023,41590000
F,15070000,2080000,4211000000,2021,17150000
M,39780000,27130000,4111100000,2022,66910000
F,21770000,25440000,4111100000,2023,47210000
M,9680000,27000000,4280000000,2023,36680000
M,6970000,15950000,GYEONGGI,2021,22920000
M,30450000,21490000,4279000000,2020,51940000
M,48790000,5240000,4291000000,2021,54030000
M,43750000,27840000,4211000000,2020,71590000
M,44050000,11060000,4111100000,2023,55110000
M,42160000,24440000,4211000000,2020,66600000
F,26150000,11110000,4111100000,2022,37260000
M,8540000,16900000,4273000000,2024,25440000
M,30880000,19420000,4280000000,2020,50300000
F,29850000,4860000,4399000000,2024,34710000
F,41090000,17570000,4273000000,2022,58660000
F,11550000,2050000,GANGWON,2024,13600000
M,42400000,18710000,GYEONGGI,2022,61110000
F,15270000,27570000,GANGWON,2024,42840000
M,2680000,27700000,4291000000,2024,30380000
M,33740000,24960000,4279000000,2021,58700000
M,17010000,23220000,4399000000,2020,40230000
M,40840000,25390000,4273000000,2024,66230000
F,14390000,2070000,4211000000,2023,16460000
F,19630000,28810000,4211000000,2021,48440000
M,44670000,5460000,4291000000,2020,50130000
M,30000000,14270000,4111100000,2021,44270000
M,45540000,25150000,4211000000,2020,70690000
F,34300000,21320000,GYEONGGI,2022,55620000
M,17290000,10860000,4279000000,2024,28150000
M,45870000,22880000,4280000000,2023,68750000
F,28380000,1200000,GYEONGGI,2021,29580000
F,48380000,15110000,4279000000,2021,63490000
M,31580000,25650000,4291000000,2021,57230000
F,2330000,12370000,GYEONGGI,2021,14700000
F,27490000,22990000,4280000000,2024,50480000
M,38630000,29130000,4280000000,2020,67760000
F,22040000,1760000,4146510700,2024,23800000
M,33010000,25460000,4111100000,2022,58470000
F,31260000,14750000,4291000000,2024,46010000
M,9040000,6130000,GYEONGGI,2024,15170000
M,2250000,15590000,4399000000,2022,17840000
M,43940000,11470000,4399000000,2024,55410000
F,10390000,12520000,4291000000,2020,22910000
M,41840000,16670000,GYEONGGI,2023,58510000
F,49400000,23120000,4273000000,2022,72520000
M,42390000,23210000,4273000000,2021,65600000
M,30890000,13660000,4111100000,2020,44550000
F,41280000,4140000,GYEONGGI,2023,45420000
M,1470000,2200000,4280000000,2020,3670000
M,4470000,17840000,4211000000,2020,22310000
F,13240000,21190000,4399000000,2021,34430000
M,32460000,10420000,GYEONGGI,2023,42880000
M,3520000,26400000,GYEONGGI,2020,29920000
M,33240000,3300000,4211000000,2021,36540000
M,38360000,23040000,4211000000,2022,61400000
F,33420000,19730000,4279000000,2021,53150000
F,39830000,29970000,4146510700,2024,69800000
M,46130000,7490000,4111100000,2021,53620000
F,45750000,22160000,4399000000,2021,67910000
M,32450000,17170000,4211000000,2021,49620000
F,43150000,6180000,4273000000,2020,49330000
M,46500000,15280000,4291000000,2023,61780000
M,1190000,3790000,4273000000,2021,4980000
M,43090000,1730000,4279000000,2021,44820000
M,27140000,24510000,4279000000,2024,51650000
M,30420000,6110000,4211000000,2024,36530000
M,37450000,16460000,4279000000,2022,53910000
F,24160000,16070000,4280000000,2022,40230000
M,3380000,20360000,GANGWON,2024,23740000
F,19520000,2410000,GYEONGGI,2023,21930000
M,45430000,17300000,GYEONGGI,2022,62730000
F,9660000,23530000,4211000000,2023,33190000
F,45270000,2920000,4279000000,2024,48190000
F,41750000,29070000,4291000000,2022,70820000
M,8180000,9140000,4280000000,2021,17320000
M,24840000,15040000,4111100000,2024,39880000
F,46470000,17380000,4279000000,2022,63850000
M,10190000,18110000,4280000000,2023,28300000
F,12980000,23600000,4146510700,2023,36580000
M,30030000,10590000,4111100000,2022,40620000
F,37910000,7680000,GYEONGGI,2023,45590000
F,48430000,22890000,4146510700,2022,71320000
M,19570000,7200000,4211000000,2022,26770000
F,12760000,5150000,4399000000,2023,17910000
M,32020000,4820000,4211000000,2020,36840000
F,25430000,5210000,4291000000,2021,30640000
F,21840000,17910000,4280000000,2024,39750000
M,38640000,24130000,4399000000,2021,62770000
M,570000,5560000,4111100000,2024,6130000
M,6610000,2950000,4111100000,2024,9560000
F,47790000,18940000,4146510700,2021,66730000
M,7580000,290000,4291000000,2022,7870000
F,45280000,6500000,GYEONGGI,2023,51780000
F,16540000,1550000,4279000000,2020,18090000
M,21910000,6130000,4279000000,2020,28040000
M,810000,27420000,4399000000,2020,28230000
F,22080000,19150000,4291000000,2021,41230000
F,48160000,9240000,4291000000,2021,57400000
M,16400000,500000,4111100000,2022,16900000
M,12660000,28940000,GYEONGGI,2020,41600000
M,28040000,12350000,4280000000,2022,40390000
M,19710000,230000,GYEONGGI,2020,19940000
M,16190000,28820000,4273000000,2021,45010000
F,38700000,9450000,4291000000,2023,48150000
F,34970000,19920000,4211000000,2023,54890000
F,3680000,21320000,GANGWON,2023,25000000
F,21170000,16630000,4291000000,2023,37800000
M,20470000,20800000,4399000000,2024,41270000
M,10670000,10070000,4211000000,2020,20740000
M,30800000,29000000,4399000000,2023,59800000
F,3640000,4160000,4146510700,2024,7800000
F,39980000,27890000,GANGWON,2024,67870000
M,32990000,10190000,GANGWON,2024,43180000
M,4070000,15070000,4111100000,2022,19140000
F,5350000,90000,4291000000,2022,5440000
F,23550000,22110000,4111100000,2024,45660000
M,2180000,25370000,4279000000,2023,27550000
M,15860000,2360000,4399000000,2020,18220000
F,9930000,26590000,4273000000,2021,36520000
M,9950000,13440000,4273000000,2022,23390000
M,47040000,20840000,4279000000,2023,67880000
M,14020000,28550000,4146510700,2023,42570000
F,47950000,2280000,4273000000,2021,50230000
F,28550000,1530000,4399000000,2021,30080000
F,47420000,780000,4273000000,2023,48200000
F,40540000,11290000,4279000000,2021,51830000
F,9140000,7590000,4211000000,2023,16730000
F,35630000,10450000,4111100000,2021,46080000
F,33120000,16190000,4280000000,2021,49310000
M,2140000,16420000,4399000000,2023,18560000
M,3140000,13110000,4111100000,2024,16250000
M,17060000,770000,GANGWON,2023,17830000
M,18740000,23870000,GYEONGGI,2020,42610000
M,45960000,9300000,4273000000,2021,55260000
M,18170000,16990000,4273000000,2022,35160000
M,42610000,13890000,4146510700,2021,56500000
F,2190000,4510000,4111100000,2020,6700000
F,43530000,6630000,GYEONGGI,2022,50160000
M,46950000,3520000,4273000000,2022,50470000
M,47400000,11610000,GANGWON,2023,59010000
F,19750000,26610000,4146510700,2024,46360000
M,18180000,22250000,4111100000,2023,40430000
M,27840000,29650000,4146510700,2022,57490000
F,5050000,6570000,4111100000,2022,11620000
M,14350000,9280000,4291000000,2024,23630000
F,49880000,14190000,4291000000,2021,64070000
M,28580000,4440000,4279000000,2024,33020000
F,2460000,17420000,4399000000,2023,19880000
F,40110000,12910000,4146510700,2021,53020000
F,15130000,2900000,4279000000,2023,18030000
M,5630000,28330000,4146510700,2024,33960000
F,47490000,22640000,4273000000,2021,70130000
M,2900000,24840000,4280000000,2024,27740000
M,15780000,4560000,4146510700,2020,20340000
M,43460000,19240000,4273000000,2022,62700000
M,1720000,19910000,GYEONGGI,2021,21630000
F,27680000,27540000,4291000000,2022,55220000
F,46610000,18420000,4279000000,2020,65030000
M,30990000,18120000,4280000000,2021,49110000
M,19640000,26020000,GANGWON,2022,45660000
F,6880000,21870000,4291000000,2022,28750000
M,24720000,2230000,4279000000,2021,26950000
F,40470000,580000,4280000000,2022,41050000
M,40080000,4560000,GANGWON,2022,44640000
M,22140000,1420000,4211000000,2021,23560000
F,44830000,10600000,4273000000,2022,55430000
M,12370000,25880000,4211000000,2022,38250000
F,23530000,28660000,4273000000,2023,52190000
M,8340000,28670000,4111100000,2023,37010000
M,44040000,8350000,4399000000,2020,52390000
M,22300000,22640000,4280000000,2023,44940000
F,41570000,15800000,4211000000,2023,57370000
M,41000000,25510000,4399000000,2020,66510000
M,28330000,27160000,4280000000,2022,55490000
M,3880000,1480000,4279000000,2022,5360000
M,38090000,16940000,4111100000,2023,55030000
F,4730000,21060000,4279000000,2020,25790000
F,44610000,3990000,4273000000,2022,48600000
M,15160000,27590000,4399000000,2024,42750000
F,22140000,21430000,4280000000,2021,43570000
M,30440000,26040000,4146510700,2021,56480000
M,25500000,16160000,4399000000,2021,41660000
M,17270000,5910000,GYEONGGI,2023,23180000
F,20130000,27300000,GANGWON,2021,47430000
F,17640000,25260000,4211000000,2021,42900000
F,49820000,13900000,4280000000,2024,63720000
F,38360000,28830000,4291000000,2022,67190000
F,47300000,24770000,4291000000,2024,72070000
F,3110000,29750000,GANGWON,2023,32860000
F,18130000,7960000,4273000000,2021,26090000
F,11680000,6960000,4399000000,2022,18640000
F,13430000,21890000,4399000000,2021,35320000
M,25090000,18320000,4291000000,2021,43410000
F,18070000,15390000,4399000000,2023,33460000
F,22860000,19840000,GANGWON,2021,42700000
F,19350000,17160000,4399000000,2020,36510000
F,44310000,21400000,4273000000,2022,65710000
F,43300000,26860000,4211000000,2022,70160000
F,4510000,7620000,GYEONGGI,2020,12130000
F,30990000,12200000,4211000000,2023,43190000
F,26450000,29970000,GYEONGGI,2021,56420000
F,36120000,13320000,4146510700,2021,49440000
F,45590000,1350000,4211000000,2022,46940000
F,48170000,11800000,GANGWON,2023,59970000
M,46420000,29310000,4111100000,2023,75730000
M,9170000,3730000,4146510700,2023,12900000
F,3280000,8420000,GYEONGGI,2021,11700000
F,1010000,26420000,GYEONGGI,2023,27430000
M,8450000,9440000,4146510700,2020,17890000
F,26270000,12890000,GYEONGGI,2024,39160000
M,31590000,10260000,4280000000,2023,41850000
M,2330000,13290000,4111100000,2024,15620000
M,32270000,28750000,GANGWON,2021,61020000
M,17580000,20620000,4280000000,2023,38200000
M,20690000,13990000,GYEONGGI,2022,34680000
F,39600000,7790000,4211000000,2021,47390000
M,43550000,11810000,4280000000,2020,55360000
F,15900000,2820000,4211000000,2020,18720000
F,26870000,15090000,4146510700,2024,41960000
M,48730000,27030000,4399000000,2024,75760000
M,31750000,10280000,4279000000,2022,42030000
F,730000,920000,GYEONGGI,2022,1650000
M,36460000,24430000,4279000000,2020,60890000
M,7840000,22230000,4111100000,2023,30070000
F,9090000,16300000,4211000000,2020,25390000
F,5930000,17480000,4280000000,2020,23410000
M,4510000,23090000,4279000000,2022,27600000
F,42620000,4220000,4273000000,2024,46840000
M,26220000,19080000,GYEONGGI,2022,45300000
M,47110000,28390000,4279000000,2022,75500000
M,11360000,19370000,4280000000,2022,30730000
F,44550000,12350000,4280000000,2020,56900000
F,44690000,26170000,4111100000,2023,70860000
F,14630000,3940000,4291000000,2020,18570000
F,30160000,7430000,GANGWON,2021,37590000
F,24340000,9110000,4273000000,2022,33450000
M,7700000,21420000,4279000000,2022,29120000
M,35930000,19770000,GANGWON,2021,55700000
M,6990000,3660000,4273000000,2022,10650000
M,31330000,10410000,4291000000,2022,41740000
F,4530000,990000,4279000000,2022,5520000
M,24350000,16100000,4273000000,2021,40450000
F,27990000,15480000,GANGWON,2020,43470000
M,31190000,3670000,4211000000,2022,34860000
F,2360000,4740000,4280000000,2023,7100000
F,5680000,24080000,4399000000,2021,29760000
M,19470000,2210000,4146510700,2024,21680000
M,32550000,21140000,GYEONGGI,2021,53690000
M,44150000,20390000,4399000000,2020,64540000
M,35900000,28110000,4279000000,2021,64010000
F,46520000,1380000,4279000000,2024,47900000
M,42360000,10690000,4273000000,2023,53050000
M,8270000,14170000,4280000000,2024,22440000
F,17060000,25450000,4291000000,2021,42510000
M,32280000,12640000,4111100000,2024,44920000
M,19970000,7330000,4273000000,2021,27300000
M,10030000,2040000,4111100000,2023,12070000
M,19380000,2460000,4146510700,2023,21840000
M,18660000,13300000,GANGWON,2020,31960000
F,5300000,19810000,4273000000,2023,25110000
M,35000000,1040000,4146510700,2022,36040000
M,5810000,1280000,GYEONGGI,2024,7090000
M,24010000,4670000,4273000000,2024,28680000
M,12560000,26720000,4280000000,2021,39280000
M,29020000,780000,4280000000,2023,29800000
F,25050000,4500000,4279000000,2020,29550000
M,6470000,16410000,GYEONGGI,2020,22880000
F,23380000,6960000,4279000000,2020,30340000
F,18270000,5550000,4111100000,2022,23820000
M,14210000,29130000,4399000000,2023,43340000
M,15910000,1480000,4291000000,2020,17390000
M,34230000,18610000,GYEONGGI,2022,52840000
M,370000,26360000,GANGWON,2024,26730000
F,34080000,27810000,4291000000,2021,61890000
M,7030000,16890000,4291000000,2023,23920000
M,8360000,15750000,4211000000,2023,24110000
M,42490000,5120000,4273000000,2024,47610000
M,20910000,9670000,GANGWON,2023,30580000
M,17050000,11590000,GYEONGGI,2023,28640000
M,31690000,10990000,4279000000,2023,42680000
F,25940000,17510000,4111100000,2023,43450000
F,37920000,560000,4273000000,2022,38480000
M,13720000,11500000,4211000000,2022,25220000
M,30100000,25470000,4111100000,2021,55570000
M,40730000,13530000,GYEONGGI,2023,54260000
F,40980000,12580000,4399000000,2024,53560000
M,19970000,18430000,4291000000,2020,38400000
F,21730000,9930000,4211000000,2021,31660000
M,47110000,1800000,4111100000,2020,48910000
M,17530000,3750000,4279000000,2020,21280000
M,20030000,27470000,4211000000,2023,47500000
M,25050000,7910000,4111100000,2024,32960000
F,22430000,19800000,4211000000,2020,42230000
F,20540000,11230000,4279000000,2020,31770000
M,16920000,14200000,4279000000,2021,31120000
M,29860000,16920000,GANGWON,2024,46780000
F,44370000,13010000,4280000000,2024,57380000
F,17030000,24450000,4291000000,2020,41480000
F,41410000,250000,4273000000,2024,41660000
F,48540000,21610000,4273000000,2021,70150000
M,27080000,10940000,GYEONGGI,2021,38020000
F,7970000,4810000,4146510700,2021,12780000
M,28480000,5630000,GYEONGGI,2023,34110000
F,29530000,4920000,4146510700,2020,34450000
F,35790000,15600000,4211000000,2024,51390000
F,44490000,1840000,4146510700,2021,46330000
F,760000,22570000,4280000000,2020,23330000
F,23400000,24680000,4280000000,2020,48080000
M,14790000,21080000,4291000000,2023,35870000
M,300000,9400000,4111100000,2024,9700000
F,11360000,15020000,4273000000,2024,26380000
F,740000,7320000,4291000000,2021,8060000
M,45570000,17250000,4280000000,2021,62820000
F,27220000,5580000,4111100000,2020,32800000
F,49990000,29340000,GYEONGGI,2024,79330000
M,47050000,23920000,4273000000,2024,70970000
F,730000,14310000,GANGWON,2021,15040000
F,32770000,28050000,4273000000,2022,60820000
M,9680000,25230000,4211000000,2020,34910000
M,9420000,28370000,4399000000,2024,37790000
M,42540000,7250000,4273000000,2023,49790000
F,6190000,1190000,4280000000,2023,7380000
M,42490000,1190000,4211000000,2022,43680000
M,48250000,1790000,4279000000,2021,50040000
M,39570000,7050000,4146510700,2021,46620000
M,39740000,19100000,GYEONGGI,2021,58840000
M,26760000,9610000,GANGWON,2023,36370000
M,5310000,26120000,GYEONGGI,2021,31430000
F,32480000,14770000,4279000000,2023,47250000
F,19740000,8860000,4399000000,2022,28600000
M,10730000,26590000,4273000000,2020,37320000
M,11150000,11370000,4291000000,2024,22520000
M,28680000,6010000,4211000000,2022,34690000
F,37500000,4200000,GANGWON,2023,41700000
F,33670000,17270000,4279000000,2022,50940000
F,25430000,16990000,4399000000,2024,42420000
F,49390000,25710000,GYEONGGI,2020,75100000
F,43690000,4420000,4279000000,2024,48110000
F,39830000,10710000,GANGWON,2023,50540000
F,40330000,27250000,GANGWON,2024,67580000
F,20650000,14930000,4399000000,2022,35580000
F,21650000,24140000,GYEONGGI,2021,45790000
M,47620000,8350000,4280000000,2022,55970000
M,32290000,9810000,GANGWON,2023,42100000
M,45170000,29000000,4211000000,2020,74170000
M,2590000,3850000,4211000000,2024,6440000
F,49690000,2320000,4146510700,2020,52010000
F,33260000,14780000,GYEONGGI,2023,48040000
M,39450000,14360000,4279000000,2024,53810000
F,49530000,21980000,4211000000,2022,71510000
M,38990000,26550000,4399000000,2022,65540000
F,29140000,920000,4279000000,2023,30060000
M,43330000,25750000,GYEONGGI,2024,69080000
F,46610000,600000,4399000000,2022,47210000
F,28080000,13120000,4273000000,2023,41200000
M,36210000,70000,4111100000,2023,36280000
F,46990000,23140000,4211000000,2020,70130000
M,23500000,22320000,4211000000,2022,45820000
M,40800000,3520000,4146510700,2024,44320000
M,19690000,20920000,4280000000,2022,40610000
M,34530000,27010000,4146510700,2022,61540000
F,26020000,29850000,GYEONGGI,2022,55870000
F,30270000,27410000,4146510700,2023,57680000
F,13330000,2590000,4280000000,2021,15920000
M,10620000,12410000,4280000000,2021,23030000
F,45550000,19890000,GANGWON,2020,65440000
M,49850000,3600000,GANGWON,2022,53450000
F,43090000,23230000,4111100000,2021,66320000
F,5290000,27960000,4399000000,2020,33250000
F,32650000,28330000,4273000000,2023,60980000
M,12290000,9460000,4280000000,2022,21750000
F,32220000,13880000,4273000000,2024,46100000
F,40480000,26890000,4211000000,2023,67370000
M,49550000,11670000,4291000000,2020,61220000
F,44850000,29930000,4111100000,2023,74780000
M,1820000,10050000,GYEONGGI,2024,11870000
F,36920000,8900000,4279000000,2023,45820000
M,29690000,13860000,4273000000,2020,43550000
M,30230000,21900000,4146510700,2024,52130000
F,1570000,4370000,4280000000,2024,5940000
M,40980000,3830000,4273000000,2023,44810000
M,25070000,18140000,4279000000,2024,43210000
M,18120000,7530000,4280000000,2023,25650000
M,45440000,13110000,GYEONGGI,2022,58550000
M,46520000,26390000,4291000000,2024,72910000
M,11190000,5420000,4146510700,2023,16610000
F,5440000,7220000,4273000000,2022,12660000
M,48720000,18730000,GANGWON,2024,67450000
M,7080000,3000000,4111100000,2022,10080000
F,48490000,25930000,4273000000,2024,74420000
F,26630000,20290000,4273000000,2020,46920000
F,46430000,9420000,4279000000,2020,55850000
F,30110000,27310000,4279000000,2023,57420000
F,19670000,19850000,4111100000,2021,39520000
F,25050000,25380000,4273000000,2020,50430000
F,36750000,16920000,4399000000,2021,53670000
M,31390000,8440000,GYEONGGI,2022,39830000
M,9310000,2200000,4279000000,2022,11510000
F,23280000,16260000,4279000000,2021,39540000
M,44970000,1210000,4399000000,2023,46180000
M,35000000,28030000,4280000000,2024,63030000
M,32050000,20140000,4273000000,2021,52190000
F,21940000,27480000,4111100000,2021,49420000
F,44450000,25120000,4279000000,2021,69570000
M,420000,7310000,4111100000,2021,7730000
F,27700000,21910000,4111100000,2021,49610000
M,30240000,13780000,GYEONGGI,2023,44020000
M,11100000,23650000,GANGWON,2020,34750000
M,25770000,9100000,4279000000,2024,34870000
M,49200000,22630000,4146510700,2020,71830000
F,40000000,2270000,4280000000,2021,42270000
F,31270000,4890000,4111100000,2020,36160000
F,38810000,21260000,4279000000,2023,60070000
M,13610000,26000000,4280000000,2022,39610000
F,8520000,26520000,4146510700,2020,35040000
M,18550000,26330000,4279000000,2024,44880000
F,21970000,8770000,4273000000,2023,30740000
M,42630000,22720000,4111100000,2022,65350000
M,33830000,10150000,4146510700,2023,43980000
M,40210000,16810000,4273000000,2021,57020000
F,14280000,10000,4111100000,2022,14290000
F,48120000,24190000,4211000000,2024,72310000
F,39380000,2570000,4291000000,2022,41950000
F,25820000,19330000,4399000000,2024,45150000
M,18430000,6960000,4111100000,2021,25390000
F,43420000,13040000,4146510700,2024,56460000
F,48960000,12540000,4146510700,2023,61500000
M,7080000,5470000,4291000000,2020,12550000
M,16410000,24570000,4279000000,2023,40980000
M,29320000,10200000,4399000000,2023,39520000
F,49100000,14090000,4280000000,2022,63190000
M,17250000,21690000,4111100000,2021,38940000
M,26560000,880000,4279000000,2020,27440000
M,1900000,4490000,4273000000,2024,6390000
F,39200000,25900000,4280000000,2022,65100000
M,46200000,6350000,4399000000,2021,52550000
F,32790000,3800000,4279000000,2020,36590000
F,30970000,16450000,GANGWON,2023,47420000
M,24530000,17420000,4280000000,2021,41950000
M,7390000,25370000,GYEONGGI,2021,32760000
F,38130000,28500000,GYEONGGI,2021,66630000
M,44230000,22900000,4111100000,2023,67130000
M,47270000,28800000,4111100000,2024,76070000
F,44850000,8410000,4111100000,2022,53260000
F,7870000,3400000,4399000000,2024,11270000
M,18310000,20600000,GANGWON,2020,38910000
F,5870000,21390000,4279000000,2022,27260000
M,46500000,16970000,4273000000,2020,63470000
M,29480000,16070000,4211000000,2023,45550000
M,42610000,20850000,4146510700,2024,63460000
F,27050000,25580000,4273000000,2021,52630000
M,34640000,27960000,4279000000,2022,62600000
M,4300000,27540000,GANGWON,2021,31840000
M,48630000,20500000,4399000000,2020,69130000
