Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
F,Ship,4,3,211,8,medium,F,3,4550,No
C,Ship,3,1,245,2,low,F,8,4594,Yes
B,Ship,7,5,273,4,medium,M,9,1329,Yes
A,Flight,5,2,241,2,medium,M,9,4965,No
D,Road,4,4,251,3,high,F,5,5460,No
B,Road,5,5,240,5,medium,M,7,1255,No
A,Flight,4,4,164,2,low,M,7,5456,No
D,Flight,6,2,161,4,low,M,10,1683,No
F,Ship,4,3,270,2,high,F,5,5346,No
A,Flight,3,4,155,3,medium,M,9,5718,Yes
F,Road,4,1,264,6,low,M,7,1007,No
B,Ship,3,1,239,3,low,F,63,2154,Yes
A,Road,3,1,197,2,low,M,4,3621,Yes
D,Ship,6,4,256,4,high,M,2,5021,No
C,Ship,3,2,183,4,medium,F,12,2777,Yes
C,Flight,4,2,180,3,low,F,47,1434,Yes
F,Ship,2,4,187,6,medium,F,9,4388,No
A,Ship,4,1,240,3,low,M,50,2430,Yes
D,Ship,2,5,238,2,low,F,6,5325,Yes
B,Ship,4,2,200,3,medium,M,45,2486,Yes
C,Flight,4,4,147,3,medium,M,9,4534,Yes
C,Ship,3,2,149,3,medium,F,64,1920,Yes
D,Ship,6,1,229,6,low,M,35,3239,Yes
F,Ship,2,4,208,3,medium,F,6,4226,Yes
D,Road,5,4,236,5,medium,F,4,1948,No
A,Ship,3,4,213,3,high,M,7,5516,Yes
F,Ship,5,1,201,3,medium,M,19,2696,Yes
B,Ship,4,5,194,8,medium,F,9,4843,Yes
B,Ship,3,3,148,3,low,M,1,5700,No
D,Ship,3,5,190,10,medium,M,26,3244,Yes
F,Ship,4,2,186,7,medium,F,40,3111,Yes
A,Ship,6,3,271,4,medium,F,1,1733,No
F,Flight,6,3,271,4,low,F,6,1934,No
F,Ship,4,1,178,2,high,M,39,1362,Yes
F,Flight,4,2,266,5,medium,M,3,4578,No
C,Ship,5,5,268,5,medium,F,10,1906,No
D,Ship,4,3,147,2,low,M,2,5431,No
B,Road,6,5,295,4,medium,M,2,1981,No
F,Ship,4,3,173,3,low,F,7,4810,Yes
F,Ship,3,4,243,3,medium,M,8,5705,Yes
B,Flight,5,4,242,3,high,F,2,3564,Yes
B,Ship,5,3,222,2,low,F,2,5953,Yes
A,Ship,4,5,98,4,low,F,5,4643,No
C,Ship,4,2,237,3,low,M,2,5277,No
D,Ship,5,3,237,3,high,M,7,4208,Yes
F,Road,2,2,150,3,low,F,6,5854,Yes
F,Ship,4,5,158,4,low,F,4,1595,Yes
F,Ship,4,1,236,5,medium,M,4,1953,No
B,Flight,3,2,267,3,low,M,8,5922,No
B,Ship,5,5,133,10,medium,M,9,1724,Yes
F,Flight,3,4,214,2,low,M,7,5256,Yes
F,Ship,3,1,185,3,low,M,61,3280,Yes
C,Ship,5,4,224,6,low,F,6,1049,Yes
D,Ship,5,1,262,3,medium,F,58,3599,Yes
F,Ship,2,1,111,2,high,F,10,1920,Yes
F,Road,4,4,224,3,medium,M,9,2952,Yes
C,Flight,4,1,215,3,low,F,2,5563,Yes
B,Ship,5,2,190,2,low,M,1,5005,No
D,Ship,4,5,267,3,low,F,53,3742,Yes
F,Flight,4,1,167,3,low,F,57,1782,Yes
A,Road,4,2,223,4,low,M,2,5709,No
A,Flight,5,4,226,3,low,F,46,3149,Yes
F,Flight,3,3,168,2,high,M,10,5334,Yes
F,Ship,4,1,276,2,medium,M,3,1966,No
A,Ship,5,1,257,5,high,F,2,1323,No
B,Ship,4,3,246,3,low,F,5,4710,No
B,Flight,6,5,258,5,low,F,1,5376,No
D,Ship,6,4,138,3,medium,F,4,4225,No
C,Ship,4,3,165,3,low,F,44,1320,Yes
F,Road,5,3,215,3,low,F,2,4731,Yes
C,Ship,5,2,181,3,low,M,4,4323,No
D,Road,4,5,188,3,low,M,4,4632,No
D,Road,3,4,144,3,low,M,56,1496,Yes
F,Ship,5,5,164,5,low,M,52,1644,Yes
A,Ship,5,2,232,3,low,F,1,1187,Yes
B,Ship,3,5,250,4,low,F,11,3464,Yes
C,Ship,3,2,175,4,medium,F,17,1276,Yes
F,Ship,3,3,188,4,medium,M,1,4296,Yes
C,Road,3,3,162,2,medium,M,7,5719,Yes
F,Ship,5,1,227,5,low,M,6,1667,No
C,Ship,5,2,248,5,medium,F,1,1845,Yes
A,Flight,5,1,274,3,medium,M,58,2098,Yes
C,Ship,2,2,152,4,low,M,6,4606,Yes
B,Road,3,1,233,3,medium,M,7,5331,No
C,Ship,4,1,151,2,low,F,47,1682,Yes
F,Ship,4,3,140,2,medium,F,2,5042,No
F,Ship,4,3,264,6,medium,F,10,1962,Yes
A,Ship,4,1,214,5,medium,M,9,5801,No
C,Ship,3,3,214,2,low,M,21,3342,Yes
D,Ship,4,1,184,7,medium,F,6,4956,No
C,Ship,5,2,228,5,low,M,6,1726,Yes
A,Flight,5,5,272,2,low,M,1,4883,Yes
F,Road,3,3,244,3,low,M,6,5109,No
B,Ship,5,2,175,3,low,M,1,4019,No
D,Road,3,1,258,4,medium,F,6,5365,Yes
C,Road,3,2,268,3,low,M,30,2867,Yes
A,Road,3,4,148,4,medium,F,9,5301,No
F,Ship,5,4,139,2,medium,F,2,4217,Yes
C,Ship,4,5,133,3,low,F,53,1467,Yes
D,Ship,4,3,189,3,medium,F,4,5613,Yes
C,Flight,3,5,132,3,medium,F,4,4212,No
B,Ship,2,3,176,5,low,M,29,1254,Yes
F,Road,4,3,217,3,low,M,51,3144,Yes
A,Road,3,5,166,3,low,F,1,1366,Yes
B,Ship,5,3,192,3,medium,F,6,4037,Yes
F,Ship,4,1,198,4,low,F,5,5182,No
A,Flight,2,1,164,5,low,F,8,1886,No
C,Ship,5,1,203,3,low,M,10,4750,No
D,Ship,5,4,217,5,low,F,5,1360,Yes
C,Ship,3,4,255,3,medium,F,10,5291,Yes
A,Ship,3,1,250,3,low,F,7,4760,No
C,Flight,4,1,203,4,low,M,34,3813,Yes
B,Flight,6,3,218,3,low,M,6,4594,No
A,Ship,3,5,171,3,low,F,49,1333,Yes
A,Ship,5,4,255,3,low,F,1,5775,Yes
D,Ship,4,2,228,5,low,M,6,1718,No
A,Ship,4,1,173,2,low,M,5,4688,No
A,Ship,5,4,199,4,medium,M,2,4902,Yes
B,Ship,5,1,220,5,low,F,4,1156,Yes
A,Flight,3,2,223,4,medium,M,3,5374,No
D,Ship,3,3,116,5,low,F,6,4524,No
F,Ship,2,5,252,2,low,F,21,2070,Yes
B,Ship,3,3,202,3,medium,F,35,3986,Yes
B,Ship,3,4,185,2,low,F,62,2849,Yes
F,Ship,3,2,270,6,medium,F,10,4725,Yes
F,Ship,2,2,162,3,high,M,10,4489,Yes
D,Ship,4,4,274,3,high,F,3,4202,Yes
F,Ship,3,5,250,2,low,F,9,1205,No
F,Ship,5,2,189,2,medium,M,2,4636,Yes
F,Ship,3,2,228,2,medium,M,2,5640,No
F,Flight,5,1,262,6,medium,M,1,1696,No
D,Ship,4,5,212,2,medium,M,10,4552,No
C,Ship,4,3,183,2,low,F,32,3709,Yes
F,Ship,4,5,296,2,medium,M,1,1678,No
B,Ship,4,3,134,2,medium,F,29,1010,Yes
C,Ship,4,2,152,2,low,M,7,5026,No
C,Road,3,1,169,2,medium,F,1,4783,Yes
D,Road,4,5,142,2,low,M,2,4472,No
C,Flight,2,5,254,2,low,M,10,5718,Yes
B,Ship,3,4,172,3,low,M,32,1943,Yes
F,Ship,5,3,267,5,low,F,1,1505,No
F,Road,3,4,159,3,high,M,4,4756,Yes
F,Flight,5,5,132,3,low,M,3,4263,No
F,Road,5,5,223,6,medium,F,10,1711,No
C,Ship,4,1,153,3,medium,M,5,5952,No
A,Flight,2,1,155,2,low,M,2,5661,Yes
F,Ship,4,5,142,2,medium,F,9,5425,Yes
B,Ship,3,3,166,4,medium,F,17,1498,Yes
F,Ship,3,1,263,3,low,M,25,3689,Yes
C,Ship,5,4,216,2,low,F,6,4535,No
C,Ship,3,2,148,4,medium,F,38,1322,Yes
C,Flight,4,1,156,2,medium,M,4,5225,No
B,Road,5,2,271,4,low,F,4,4066,No
D,Ship,3,1,169,2,medium,F,19,1183,Yes
F,Ship,4,5,152,3,low,M,43,1709,Yes
B,Ship,3,4,205,3,high,F,1,5407,No
F,Ship,3,2,261,5,medium,M,45,2488,Yes
C,Flight,2,5,271,2,low,F,5,5164,Yes
B,Ship,4,5,164,4,low,F,4,5736,No
C,Road,3,4,195,2,medium,F,32,3719,Yes
A,Ship,5,1,233,3,low,M,10,5289,No
D,Ship,5,5,239,3,high,M,18,2495,Yes
A,Ship,3,1,273,6,low,M,1,1293,No
A,Ship,5,3,210,2,low,M,19,3920,Yes
F,Ship,5,5,232,7,medium,M,6,5139,No
C,Ship,7,5,265,4,low,F,1,1601,No
C,Ship,5,1,248,3,low,M,37,3830,Yes
F,Ship,5,3,135,3,medium,F,5,4484,No
F,Ship,4,5,134,6,medium,M,7,4881,Yes
F,Road,3,4,240,3,low,F,28,2356,Yes
D,Ship,3,5,157,4,medium,F,2,4640,No
F,Ship,3,3,141,3,medium,M,10,1751,Yes
F,Flight,4,1,269,3,low,F,3,4409,Yes
F,Ship,5,1,185,2,medium,F,10,5973,Yes
C,Flight,4,5,210,2,medium,M,5,5683,No
F,Flight,3,1,170,3,low,M,3,4454,Yes
F,Ship,5,1,186,4,medium,M,5,5239,No
F,Road,3,2,151,2,low,M,26,1793,Yes
A,Road,3,4,186,3,high,M,1,5922,Yes
F,Ship,4,5,247,2,medium,F,18,2404,Yes
A,Ship,4,3,134,4,low,F,5,4507,Yes
F,Ship,4,3,248,5,low,F,7,1789,Yes
F,Ship,4,1,164,4,low,M,6,4432,Yes
A,Road,4,5,163,3,medium,F,2,4887,No
C,Ship,3,4,236,4,medium,M,2,1016,No
F,Ship,5,4,167,7,medium,F,43,1619,Yes
D,Ship,3,2,150,10,low,F,6,5580,No
D,Ship,2,3,172,3,medium,F,11,1522,Yes
B,Ship,6,5,292,4,low,M,4,1762,Yes
F,Ship,3,1,193,4,low,M,5,4700,No
F,Flight,4,5,167,4,low,M,3,4658,No
F,Road,3,4,218,3,medium,F,4,3534,Yes
F,Flight,5,4,233,3,low,M,6,4275,Yes
F,Flight,4,1,271,4,medium,F,2,4133,Yes
D,Ship,4,5,260,3,low,F,14,2071,Yes
A,Flight,4,3,181,3,medium,M,10,4541,Yes
C,Ship,4,5,192,2,medium,F,36,2497,Yes
D,Road,5,2,130,4,high,M,4,4371,No
C,Road,4,4,186,3,low,F,2,4430,No
A,Ship,4,2,251,3,low,F,10,3517,Yes
F,Ship,3,3,178,2,medium,M,4,1778,Yes
F,Ship,3,1,202,3,medium,F,7,5818,No
B,Flight,5,3,228,3,medium,F,38,3631,Yes
F,Ship,4,5,239,3,low,M,6,5154,Yes
F,Ship,5,2,192,7,medium,M,2,4045,Yes
D,Ship,5,4,140,4,low,M,3,4018,No
B,Flight,4,1,173,5,low,F,5,5049,Yes
B,Ship,4,1,177,4,medium,F,33,1049,Yes
F,Ship,5,1,103,5,low,F,10,5413,Yes
C,Ship,2,3,198,2,medium,F,6,1996,No
B,Ship,4,4,240,3,low,F,62,3478,Yes
C,Ship,5,4,178,7,medium,M,52,1824,Yes
B,Ship,3,5,141,2,medium,F,9,5000,No
F,Ship,5,3,216,3,low,F,40,2146,Yes
B,Road,5,2,260,6,high,M,10,4087,Yes
A,Ship,4,2,233,5,low,F,8,1097,No
D,Flight,4,1,177,3,medium,F,6,5215,No
B,Road,5,2,223,5,medium,M,5,1484,Yes
A,Ship,4,3,216,2,low,F,6,4005,No
B,Flight,3,3,207,7,medium,M,19,2182,Yes
C,Ship,4,5,180,2,medium,F,1,4332,No
B,Ship,3,3,110,3,low,M,7,1235,Yes
B,Ship,4,3,154,3,medium,M,52,1432,Yes
C,Flight,4,1,180,2,low,M,23,1193,Yes
F,Flight,2,3,263,3,medium,F,10,4779,No
F,Ship,6,2,301,5,medium,M,3,1844,Yes
A,Road,4,1,205,5,low,M,10,4944,No
F,Ship,7,4,301,4,low,F,1,1150,No
F,Road,5,5,275,3,low,F,9,1691,Yes
C,Ship,4,3,190,4,medium,M,4,4102,Yes
F,Ship,4,5,149,3,low,M,9,4953,Yes
C,Ship,2,2,139,3,medium,F,23,1283,Yes
D,Ship,3,3,241,5,low,M,8,2182,Yes
C,Ship,4,3,244,2,low,M,10,4486,Yes
F,Road,3,3,205,3,medium,F,19,2167,Yes
D,Ship,6,1,300,5,low,F,10,1787,No
F,Ship,6,3,167,6,low,F,15,1278,Yes
F,Ship,4,1,144,4,low,F,63,1881,Yes
B,Road,4,4,158,3,low,F,61,1507,Yes
F,Ship,3,2,200,2,medium,F,46,3174,Yes
B,Ship,3,2,180,2,low,F,6,1811,Yes
B,Flight,3,5,162,3,medium,M,1,4480,No
A,Road,5,1,238,4,medium,M,10,4668,No
A,Ship,4,1,151,5,high,M,28,1148,Yes
F,Ship,3,2,209,3,medium,M,54,3001,Yes
D,Ship,4,4,273,2,low,M,1,5759,Yes
C,Road,6,5,282,4,low,M,4,1035,No
D,Ship,5,1,184,3,low,F,10,4674,Yes
A,Road,4,1,231,5,medium,F,10,1144,No
F,Ship,7,2,247,4,medium,F,9,1096,Yes
A,Ship,5,3,280,4,medium,F,4,5192,No
F,Ship,5,5,265,3,low,M,3,5637,No
C,Ship,4,3,209,6,low,F,59,2622,Yes
D,Ship,6,1,255,4,low,M,9,1575,No
F,Road,4,4,233,3,low,M,9,4300,Yes
F,Flight,3,5,133,4,low,M,10,4151,No
F,Ship,4,1,270,2,low,M,4,4369,No
A,Road,3,1,164,2,low,M,2,1104,Yes
D,Ship,5,5,272,5,medium,F,5,1868,Yes
C,Ship,5,5,226,3,medium,F,65,3840,Yes
F,Ship,5,5,260,3,medium,M,8,4586,Yes
A,Ship,4,3,225,5,medium,M,3,1224,No
C,Ship,4,2,191,2,low,M,11,3985,Yes
F,Ship,5,2,176,4,low,M,2,4893,No
D,Road,4,3,165,2,medium,M,10,4351,No
F,Flight,4,5,137,4,high,M,29,1262,Yes
A,Ship,4,5,192,3,high,M,20,3872,Yes
A,Ship,5,1,123,2,low,F,9,5497,No
C,Flight,4,5,259,5,medium,M,2,1066,Yes
C,Ship,4,1,214,2,low,F,10,4447,No
B,Road,3,5,213,4,medium,M,9,5550,Yes
D,Road,3,5,217,3,medium,M,3,5433,No
F,Ship,4,3,143,2,medium,M,1,4402,Yes
F,Ship,3,4,205,3,low,F,7,4490,No
D,Ship,6,5,310,4,medium,F,10,1553,No
D,Ship,4,4,252,5,medium,M,1,1539,Yes
A,Flight,4,1,148,8,medium,M,5,4851,Yes
A,Flight,4,5,150,3,low,M,5,4512,No
C,Flight,3,2,274,2,medium,M,5,5161,No
C,Ship,4,3,159,5,low,M,4,4666,Yes
C,Ship,4,2,170,2,low,F,1,1446,Yes
D,Ship,4,4,223,10,low,M,24,3271,Yes
A,Flight,6,1,266,4,medium,F,2,1862,Yes
B,Ship,3,1,154,10,medium,F,3,4524,No
F,Ship,4,1,258,3,medium,F,4,3686,Yes
B,Road,4,1,238,5,medium,F,3,1913,No
F,Ship,4,4,242,6,low,F,9,1192,Yes
B,Ship,4,3,222,2,medium,M,55,3833,Yes
A,Flight,6,1,274,5,low,F,8,4292,Yes
D,Ship,4,3,192,4,low,F,3,1406,Yes
D,Ship,4,2,161,4,low,F,10,5322,No
F,Ship,5,5,267,5,low,F,1,1352,Yes
F,Flight,5,4,266,5,medium,M,8,1592,Yes
D,Road,3,5,251,3,low,F,21,2476,Yes
A,Ship,5,4,177,2,low,M,14,1735,Yes
F,Flight,4,5,209,8,medium,F,59,2948,Yes
F,Road,4,5,184,3,low,F,64,3812,Yes
A,Road,4,4,155,3,medium,F,6,5778,Yes
F,Ship,5,2,238,2,low,M,5,5703,No
B,Flight,4,2,233,4,low,M,7,1861,No
C,Flight,3,4,189,2,medium,M,12,2888,Yes
D,Ship,3,1,165,3,high,F,10,4208,No
F,Ship,3,4,189,3,high,M,2,5464,No
F,Flight,3,5,130,5,low,F,27,1891,Yes
A,Road,3,5,240,8,low,M,9,4436,Yes
F,Ship,3,2,239,3,low,F,10,4486,No
C,Ship,3,4,175,2,medium,M,9,5643,Yes
C,Ship,4,4,132,4,medium,F,44,1692,Yes
F,Ship,3,5,270,2,medium,F,46,2716,Yes
C,Ship,4,2,275,3,medium,M,26,2449,Yes
D,Ship,3,3,158,3,low,F,20,1431,Yes
A,Flight,4,2,258,5,medium,M,2,1494,No
A,Flight,3,5,190,5,high,F,7,4457,No
D,Flight,4,1,194,2,medium,F,1,4198,No
B,Road,5,2,227,6,medium,F,6,1620,No
D,Ship,4,5,137,2,medium,F,14,1796,Yes
C,Flight,5,4,217,2,medium,M,4,4380,Yes
B,Flight,5,3,191,2,medium,M,7,5783,Yes
A,Flight,7,5,302,4,low,M,3,1597,Yes
C,Flight,6,5,252,4,low,F,2,1249,No
F,Road,4,1,226,7,low,M,41,2964,Yes
F,Ship,4,2,198,2,high,M,2,5662,No
C,Ship,5,3,251,3,medium,F,8,4228,Yes
A,Ship,4,3,253,3,low,F,5,5703,No
D,Ship,4,3,196,3,low,F,10,4194,Yes
F,Ship,4,3,272,3,medium,M,38,3705,Yes
F,Ship,6,5,185,3,high,F,1,5399,Yes
C,Ship,6,2,298,4,low,M,2,1648,No
D,Ship,3,4,187,3,low,M,7,5417,No
C,Ship,3,5,218,4,low,M,4,5330,No
B,Ship,3,1,231,3,medium,F,33,2755,Yes
F,Ship,4,3,260,3,low,F,5,5540,No
F,Ship,5,3,226,2,high,F,6,5033,No
D,Ship,3,3,218,3,medium,M,6,5288,Yes
D,Ship,3,4,177,2,medium,M,3,4240,Yes
F,Flight,3,5,161,3,low,M,2,4475,No
A,Ship,4,5,273,3,low,F,1,5043,Yes
F,Road,3,2,185,4,low,F,8,5545,No
B,Ship,4,2,251,2,low,F,10,4898,Yes
F,Flight,4,4,160,4,low,M,1,5520,Yes
B,Flight,3,4,273,2,medium,F,39,2651,Yes
F,Ship,3,3,239,3,low,F,4,1399,No
B,Ship,3,5,241,4,low,F,3,5051,No
A,Ship,5,3,230,3,medium,F,7,4844,No
D,Flight,6,4,290,4,low,F,3,1544,Yes
F,Ship,6,4,152,3,low,M,10,4376,Yes
F,Ship,6,5,308,4,low,M,4,1202,No
C,Ship,4,2,241,6,medium,M,5,4880,Yes
C,Ship,4,1,193,3,low,F,3,5919,No
B,Ship,7,4,291,4,high,M,4,1248,Yes
F,Road,3,1,100,3,low,F,17,1129,Yes
C,Ship,3,4,183,2,low,M,3,4179,Yes
F,Flight,3,5,169,3,medium,M,13,1934,Yes
A,Flight,6,2,243,4,high,M,2,1665,Yes
F,Flight,3,4,145,6,medium,M,57,1949,Yes
A,Ship,4,4,254,3,low,M,7,5637,No
B,Ship,4,2,144,3,medium,M,59,1588,Yes
C,Road,3,3,190,3,medium,M,2,4468,Yes
A,Ship,6,2,144,7,high,M,1,5501,No
A,Road,4,5,277,5,medium,F,32,1055,Yes
C,Flight,3,2,257,5,low,M,5,4130,Yes
D,Ship,5,2,111,5,medium,M,3,1711,Yes
A,Road,3,4,162,5,low,F,1,4240,Yes
C,Road,5,4,168,4,medium,M,5,5580,No
D,Ship,6,5,308,4,low,M,2,1125,Yes
D,Road,6,5,212,2,medium,M,38,2359,Yes
D,Flight,5,4,184,5,low,F,5,4782,No
F,Ship,5,2,243,5,medium,F,4,1385,No
D,Road,4,1,241,3,low,M,4,4493,Yes
F,Ship,4,2,273,5,low,F,4,1223,Yes
C,Ship,3,1,242,8,medium,F,8,5401,No
A,Ship,5,2,198,3,low,F,44,3706,Yes
A,Ship,4,2,239,4,low,F,10,5528,Yes
F,Ship,5,1,276,5,medium,M,5,1358,Yes
D,Ship,3,1,203,4,medium,M,12,2779,Yes
C,Flight,3,1,138,3,medium,F,7,5534,No
F,Ship,3,2,175,2,medium,F,12,1817,Yes
F,Ship,4,3,220,4,low,M,19,3602,Yes
B,Ship,3,3,232,2,low,M,5,4255,Yes
B,Ship,4,2,162,3,low,M,7,5614,No
F,Road,4,5,133,3,medium,M,3,1403,Yes
C,Flight,4,1,161,2,high,F,21,1075,Yes
F,Ship,5,1,164,3,low,M,7,4540,Yes
B,Ship,6,2,143,5,low,M,17,1955,Yes
C,Ship,3,4,238,2,medium,M,7,5974,No
B,Flight,5,4,189,5,low,M,3,3301,Yes
F,Flight,5,2,102,5,medium,F,3,4784,No
D,Ship,5,3,150,2,high,F,9,4446,No
F,Flight,3,2,219,6,low,F,9,5263,Yes
C,Ship,3,3,271,4,high,M,3,4006,Yes
B,Ship,3,4,240,2,low,M,8,3883,Yes
F,Road,6,4,160,2,low,F,31,1689,Yes
B,Ship,3,5,268,2,medium,F,10,5895,No
F,Road,5,1,239,5,low,F,6,1815,No
C,Road,4,2,273,5,low,F,1,5012,No
A,Ship,4,5,223,5,medium,F,6,1579,Yes
F,Road,6,5,247,6,medium,M,3,4832,No
C,Ship,5,4,193,4,high,F,4,5757,Yes
A,Ship,5,1,275,5,low,M,7,1623,Yes
F,Flight,4,1,189,3,medium,M,5,4133,No
C,Flight,4,5,187,5,medium,M,16,3781,Yes
D,Ship,3,5,146,5,low,F,3,5489,No
A,Road,6,3,223,2,medium,M,7,5007,No
D,Ship,4,2,182,3,low,M,58,3943,Yes
B,Ship,6,3,250,4,low,M,9,1618,No
B,Flight,3,3,223,2,medium,M,30,3622,Yes
B,Ship,4,2,259,5,medium,M,7,1042,Yes
B,Road,4,2,238,5,medium,M,9,4618,No
B,Ship,6,5,251,4,low,F,8,1038,No
B,Ship,4,2,183,2,low,F,8,4921,No
C,Ship,3,5,212,3,low,F,2,2456,Yes
D,Ship,4,3,265,3,low,F,65,3578,Yes
A,Ship,5,4,275,2,medium,M,10,5395,Yes
B,Ship,4,5,240,2,medium,M,6,5045,Yes
C,Road,4,5,162,2,medium,M,62,1650,Yes
C,Flight,5,3,217,2,low,F,4,5588,No
F,Ship,3,1,270,3,medium,F,61,3582,Yes
B,Flight,3,1,174,6,medium,F,4,4910,Yes
F,Ship,3,4,165,2,medium,F,8,4280,Yes
F,Ship,4,3,264,5,low,F,2,1541,No
C,Ship,2,4,158,5,medium,F,2,4303,Yes
F,Road,3,4,191,5,medium,F,4,4243,Yes
F,Road,5,3,138,2,low,M,13,1056,Yes
F,Ship,5,3,227,5,medium,F,9,4990,No
C,Ship,3,1,193,3,medium,M,3,5154,No
F,Road,5,4,172,4,medium,F,10,4659,Yes
F,Ship,4,5,161,3,medium,F,2,5378,No
D,Ship,4,4,251,3,medium,F,9,5350,Yes
D,Ship,4,3,241,5,low,M,6,1324,No
C,Flight,3,2,224,3,medium,M,63,2085,Yes
A,Ship,3,1,235,3,low,F,9,5735,No
F,Ship,6,5,117,7,medium,M,6,5529,Yes
A,Flight,3,5,183,3,medium,F,44,3158,Yes
D,Ship,3,5,113,2,low,F,19,1660,Yes
A,Ship,4,2,160,2,high,F,5,4343,No
F,Flight,4,2,107,2,low,F,8,4460,No
A,Ship,4,2,228,5,low,F,3,1473,Yes
B,Flight,4,2,199,3,low,M,23,2994,Yes
D,Ship,6,4,237,5,medium,F,2,5437,Yes
F,Ship,4,3,170,3,low,F,21,1588,Yes
A,Road,5,3,240,6,medium,F,3,1321,No
F,Ship,4,4,220,10,medium,F,7,4598,No
D,Flight,3,2,152,4,medium,F,7,5943,Yes
D,Flight,4,4,215,2,low,F,7,5151,Yes
A,Ship,5,3,273,4,medium,M,2,4186,Yes
F,Ship,4,1,249,3,low,M,4,5253,Yes
A,Ship,4,5,201,3,low,M,7,4048,No
A,Ship,3,4,225,4,low,F,8,5209,No
B,Road,4,2,239,2,medium,F,9,4360,No
A,Ship,2,4,126,5,medium,M,2,5461,No
B,Ship,4,2,264,5,medium,F,6,1736,Yes
D,Ship,6,5,213,4,medium,F,3,5549,No
C,Ship,4,5,205,4,medium,F,5,5264,No
F,Ship,3,5,109,2,high,M,2,5978,Yes
C,Ship,5,5,224,3,medium,F,48,2298,Yes
B,Ship,5,1,241,3,low,M,7,5342,No
C,Ship,5,2,191,2,high,F,6,2059,Yes
A,Flight,4,4,252,3,medium,F,7,2477,Yes
B,Flight,6,2,169,2,medium,M,9,5580,No
C,Ship,5,3,138,3,low,F,5,5687,Yes
F,Ship,3,3,217,4,medium,F,3,5602,No
A,Flight,3,5,169,3,high,F,5,5750,No
A,Ship,5,1,201,3,medium,F,65,2488,Yes
C,Ship,2,4,191,3,low,F,58,2586,Yes
B,Road,4,3,149,4,medium,M,1,4678,No
C,Ship,3,2,162,3,medium,M,4,4812,Yes
F,Ship,3,5,194,2,medium,F,7,4809,No
B,Ship,5,2,203,6,medium,F,7,5289,No
F,Road,4,2,133,3,medium,F,5,5950,No
B,Ship,3,3,275,3,medium,M,7,4968,No
D,Ship,5,5,232,3,medium,F,33,2998,Yes
A,Ship,6,3,100,4,low,M,3,5756,No
B,Ship,2,4,134,3,low,F,42,1415,Yes
F,Ship,2,1,229,4,low,M,6,3757,Yes
C,Road,4,4,192,3,medium,M,39,2943,Yes
C,Ship,5,2,173,3,low,M,8,4797,Yes
D,Ship,5,1,176,4,low,F,1,4270,Yes
A,Ship,5,5,238,6,low,F,3,1965,Yes
F,Ship,3,1,210,2,low,M,9,4580,No
F,Ship,5,5,238,6,low,M,3,1351,No
A,Ship,3,4,212,8,low,F,56,3337,Yes
A,Ship,4,4,175,2,medium,F,7,1188,Yes
A,Ship,6,2,246,6,low,F,1,4846,No
F,Flight,4,4,233,2,medium,M,39,2291,Yes
D,Road,3,3,158,3,low,F,2,5205,Yes
F,Road,6,1,253,4,low,M,10,1962,No
F,Ship,3,3,150,2,medium,M,9,4100,No
D,Ship,5,4,134,2,medium,F,55,1386,Yes
D,Ship,5,5,251,2,medium,F,5,5178,Yes
B,Road,4,4,204,3,low,F,9,4757,No
D,Road,4,2,245,3,medium,F,2,4835,Yes
C,Ship,4,1,269,3,low,F,7,5211,Yes
F,Ship,5,3,242,5,low,F,10,1846,Yes
D,Ship,3,3,126,10,low,M,10,4128,No
D,Road,4,2,237,3,low,M,1,5114,No
A,Ship,6,2,269,4,medium,F,3,1665,No
F,Road,4,5,270,3,low,M,1,4131,No
C,Road,4,3,225,3,low,F,62,2587,Yes
A,Flight,3,4,135,3,low,M,11,1740,Yes
B,Ship,3,3,151,6,low,F,6,4279,No
B,Ship,2,4,193,2,low,F,5,5706,No
F,Flight,4,3,224,2,medium,M,8,5961,Yes
F,Flight,7,3,247,4,medium,M,5,1060,No
B,Ship,3,3,281,2,medium,M,55,3047,Yes
F,Flight,3,1,192,2,low,M,6,4056,No
D,Ship,3,2,237,3,low,M,8,5287,Yes
A,Road,5,4,243,5,low,F,5,1118,No
B,Flight,5,1,207,3,low,F,1,4112,No
D,Ship,5,3,142,4,medium,F,4,5116,Yes
A,Ship,4,5,253,7,medium,F,11,3825,Yes
F,Ship,5,5,192,3,medium,M,3,4015,Yes
F,Ship,4,1,151,2,medium,M,6,1114,Yes
B,Road,3,4,213,3,low,F,5,4535,Yes
B,Ship,3,1,236,3,medium,M,28,3290,Yes
C,Ship,5,4,242,4,medium,F,5,5375,No
F,Ship,4,3,216,2,low,M,52,3578,Yes
F,Ship,5,2,149,2,low,F,6,4661,No
C,Flight,5,2,171,3,high,M,34,1029,Yes
B,Ship,4,2,173,3,medium,F,63,1220,Yes
F,Road,5,2,251,3,low,M,9,4298,Yes
F,Ship,5,2,266,5,low,F,10,1274,Yes
F,Ship,5,4,189,3,low,M,7,4741,Yes
A,Ship,3,3,218,3,low,F,4,5086,Yes
A,Ship,4,3,276,4,low,F,3,3889,Yes
A,Flight,4,1,208,7,high,F,65,2674,Yes
